name,pubchem_cid,TSNE1,TSNE2
diphemanil,6127.0,9.572843,66.3437
methoxyamine,4113.0,-27.353737,-37.670303
perphenazine,4748.0,13.496696,53.381584
ap-18,9584673.0,-26.46186,-32.135838
isoleucine,76551.0,-47.93639,5.7996716
vlx600,6806409.0,6.5021644,-5.535094
lamivudine,60825.0,72.96076,-20.3257
hemomex-s,11468733.0,-75.14154,1.2331642
baloxavir-marboxil,124081896.0,60.521877,16.712145
allylestrenol,235905.0,-71.58819,-1.84721
fulvestrant,57300161.0,-73.35064,-12.253991
rwj-21757,135410906.0,69.68233,-15.176412
ttp-22,1536915.0,-13.006029,-4.19021
jnj-26990990,11687376.0,-11.796482,-69.95997
taurocholate,6675.0,-10.28117,-55.125435
acy-1215,53340666.0,17.258276,16.093077
aniracetam,2196.0,13.770874,28.139362
nocodazole,4122.0,-2.5593238,-34.16259
tenofovir,464205.0,66.616714,1.9403069
opicapone,135565903.0,20.201475,-41.198437
trans-2-undecenoic-acid,5282728.0,-54.746197,-10.964879
brefeldin-a,5287620.0,-68.104,-16.510954
xibenolol,12179892.0,-36.94229,36.93377
plx647,11545419.0,-1.0579884,-3.3298736
ak-7,1328033.0,13.277765,-84.034744
bi-2536,11364421.0,53.617214,22.13974
d-delta-tocopherol,92094.0,-80.028656,-11.671756
yk-4-279,93948843.0,-19.827442,0.16646734
ha-130,46911532.0,8.919788,-36.805508
pd-407824,4369491.0,3.1979527,-31.248032
bx-912,11754511.0,50.70532,47.005116
itopride,3792.0,-15.706513,53.590446
azm-475271,5330175.0,65.90059,21.01249
cilazapril,56330.0,16.621073,21.381227
methylprednisolone-sodium-succinate,16923.0,-86.64838,6.7943234
benfluralin,2319.0,29.056402,-48.516956
"cp-105,696",9867257.0,-57.822773,-51.54866
nedocromil,50294.0,14.446061,13.843679
l-ergothioneine,3037043.0,3.222163,7.487324
ikk-2-inhibitor,2807869.0,1.3051702,-11.858445
modaline,17860.0,21.112965,64.68279
ite,4668801.0,-18.620584,-23.98601
istaroxime,9841834.0,-22.024715,61.439648
antimonyl,,-37.578487,-48.696983
ro-90-7501,824226.0,-0.9407756,-1.366952
edelfosine,6610230.0,-20.854725,69.25582
t-5601640,9438169.0,18.930822,-28.450922
3-mppi,4013695.0,51.15495,22.608114
asunaprevir,16076883.0,20.791681,-70.17769
geniposide,107848.0,-67.32507,-47.37022
jnj-38877605,46911863.0,10.385598,-6.4976473
treprostinil,6918140.0,-75.84063,-12.893911
morphothiadin,129387808.0,35.22042,56.86942
shp099,118238298.0,19.70487,69.08733
fimasartan,9870652.0,45.299156,22.011522
amfenac,2136.0,-31.708426,-0.99584496
bismuth(iii)-trifluoromethanesulfonate,,-19.662136,-54.773754
mirin,137319711.0,4.3593273,-30.36697
urb597,1383884.0,-33.218533,1.615722
atiprimod,129869.0,1.3243314,66.913956
cyacetacide,8820.0,-19.811796,-10.2954855
(r)-(-)-apomorphine,6005.0,1.6114498,48.674522
a12b4c3,,35.796455,-40.661106
sodium-nitrite,129009887.0,-27.21291,-37.603874
iododexetimide,14479849.0,54.37283,43.53415
ly404187,66857735.0,-12.888573,-70.98635
fgin-1-27,132496.0,41.396545,52.426872
apy0201,56927660.0,28.41643,58.286892
ethoxzolamide,3295.0,-11.052989,-60.48807
methyl-aminolevulinate,157922.0,-49.389515,15.0803585
inx-08189,49862762.0,59.7478,-16.03181
nhi-2,51355147.0,33.001556,-21.456984
letrozole,3902.0,8.707254,-6.040649
dorsomorphin,11524144.0,27.788862,49.780846
nadifloxacin,9850038.0,75.52628,23.834925
skf-81297,11957706.0,-23.421234,32.50865
tolonium,91311512.0,-6.474425,5.508652
corticosterone,5753.0,-88.58781,8.046369
kpt-276,71496742.0,20.672138,-18.500006
mozavaptan,11441742.0,25.926443,43.25844
ac-186,71245042.0,-40.922997,-24.720146
dspc,5313335.0,-20.67818,69.158295
kifunensine,130611.0,66.40949,-15.637338
gdc-0941,17755052.0,13.383169,-78.62292
oxyphenbutazone,448033.0,30.329187,-25.79287
ec-144,11517212.0,42.947617,-7.5682635
phenacaine,7588.0,-37.264053,-7.11212
ravuconazole,467825.0,15.421215,2.5568242
bms-ccr2-22,24801690.0,-27.125097,19.400347
act-132577,25099191.0,7.298714,-66.93279
kme-4,6438990.0,-81.92187,-16.625916
ostarine,11326715.0,-34.431114,4.5984955
incb-3284,,64.48252,38.676273
cu-t12-9,91826088.0,26.710258,-37.69416
sulbutiamine,3002120.0,71.204445,2.3594015
ilaprazole,76968095.0,5.512692,-53.07665
tacedinaline,2746.0,-24.818281,-4.1844354
nbi-98782,14580381.0,0.16519333,44.8797
clenbuterol,688428.0,-40.652332,35.867485
galidesivir,10445549.0,66.3654,-12.693747
tg-003,1893668.0,12.252271,12.107474
valrocemide,6918293.0,-38.408363,18.700552
bosutinib,5328940.0,66.10361,21.061419
parachlorophenol,4684.0,-42.47984,-24.967726
pyridoxamine,11205997.0,-36.022,-18.098682
plurisin-1,225362.0,-15.471457,-8.786582
