name,pubchem_cid,TSNE1,TSNE2
bx-912,11754511.0,42.735096,-57.38167
itopride,3792.0,17.913857,-55.21475
azm-475271,5330175.0,19.56444,-74.03187
cilazapril,56330.0,44.842937,37.28544
methylprednisolone-sodium-succinate,16923.0,-68.47795,49.003338
benfluralin,2319.0,-27.372458,22.765497
"cp-105,696",9867257.0,37.79373,14.079207
nedocromil,50294.0,75.46187,20.138424
l-ergothioneine,3037043.0,-1.7376688,49.25012
ikk-2-inhibitor,2807869.0,20.5708,14.78433
modaline,17860.0,-31.016958,14.957918
ite,4668801.0,36.346897,57.153614
istaroxime,9841834.0,-62.523685,38.27779
antimonyl,,-35.526176,10.2965145
ro-90-7501,824226.0,-35.401978,-25.638319
edelfosine,6610230.0,-31.185448,56.458305
t-5601640,9438169.0,56.81205,-41.230675
3-mppi,4013695.0,13.904791,-56.23893
asunaprevir,16076883.0,31.414976,-65.91078
geniposide,107848.0,-77.263596,-4.7376876
jnj-38877605,46911863.0,-10.583901,-40.29242
treprostinil,6918140.0,-21.429766,63.51893
morphothiadin,129387808.0,61.115974,-23.83134
shp099,118238298.0,-17.58963,-21.902054
fimasartan,9870652.0,66.396545,29.916485
amfenac,2136.0,22.044209,17.122452
bismuth(iii)-trifluoromethanesulfonate,,-29.4414,32.210598
mirin,137319711.0,-12.751799,11.194821
urb597,1383884.0,20.392948,5.960715
atiprimod,129869.0,-32.216335,47.814087
cyacetacide,8820.0,-13.075641,45.23586
(r)-(-)-apomorphine,6005.0,-46.595863,2.305651
a12b4c3,,-14.441399,27.027964
sodium-nitrite,129009887.0,-34.93331,30.646635
iododexetimide,14479849.0,9.907458,-30.25665
ly404187,66857735.0,-20.873865,4.276838
fgin-1-27,132496.0,12.693709,39.41929
apy0201,56927660.0,12.686734,-43.86108
ethoxzolamide,3295.0,-23.822834,-51.22044
methyl-aminolevulinate,157922.0,-15.728731,48.48949
inx-08189,49862762.0,-57.783566,-31.361238
nhi-2,51355147.0,55.936802,-36.84281
letrozole,3902.0,-41.234333,-18.416788
dorsomorphin,11524144.0,14.047314,-38.587658
nadifloxacin,9850038.0,81.29506,19.695307
skf-81297,11957706.0,-50.073402,-0.4511689
tolonium,91311512.0,-34.642498,-28.7904
corticosterone,5753.0,-66.032814,45.06342
kpt-276,71496742.0,52.911293,-41.778828
mozavaptan,11441742.0,41.84217,-14.220511
ac-186,71245042.0,-15.835151,-3.2752483
dspc,5313335.0,-30.329071,57.215412
kifunensine,130611.0,-64.85256,-19.721224
gdc-0941,17755052.0,5.682782,-42.9325
oxyphenbutazone,448033.0,-8.150712,-6.1717277
ec-144,11517212.0,-43.55915,-32.652092
phenacaine,7588.0,42.20608,-1.7022393
ravuconazole,467825.0,-42.204086,-22.116505
bms-ccr2-22,24801690.0,52.253742,-38.792126
act-132577,25099191.0,10.7191515,-14.276565
kme-4,6438990.0,-18.873707,9.947878
ostarine,11326715.0,-9.820366,20.583073
incb-3284,,47.50836,-37.404385
cu-t12-9,91826088.0,-26.916224,22.147612
sulbutiamine,3002120.0,-49.59931,-28.889996
ilaprazole,76968095.0,-15.6855955,-51.799488
tacedinaline,2746.0,35.462112,-1.0495207
nbi-98782,14580381.0,-4.0104246,-73.09362
clenbuterol,688428.0,-0.875409,9.335385
galidesivir,10445549.0,-62.93344,-30.858486
tg-003,1893668.0,19.508036,-14.2513
valrocemide,6918293.0,-9.297464,58.704712
bosutinib,5328940.0,18.86461,-74.37545
parachlorophenol,4684.0,-24.656588,-16.185034
pyridoxamine,11205997.0,-32.536728,-32.061577
plurisin-1,225362.0,51.13152,-1.5998446
fenbufen,3335.0,38.21732,15.703636
propranolol-(s),91536.0,76.301285,-0.20812918
itx3,1362865.0,-5.200179,-12.416568
sodium-danshensu,179536.0,16.87654,45.99773
lupanine,91471.0,-37.05981,15.203739
isodibut,145949.0,23.344082,19.216143
eliprodil,9798372.0,19.979445,-35.26799
gw-542573x,24885053.0,16.469032,-59.991478
ttnpb,5289501.0,3.1920943,24.192654
riociguat,11304743.0,49.8189,-14.261905
scopine,,-41.191933,27.863367
ko143,10322450.0,2.900711,14.290405
indium(iii)-isopropoxide,,-30.14154,40.975517
pf-04620110,,-10.683664,28.609217
e7449,135565981.0,-14.974007,-10.1988
benzoylpas,10718.0,38.876602,2.6584666
sj-733,89508529.0,43.75061,-28.0151
fosfluconazole,214356.0,-27.811539,-40.89806
istradefylline,5311037.0,-8.142372,-65.44492
amcasertib,122412734.0,58.630733,22.284468
moxidectin,9832912.0,-73.559074,18.291687
ono-ae3-208,92978378.0,28.178225,20.43189
sb-415286,4210951.0,-16.611338,18.798496
tboa-(dl),90479771.0,34.46803,22.021803
cc-115,58298318.0,-35.44899,-8.6161
azd5069,56645576.0,30.84233,-35.679394
blonanserin,125564.0,-11.065353,-53.70863
bp-554,134117.0,15.9586315,-40.179577
jhw-007,,-31.996687,-9.9543085
diethylcarbamazine,3052.0,-11.957711,34.25127
glesatinib,25181472.0,39.26101,-46.579567
ursolic-acid,64945.0,-61.51941,32.00414
vesamicol,659840.0,-1.3391321,-21.034653
alovudine,33039.0,-68.096825,-20.870232
pilocarpine,5910.0,-41.57442,0.7282733
purvalanol-a,456214.0,-6.4037313,-45.282383
benzethonium,2335.0,7.52956,2.4898734
mefloquine,40692.0,18.147223,-30.477112
deoxyarbutin,11521237.0,-52.736595,-1.8166692
ly3214996,121408882.0,11.251826,-40.790714
ns-11021,24825677.0,55.75639,-43.179306
monocrotaline,9415.0,-56.882847,22.662737
masoprocol,688035.0,-6.918062,10.613428
squalamine,72495.0,-51.864483,38.422016
mc1568,71311876.0,39.455578,-13.545821
targinine,46906075.0,-0.6002264,63.04313
xanthone,7020.0,-9.783932,-13.281641
alantolactone,72724.0,-55.76153,23.074795
mibampator,9889366.0,15.379688,0.46801576
karenitecin,148202.0,-61.327404,2.2746136
sbe-13,4719406.0,-6.3260417,-60.87705
ozolinone,76959758.0,-10.365776,37.612705
kw-3902,,-39.166668,0.4875175
abt-491,154087.0,50.99594,-8.816197
nonivamide,2998.0,8.483464,34.881992
chiniofon,1550821.0,-17.59834,-35.017315
carbendazim,25429.0,47.66,5.824269
mercaptopurine,667490.0,-30.258469,-28.297121
6-aminopenicillanic-acid,7057887.0,-10.480422,39.832005
acriflavine,452192.0,-34.631927,-27.99107
linezolid,441401.0,61.851917,-25.810719
trichlormethiazide,12444480.0,-22.654013,-3.2667978
2-thiouracil,1269845.0,-33.53636,1.115204
methantheline,4097.0,29.853024,32.84997
3-indolebutyric-acid,8617.0,33.58563,57.708923
dehydrocorydaline,34781.0,-7.2979736,-71.49378
nu-2058,4564.0,-40.622093,17.131838
tmn-355,44249042.0,35.48504,-13.827509
dixyrazine,9932302.0,12.740955,-26.577541
isosorbide-mononitrate,27661.0,-30.621613,25.516039
alosetron,2099.0,4.2969146,-34.056915
editol,7014872.0,-31.196898,40.355507
s-38093,70941112.0,6.0671916,17.90909
gsk2816126,68210102.0,35.92447,-37.5774
thiorphan,4369380.0,38.396812,20.495724
antalarmin,177990.0,-35.767483,-33.645184
hydroxychloroquine,12947.0,6.081276,-54.826866
hematoxylin,442514.0,-54.009388,-1.3882755
tetramisole,26879.0,-0.010882306,-21.32636
slv-319-(+/-),9826744.0,14.648605,-5.026426
sapacitabine,153970.0,-59.99406,-23.14274
ataluren,11219835.0,34.98312,11.039567
l-glutamine,6992086.0,-0.07036655,58.059246
prima1,322968.0,-33.99062,13.576044
filanesib,44224257.0,48.14524,-13.907373
ml133,781301.0,19.018106,-8.488916
ouabain,11527152.0,-68.52049,26.710516
retapamulin,,-62.149837,25.054092
tazobactam,123630.0,-10.979607,39.64597
tradipitant,9916461.0,51.85848,-42.909786
dpi-201106,10389826.0,76.798996,-3.2694502
m-chlorophenylbiguanide,1354.0,28.945509,-7.945524
metacresol,342.0,-11.246716,5.2690506
lobenzarit,3946.0,28.616182,-3.669273
butalbital,2481.0,-38.76727,6.0170035
cgp-74514,2794188.0,-6.9956937,-45.42385
lanifibranor,68677842.0,23.056978,24.017004
ginkgolide-a,,-59.35784,22.79921
cs-110266,123692.0,-3.0051315,-23.84483
vu0155069,25105713.0,56.078808,18.506311
lapatinib,208908.0,24.983854,-75.91047
fidaxomicin,10034073.0,-73.570015,19.922998
beta-glycerophosphoric-acid,2526.0,-27.447395,38.153152
l-arginine,6322.0,-0.1394448,63.378765
dipivefrine,969492.0,-1.612112,11.034918
phthalylsulfacetamide,8574.0,38.834354,-5.7212505
flumethasone,16490.0,-64.80064,53.341225
n-salicoylaminophenol,4602.0,38.59291,1.9690053
ch5132799,49784945.0,10.736557,-48.552593
ckd-712,9861304.0,-49.73926,0.44089025
md-920,6466.0,-57.561604,25.793804
ns-3623,9954236.0,55.916767,-42.821938
clobenpropit,2790.0,-26.362015,-27.989296
omtriptolide,6918522.0,-59.86912,27.062643
bms-649,127019.0,2.8755586,24.240353
norfloxacin,6919051.0,79.75703,19.69635
carsalam,16258.0,-10.25153,-13.183579
pf-04691502,,-40.690254,-32.98708
ncs-382,6604757.0,21.432512,11.040922
ggti-298,9811606.0,48.936615,21.200825
siponimod,44599207.0,45.791767,-33.711514
bms-817378,44137813.0,37.927956,-44.458706
diftalone,30717.0,-14.865865,-10.536135
doconexent-ethyl-ester,9831416.0,-19.760849,50.100727
hycanthone,3634.0,13.749391,3.5608907
molindone,6604347.0,-34.152447,12.240959
cedrol-(+),65575.0,-52.813286,29.433414
dexchlorpheniramine,33036.0,8.3941145,-2.9455712
cb-03-01,11750009.0,-67.64032,45.66829
bilobalide,73581.0,-58.89136,22.663979
latrepirdine,197033.0,4.564517,-32.368534
timolol,33624.0,74.67436,2.8533316
eupatilin,5273755.0,-11.846957,-65.71553
yoda-1,2746822.0,-18.571726,-26.668535
ceramide,5497136.0,-25.814257,55.185276
"n-methyl-(-)ephedrine-[1r,2s]",64782.0,-0.553548,3.6578035
palmatine-chloride,19009.0,-7.389082,-71.73304
nifedipine,4485.0,54.41166,45.078056
nifekalant,4486.0,-18.356712,26.868174
mephentermine,3677.0,2.462256,-5.3656087
cefotiam,43708.0,6.2541084,89.69796
tetrahydrozoline,716128.0,-6.964169,-23.646112
misonidazole,73050801.0,-23.968395,26.981749
clavulanate,5280980.0,-12.806095,37.982635
levopropoxyphene,133687039.0,30.377052,25.4258
dr-2313,135522417.0,-35.252098,0.50329995
drospirenone,68873.0,-65.41978,39.297234
ave-0991,9851724.0,48.76109,25.215828
cts21166,445649.0,23.918806,60.59064
lidamidine,47510.0,31.66411,0.74882245
salidroside,159278.0,-70.77892,-6.858449
ornidazole,688540.0,-23.797972,26.554619
rad140,44200882.0,-21.274212,3.5792713
flubendazole,35802.0,48.172726,4.77839
cantharidin,5944.0,-56.013252,24.384798
metirosine,6918925.0,15.562748,43.988136
glycopyrrolate,9933193.0,33.78511,33.042023
nafamostat,4413.0,40.179276,-0.7026521
aim-100,11501591.0,-4.4777746,-18.540556
n-acetylmannosamine,11869379.0,-78.71251,-4.531704
bms-182874,122272.0,7.052203,-9.704377
stetaderm,92730.0,-66.030624,42.33064
cefuroxime,5479529.0,6.3728523,87.039215
aminothiazole,2155.0,-31.36145,-26.173487
doxylamine,43833352.0,7.4156857,-1.601431
icariin,5318997.0,-67.02294,-8.420656
pi-828,25181195.0,7.566955,-44.777454
nxy-059,6913176.0,-18.85225,7.1272507
f-11440,208928.0,12.333142,-35.523174
azd1283,23649325.0,47.37162,38.54551
ly2109761,11655119.0,13.564808,-39.668644
ym-201636,9956222.0,13.600971,-46.89195
tinoridine,5480.0,47.395996,36.496178
aloxistatin,65663.0,-6.178447,64.89607
anagrelide,135409400.0,-24.76187,-11.18737
dibenzothiophene,3023.0,-7.5791087,-15.827775
bu-224,2457.0,-9.4139,-24.70538
brivanib,11234052.0,-35.865444,-51.059055
talmapimod,9871074.0,57.45548,-18.59733
pf-06412562,74223726.0,-26.200191,-34.554512
kynurenic-acid,3845.0,32.595585,14.511646
denopamine,5311064.0,-3.9961188,-63.35315
pifithrin-cyclic,443278.0,-30.130444,14.406409
fusidic-acid,3000226.0,-62.33001,32.85861
scriptaid,5186.0,23.327583,19.242064
gpi-688,24901657.0,56.282784,19.145578
mrs-3777,11771279.0,-3.9969623,-20.700535
kd-023,115175.0,16.813068,34.30711
dolutegravir,54726191.0,56.33557,-21.405933
purmorphamine,5284329.0,12.438066,-51.680504
pha-568487,9932000.0,34.822712,-18.94376
ripretinib,71584930.0,43.689823,-12.050247
nitrofurantoin,6604200.0,-23.805677,20.103256
skf-77434,6603997.0,-47.641033,1.2760388
2-chloropyrazine,73277.0,-28.65819,-25.673084
oxytetracycline,,-64.082405,9.652052
azd7687,,1.3239706,37.825542
l-701324,54682505.0,-7.6207676,0.83987504
nqdi-1,5522952.0,26.385563,33.31934
pf-4981517,71315139.0,-9.062374,-49.241035
lithocholic-acid,9903.0,-54.192722,38.066517
betahistine,2366.0,-13.059498,-31.303846
ehop-016,51031035.0,12.470013,-42.045654
gka-50,11340230.0,47.300022,16.982725
