name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
meprylcaine,4065.0,11.081511,1.3115716,4065,meprylcaine,False,0.0,,No metal,True
rbc8,,9.391911,-0.6231419,,rbc8,False,0.0,,No metal,True
lifirafenib,89670174.0,9.588967,-0.20460969,89670174,lifirafenib,False,0.0,,No metal,True
y-320,22227931.0,10.864343,-1.144626,22227931,y-320,False,0.0,,No metal,True
isbufylline,65681.0,10.199876,-1.481779,65681,isbufylline,False,0.0,,No metal,True
dovitinib,135398510.0,10.752659,-1.1041894,135398510,dovitinib,False,0.0,,No metal,True
isosorbide,12597.0,7.6317134,2.1125476,12597,isosorbide,False,0.0,,No metal,True
sb-228357,443390.0,10.816096,-1.206724,443390,sb-228357,False,0.0,,No metal,True
lovastatin,53232.0,7.8418527,3.965036,53232,lovastatin,False,0.0,,No metal,True
furazolidone,5323714.0,7.7677226,-1.0654593,5323714,furazolidone,False,0.0,,No metal,True
ym-976,6604918.0,9.96758,-1.2398751,6604918,ym-976,False,0.0,,No metal,True
tryptanthrin,73549.0,9.860896,-0.9704055,73549,tryptanthrin,False,0.0,,No metal,True
alpha-d-glucopyranose,79025.0,7.4840555,2.2440054,79025,alpha-d-glucopyranose,False,0.0,,No metal,True
vu0238429,42633508.0,9.981951,-0.5852452,42633508,vu0238429,False,0.0,,No metal,True
prednisolone-hemisuccinate,656804.0,7.530011,4.141722,656804,prednisolone-hemisuccinate,False,0.0,,No metal,True
sobuzoxane,5233.0,11.795895,-0.45176727,5233,sobuzoxane,False,0.0,,No metal,True
almotriptan,123606.0,3.9160898,1.6877589,123606,almotriptan,False,0.0,,No metal,True
paramethadione,51380897.0,11.513932,-0.13068898,51380897,paramethadione,False,0.0,,No metal,True
crenigacestat,71236992.0,11.54506,-1.6098362,71236992,crenigacestat,False,0.0,,No metal,True
fevipiprant,23582412.0,4.1842327,1.8714676,23582412,fevipiprant,False,0.0,,No metal,True
picrotin,,7.5747323,3.714644,,picrotin,False,0.0,,No metal,True
dizocilpine-(-),6337640.0,9.587628,0.9489202,6337640,dizocilpine-(-),False,0.0,,No metal,True
se-methylselenocysteine,45266674.0,9.555216,1.9941489,45266674,se-methylselenocysteine,False,0.0,,No metal,True
4-tert-butylphenol,7393.0,8.201547,1.5873804,7393,4-tert-butylphenol,False,0.0,,No metal,True
mrk-016,6918583.0,9.658024,-1.3216816,6918583,mrk-016,False,0.0,,No metal,True
tc-s-7005,24971422.0,8.911373,-0.31476766,24971422,tc-s-7005,False,0.0,,No metal,True
danazol,28417.0,8.237916,3.9079676,28417,danazol,False,0.0,,No metal,True
falecalcitriol,5282190.0,8.166658,3.848849,5282190,falecalcitriol,False,0.0,,No metal,True
gw-405833,9911463.0,11.413577,-0.85789347,9911463,gw-405833,False,0.0,,No metal,True
