name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
ricinoleic-acid,643684,-2.3161297,6.072438,643684,ricinoleic-acid,False,0.0,,No metal,True
padsevonil,52911611,4.8711195,9.228204,52911611,padsevonil,False,0.0,,No metal,True
palmitoylethanolamide,4671,-1.6463689,6.689588,4671,palmitoylethanolamide,False,0.0,,No metal,True
tram-39,9861261,6.6035924,2.030128,9861261,tram-39,False,0.0,,No metal,True
sclareolide,929262,-2.5873234,5.1286807,929262,sclareolide,False,0.0,,No metal,True
probucol,4912,9.483575,1.4821627,4912,probucol,False,0.0,,No metal,True
alvimopan,5488548,8.640899,2.3557389,5488548,alvimopan,False,0.0,,No metal,True
lidocaine,3676,6.9524865,3.7099736,3676,lidocaine,False,0.0,,No metal,True
6-diazo-5-oxo-l-norleucine,73707377,-1.7350289,7.0715423,73707377,6-diazo-5-oxo-l-norleucine,False,0.0,,No metal,True
gsk37647,743974,9.014477,3.1106257,743974,gsk37647,False,0.0,,No metal,True
valbenazine,24795069,10.084919,3.0110667,24795069,valbenazine,False,0.0,,No metal,True
azd9496,86287635,6.4841175,6.297211,86287635,azd9496,False,0.0,,No metal,True
mln1117,70798655,8.286237,7.6141043,70798655,mln1117,False,0.0,,No metal,True
gsk2334470,46215815,6.2454195,7.9212456,46215815,gsk2334470,False,0.0,,No metal,True
tetradecylthioacetic-acid,114924,-1.7700207,5.9751515,114924,tetradecylthioacetic-acid,False,0.0,,No metal,True
florfenicol,114811,8.222301,2.0792463,114811,florfenicol,False,0.0,,No metal,True
hydralazine,9351,5.8598804,7.045643,9351,hydralazine,False,0.0,,No metal,True
av-608,9917079,6.519892,6.498042,9917079,av-608,False,0.0,,No metal,True
l-741742,133008,8.105536,4.25406,133008,l-741742,False,0.0,,No metal,True
sib-1757,132466061,6.4891095,3.5720742,132466061,sib-1757,False,0.0,,No metal,True
olanzapine,135398745,6.2871614,3.4814858,135398745,olanzapine,False,0.0,,No metal,True
tak-593,24767976,8.317014,7.6092253,24767976,tak-593,False,0.0,,No metal,True
clopamide,12492,7.002407,2.6879282,12492,clopamide,False,0.0,,No metal,True
isaxonine,71169,5.3007894,8.762437,71169,isaxonine,False,0.0,,No metal,True
ebpc,6919079,7.179038,2.344932,6919079,ebpc,False,0.0,,No metal,True
cefpirome,6917675,6.4293423,7.301567,6917675,cefpirome,False,0.0,,No metal,True
kt-433,3874929,10.502206,1.9929917,3874929,kt-433,False,0.0,,No metal,True
l-proline,6971047,-1.808979,7.065722,6971047,l-proline,False,0.0,,No metal,True
benethamine,65055,6.644822,2.1361947,65055,benethamine,False,0.0,,No metal,True
napabucasin,10331844,10.444201,1.9730608,10331844,napabucasin,False,0.0,,No metal,True
erdafitinib,67462786,8.149698,6.7607813,67462786,erdafitinib,False,0.0,,No metal,True
