name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
gnf-2,5311510.0,-0.27167955,0.6430216,5311510,gnf-2,False,0.0,,No metal,True
mln0128,45375953.0,3.2768965,1.8583885,45375953,mln0128,False,0.0,,No metal,True
atropine-oxide,,-0.05011137,9.239068,,atropine-oxide,False,0.0,,No metal,True
buclizine,3246096.0,0.80470467,-0.0203114,3246096,buclizine,False,0.0,,No metal,True
bremelanotide,,0.7894534,5.0016103,,bremelanotide,False,0.0,,No metal,True
decamethoxine,,16.287558,3.8196073,,decamethoxine,False,0.0,,No metal,True
mofegiline,6437850.0,-0.17280751,10.536403,6437850,mofegiline,False,0.0,,No metal,True
cefditoren-pivoxil,6437877.0,-0.08458802,5.9559464,6437877,cefditoren-pivoxil,False,0.0,,No metal,True
bix-02189,,0.18520907,0.6491132,,bix-02189,False,0.0,,No metal,True
ly344864,5311097.0,-0.13756013,-0.36172318,5311097,ly344864,False,0.0,,No metal,True
fenebrutinib,86567195.0,1.9866481,2.0230026,86567195,fenebrutinib,False,0.0,,No metal,True
shikimic-acid,11332752.0,2.424371,9.270362,11332752,shikimic-acid,False,0.0,,No metal,True
tegaserod,135409453.0,-2.499266,5.4317956,135409453,tegaserod,False,0.0,,No metal,True
apramycin,3081545.0,0.46886432,6.140128,3081545,apramycin,False,0.0,,No metal,True
alizarin,6293.0,-3.5228193,5.9096737,6293,alizarin,False,0.0,,No metal,True
azd3965,10369242.0,-0.3986844,1.4450091,10369242,azd3965,False,0.0,,No metal,True
cid-5458317,,-3.5640664,5.069969,,cid-5458317,False,0.0,,No metal,True
roflumilast,449193.0,-2.3846958,4.230016,449193,roflumilast,False,0.0,,No metal,True
ssr128129e,11347895.0,-0.8641588,0.11750976,11347895,ssr128129e,False,0.0,,No metal,True
ombrabulin,6918405.0,-1.4525493,5.4637294,6918405,ombrabulin,False,0.0,,No metal,True
deferiprone,2972.0,-1.0858139,10.55948,2972,deferiprone,False,0.0,,No metal,True
cevimeline,18642481.0,3.235284,8.190571,18642481,cevimeline,False,0.0,,No metal,True
tc-f-2,25198728.0,2.7803783,2.717609,25198728,tc-f-2,False,0.0,,No metal,True
gsk269962,16095342.0,2.003541,2.3506088,16095342,gsk269962,False,0.0,,No metal,True
cgp-54626,197584.0,0.3820261,8.57963,197584,cgp-54626,False,0.0,,No metal,True
ticlopidine,5472.0,-4.0177913,4.3127403,5472,ticlopidine,False,0.0,,No metal,True
dofequidar,9960287.0,2.9113517,1.4526036,9960287,dofequidar,False,0.0,,No metal,True
tgx-221,51601993.0,-0.47867408,0.201997,51601993,tgx-221,False,0.0,,No metal,True
rs-100329,3567002.0,-2.12251,5.1513667,3567002,rs-100329,False,0.0,,No metal,True
sa-47,9840648.0,-0.122518025,8.685529,9840648,sa-47,False,0.0,,No metal,True
olopatadine,5281071.0,-2.9994936,4.6375594,5281071,olopatadine,False,0.0,,No metal,True
khellin,3828.0,-0.7602457,-0.6408253,3828,khellin,False,0.0,,No metal,True
osi-930,9868037.0,2.8744478,1.2322626,9868037,osi-930,False,0.0,,No metal,True
ammonium-lactate,10313098.0,2.8439846,9.271005,10313098,ammonium-lactate,False,0.0,,No metal,True
azd4573,124155204.0,-2.2842393,4.904917,124155204,azd4573,False,0.0,,No metal,True
