canonical_smiles,compound_name,original_smiles,source_existing_registry,source_drugseq,source_tahoe
C.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)C=CC(=O)O,Bisoprolol (hemifumarate),C.CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O,False,False,True
C.CC(O)C(=O)[O-].[Ca+2],Lactate (calcium),C.CC(C(=O)[O-])O.[Ca+2],False,False,True
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-[(E)-5-hydroxy-3-(oxolan-2-ylmethyldisulfanyl)pent-2-en-2-yl]formamide,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,False,True,False
C/C(=C(/CCO)SSC[C@H]1CCCO1)N(C=O)Cc1cnc(C)nc1N,fursultiamine,C\C(N(Cc1cnc(C)nc1N)C=O)=C(\CCO)SSC[C@H]1CCCO1 |&1:21|,True,False,False
C/C(=C(/CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,sulbutiamine,CC(C)C(=O)OCC\C(SS\C(CCOC(=O)C(C)C)=C(/C)N(Cc1cnc(C)nc1N)C=O)=C(\C)N(Cc1cnc(C)nc1N)C=O,True,False,False
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,benfotiamine,C\C(N(Cc1cnc(C)nc1N)C=O)=C(/CCOP(O)(O)=O)SC(=O)c1ccccc1,True,False,False
C/C(=C/C(N)C(=O)O)CP(=O)(O)O,(Z)-2-amino-4-methyl-5-phosphonopent-3-enoic acid,C/C(=C/C(N)C(=O)O)CP(=O)(O)O,False,True,False
C/C(=C\C(=O)Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,bibr-1532,C\C(=C/C(=O)Nc1ccccc1C(O)=O)c1ccc2ccccc2c1,True,False,False
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,mupirocin,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,True,False,False
C/C(=C\C(N)C(=O)O)CP(=O)(O)O,(E)-2-amino-4-methyl-5-phosphonopent-3-enoic acid,C/C(=C\\C(N)C(=O)O)CP(=O)(O)O,False,True,False
C/C(=C\CNc1ncnc2nc[nH]c12)CO,zeatin,C\C(CO)=C/CNc1ncnc2nc[nH]c12,True,False,False
C/C(=C\Cc1c(O)cc(C)c(C=O)c1O)CC[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C,"2,4-dihydroxy-6-methyl-3-[(E)-3-methyl-5-[(1S,2R,6R)-1,2,6-trimethyl-3-oxocyclohexyl]pent-2-enyl]benzaldehyde",C/C(=C\\Cc1c(O)cc(C)c(C=O)c1O)CC[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C,False,True,False
C/C(=C\[C@@H](N)C(=O)O)CP(=O)(O)O,cgp-37849,"C\C(CP(O)(O)=O)=C/[C@@H](N)C(O)=O |&1:8,r|",True,False,False
C/C(=C\[C@H](N)C(=O)O)CP(=O)(O)O,"(E,2S)-2-amino-4-methyl-5-phosphonopent-3-enoic acid",C/C(=C\\[C@H](N)C(=O)O)CP(=O)(O)O,False,True,False
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,ttnpb,C\C(=C/c1ccc(cc1)C(O)=O)c1ccc2c(c1)C(C)(C)CCC2(C)C,True,True,False
C/C(=C\c1ccc(Cc2cccnc2)cc1)C(=O)O,(E)-2-methyl-3-[4-(pyridin-3-ylmethyl)phenyl]prop-2-enoic acid,C/C(=C\\c1ccc(Cc2cccnc2)cc1)C(=O)O,False,True,False
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,epothilone-a,C[C@H]1CCC[C@H]2O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1,True,False,False
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,ixabepilone,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1,True,False,False
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,epothilone-b,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1,True,True,False
C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCCCCCC(=O)Nc2cc(/C(C)=N/NC(=N)N)cc(/C(C)=N/NC(=N)N)c2)cc(/C(C)=N/NC(=N)N)c1,"N,N'-bis[3,5-bis[(E)-N-(diaminomethylideneamino)-C-methylcarbonimidoyl]phenyl]decanediamide",C/C(=N\\NC(=N)N)c1cc(NC(=O)CCCCCCCCC(=O)Nc2cc(/C(C)=N/NC(=N)N)cc(/C(C)=N/NC(=N)N)c2)cc(/C(C)=N/NC(=N)N)c1,False,True,False
C/C(=N\NC(=N)N)c1ccc(NC(=O)Nc2ccc(/C(C)=N/NC(=N)N)cc2)cc1,"1,3-bis[4-[(E)-N-(diaminomethylideneamino)-C-methylcarbonimidoyl]phenyl]urea",C/C(=N\\NC(=N)N)c1ccc(NC(=O)Nc2ccc(/C(C)=N/NC(=N)N)cc2)cc1,False,True,False
C/C(=N\NC(=O)[C@@H](NC(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12)c1cccc(Br)c1,ac-55541,"C\C(=N/NC(=O)[C@@H](NC(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12)c1cccc(Br)c1 |&1:6,r|",True,False,False
C/C(=N\NC(=O)[C@@H]1C(=O)NC[C@H]1c1ccccc1)c1cccc(Br)c1,ac-264613,C\C(=N/NC(=O)[C@H]1[C@@H](CNC1=O)c1ccccc1)c1cccc(Br)c1,True,True,False
C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCN(C)CC2)c1)c1cc(Cl)ccc1O,seclidemstat,CN1CCN(CC1)S(=O)(=O)c1cccc(c1)C(=O)N\N=C(/C)c1cc(Cl)ccc1O,True,False,False
C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,N-[(E)-1-(5-chloro-2-hydroxyphenyl)ethylideneamino]-3-morpholin-4-ylsulfonylbenzamide,C/C(=N\\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,False,True,False
C/C(=N\NC(=S)N1CCC1)c1ccccn1,nsc-319726,C\C(=N/NC(=S)N1CCC1)c1ccccn1,True,True,False
C/C(=N\NC(=S)NNC(=S)Nc1ccccc1Cl)c1ccccn1,bw-348u87,C\C(=N/NC(=S)NNC(=S)Nc1ccccc1Cl)c1ccccn1,True,False,False
C/C(=N\OCCO)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1,"2-[(E)-1-[3-[(1S)-1-(5,7-difluoroquinolin-6-yl)ethyl]-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]ethylideneamino]oxyethanol",C/C(=N\\OCCO)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1,False,True,False
C/C(=N\c1ccccc1N)c1c(C)cc(=O)n(O)c1O,sun-b-8155,C\C(=N/c1ccccc1N)c1c(C)cc(=O)n(O)c1O,True,False,False
C/C(N)=N\CCCC[C@H](N)C(=O)O,(2S)-2-amino-6-(1-aminoethylideneamino)hexanoic acid,C/C(N)=N\\CCCC[C@H](N)C(=O)O,True,True,False
C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,"(Z)-2-cyano-N-(2,5-dibromophenyl)-3-hydroxybut-2-enamide",C/C(O)=C(\\C#N)C(=O)Nc1cc(Br)ccc1Br,False,True,False
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,(Z)-2-cyano-3-hydroxy-N-[4-(trifluoromethyl)phenyl]but-2-enamide,C/C(O)=C(\\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,False,True,False
C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,latrunculin-b,"C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]2CSC(=O)N2)OC(=O)\C=C(C)/CC\C=C/1 |c:27,t:22|",True,False,False
C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1,epothilone-d,C[C@H]1CCC\C(C)=C/C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1 |c:6|,True,False,False
