name,pubchem_cid,UMAP1,UMAP2
atiprimod,129869,-0.9601266,6.584179
cyacetacide,8820,-1.3805052,6.6441646
(r)-(-)-apomorphine,6005,9.020653,2.1060233
sodium-nitrite,129009887,-1.1231493,6.15502
iododexetimide,14479849,7.064042,2.3708732
ly404187,66857735,6.6888576,2.0059786
fgin-1-27,132496,6.5681424,6.2913933
apy0201,56927660,6.095843,8.221755
ethoxzolamide,3295,7.66959,7.2750654
methyl-aminolevulinate,157922,-1.6712279,7.0346746
inx-08189,49862762,6.4366283,8.671456
nhi-2,51355147,7.053372,6.327041
letrozole,3902,6.6766467,2.189894
nadifloxacin,9850038,9.572595,4.538679
skf-81297,11957706,8.937693,2.094287
tolonium,91311512,6.1756387,3.4464786
corticosterone,5753,-3.425935,4.912795
kpt-276,71496742,6.766599,7.7736487
mozavaptan,11441742,7.229291,3.383712
ac-186,71245042,9.478036,1.46721
dspc,5313335,-1.8943231,6.1273293
kifunensine,130611,-2.1656673,6.738322
gdc-0941,17755052,6.1538677,8.288006
oxyphenbutazone,448033,8.546614,3.317026
ec-144,11517212,7.948963,7.8554797
phenacaine,7588,8.966481,3.358443
ravuconazole,467825,6.710758,7.521444
bms-ccr2-22,24801690,7.158733,3.4067512
act-132577,25099191,8.137869,7.453511
kme-4,6438990,9.802624,1.6250784
ostarine,11326715,9.005871,3.401599
cu-t12-9,91826088,6.5319676,8.274478
sulbutiamine,3002120,5.399203,8.788161
ilaprazole,76968095,8.152132,7.940475
tacedinaline,2746,7.160766,3.3554337
nbi-98782,14580381,10.060939,2.9721057
clenbuterol,688428,8.236656,2.1445742
galidesivir,10445549,6.346656,8.596948
tg-003,1893668,8.85452,3.2969823
valrocemide,6918293,-1.514773,6.7722473
bosutinib,5328940,8.628596,7.099177
parachlorophenol,4684,9.418852,1.5848279
pyridoxamine,11205997,7.118028,6.773133
plurisin-1,225362,6.4296765,6.892316
fenbufen,3335,7.657802,1.4378957
propranolol-(s),91536,9.452006,2.560331
itx3,1362865,6.6688304,8.277705
sodium-danshensu,179536,9.911713,1.7731996
lupanine,91471,-1.4629079,6.636447
isodibut,145949,7.129863,2.4425683
eliprodil,9798372,8.043066,1.9876139
gw-542573x,24885053,8.969984,3.3120768
ttnpb,5289501,7.8984985,1.3544562
riociguat,11304743,6.0796394,8.274865
ko143,10322450,7.990986,6.4557953
e7449,135565981,7.3063855,3.444251
benzoylpas,10718,8.488657,3.437002
sj-733,89508529,6.5077467,6.8548155
fosfluconazole,214356,7.5474634,2.0579474
istradefylline,5311037,8.064902,7.6211
amcasertib,122412734,6.6033874,6.5431166
moxidectin,9832912,-2.7855117,6.184963
ono-ae3-208,92978378,7.8172183,3.3993123
sb-415286,4210951,8.445542,3.355393
tboa-(dl),90479771,7.932246,1.692236
cc-115,58298318,6.1855445,8.13493
azd5069,56645576,7.9882746,7.476527
blonanserin,125564,5.993472,7.6663465
bp-554,134117,9.1462755,3.0741065
diethylcarbamazine,3052,-1.164008,6.6452913
glesatinib,25181472,7.941737,7.26218
ursolic-acid,64945,-3.1916857,5.0991597
vesamicol,659840,7.3956804,2.0059888
alovudine,33039,-2.4560385,7.949169
pilocarpine,5910,4.9458814,8.854675
purvalanol-a,456214,6.344612,8.512958
benzethonium,2335,9.679168,2.6451893
mefloquine,40692,6.98087,6.509563
deoxyarbutin,11521237,9.723498,1.793966
ly3214996,121408882,6.4025335,7.9000125
ns-11021,24825677,6.5795393,3.8290694
monocrotaline,9415,-2.6961825,6.174759
masoprocol,688035,9.602176,1.5833712
squalamine,72495,-2.7037404,5.0685234
mc1568,71311876,6.616773,6.591691
targinine,46906075,-1.736734,7.1149845
xanthone,7020,10.155829,2.2267563
alantolactone,72724,-2.758321,5.8622546
mibampator,9889366,6.6805058,1.9813651
karenitecin,148202,7.4534326,6.1007333
sbe-13,4719406,8.084702,6.7925997
ozolinone,76959758,-1.59595,6.977576
abt-491,154087,6.6595926,7.9025774
nonivamide,2998,9.800076,2.8771064
chiniofon,1550821,7.5293293,6.513445
carbendazim,25429,6.7813864,8.475773
mercaptopurine,667490,4.979356,8.946969
6-aminopenicillanic-acid,7057887,-1.7263149,7.2746997
acriflavine,452192,6.0603456,6.5807915
linezolid,441401,6.7235713,3.561254
trichlormethiazide,12444480,6.249612,3.187559
2-thiouracil,1269845,-1.2353336,6.7296796
methantheline,4097,9.849185,2.48034
3-indolebutyric-acid,8617,6.7055,6.287909
dehydrocorydaline,34781,8.176483,6.752191
nu-2058,4564,5.3729234,9.138081
tmn-355,44249042,6.9880805,2.5489118
dixyrazine,9932302,6.176716,3.4469705
isosorbide-mononitrate,27661,-1.5817771,5.5038466
alosetron,2099,6.7284837,7.8642707
editol,7014872,-1.4364746,6.5447245
s-38093,70941112,9.700924,2.8640962
gsk2816126,68210102,6.590137,7.8178625
thiorphan,4369380,7.405379,2.2941887
antalarmin,177990,6.127204,8.089277
hydroxychloroquine,12947,6.0139112,6.7259316
hematoxylin,442514,10.149273,1.7081367
tetramisole,26879,6.631437,2.1865191
slv-319-(+/-),9826744,6.72353,2.048614
sapacitabine,153970,-2.6084685,8.088343
ataluren,11219835,6.9661965,7.247455
l-glutamine,6992086,-1.7211621,7.0545945
prima1,322968,-1.7844629,6.6184278
filanesib,44224257,6.776837,2.2117152
ml133,781301,9.605889,2.6722806
ouabain,11527152,-3.366384,5.3076873
tazobactam,123630,-1.762506,7.2719545
tradipitant,9916461,6.4717526,6.536095
dpi-201106,10389826,8.056177,6.286536
m-chlorophenylbiguanide,1354,6.4274187,3.6267414
metacresol,342,9.441064,1.5556293
lobenzarit,3946,7.977316,3.3715394
butalbital,2481,-1.5236694,6.6912017
cgp-74514,2794188,6.4187827,8.2975
lanifibranor,68677842,6.6866927,6.3132024
cs-110266,123692,6.744886,1.954453
vu0155069,25105713,7.15538,3.471668
lapatinib,208908,8.637889,7.3100967
fidaxomicin,10034073,10.885747,1.6807809
beta-glycerophosphoric-acid,2526,-1.3367919,6.014362
l-arginine,6322,-1.7417719,7.1018963
dipivefrine,969492,9.439939,2.4702632
phthalylsulfacetamide,8574,7.9813952,3.3386438
flumethasone,16490,-3.544863,4.8930845
n-salicoylaminophenol,4602,8.525446,3.3284888
ch5132799,49784945,6.1175966,8.150512
ckd-712,9861304,9.030855,2.1636214
md-920,6466,-3.6279404,5.0796185
ns-3623,9954236,6.7302957,3.727499
clobenpropit,2790,6.8658047,8.20484
omtriptolide,6918522,-3.3596292,5.232838
bms-649,127019,8.034095,1.3308578
norfloxacin,6919051,9.566888,4.5155144
carsalam,16258,9.639559,2.7481933
ncs-382,6604757,7.8989835,1.4604135
ggti-298,9811606,7.284615,3.4081826
siponimod,44599207,7.883612,1.7913505
bms-817378,44137813,8.3030615,7.2171373
diftalone,30717,7.060093,2.4189775
doconexent-ethyl-ester,9831416,-2.147525,6.120157
hycanthone,3634,8.049289,3.422922
molindone,6604347,6.551663,6.3834133
cedrol-(+),65575,-2.2781472,5.474061
dexchlorpheniramine,33036,6.0211983,6.9376097
cb-03-01,11750009,-3.3333125,4.8160043
bilobalide,73581,-1.8805926,5.727303
latrepirdine,197033,6.1881037,6.455235
timolol,33624,-1.912882,7.194615
eupatilin,5273755,10.713196,1.8340815
yoda-1,2746822,5.98655,7.0183797
ceramide,5497136,-2.0033867,6.8063335
"n-methyl-(-)ephedrine-[1r,2s]",64782,8.175554,2.0298953
palmatine-chloride,19009,8.173624,6.7210674
nifedipine,4485,7.4143987,0.7714407
nifekalant,4486,7.0909276,3.2981274
mephentermine,3677,6.6121435,2.0613606
cefotiam,43708,4.7394314,7.7606583
tetrahydrozoline,716128,6.4832945,2.1312985
misonidazole,73050801,4.5885363,8.82211
clavulanate,5280980,-1.7715085,6.7671223
levopropoxyphene,133687039,7.957911,1.8105329
dr-2313,135522417,-1.4568585,6.881112
drospirenone,68873,-3.2112901,4.7295003
ave-0991,9851724,6.700352,8.008548
cts21166,445649,7.5041404,2.279361
lidamidine,47510,6.812026,3.6955798
salidroside,159278,9.793546,1.6452823
ornidazole,688540,4.5779276,8.814813
rad140,44200882,8.0623,3.4196458
flubendazole,35802,6.798281,8.319809
cantharidin,5944,-1.9586746,5.927034
metirosine,6918925,8.813202,1.9882169
glycopyrrolate,9933193,7.868549,1.619477
nafamostat,4413,9.24106,3.2063677
aim-100,11501591,8.299406,7.514695
n-acetylmannosamine,11869379,-2.2731955,6.7249713
bms-182874,122272,7.9171033,4.2808566
stetaderm,92730,-3.3770337,4.955209
cefuroxime,5479529,8.683336,2.6957393
aminothiazole,2155,4.7421303,8.754039
doxylamine,43833352,6.8930273,6.6987615
icariin,5318997,10.862389,1.7461363
pi-828,25181195,9.212179,3.4562109
nxy-059,6913176,6.6984143,1.9045613
f-11440,208928,5.3939085,8.715531
azd1283,23649325,6.762407,7.3278737
ly2109761,11655119,8.110018,6.8424544
ym-201636,9956222,8.265247,7.573707
tinoridine,5480,8.156735,3.3624053
aloxistatin,65663,-1.8882954,6.978604
anagrelide,135409400,6.5304303,3.6966534
dibenzothiophene,3023,6.774052,1.8613819
bu-224,2457,5.976625,6.906916
brivanib,11234052,8.362011,7.5576077
talmapimod,9871074,6.5878606,6.3024974
pf-06412562,74223726,8.305478,7.507168
kynurenic-acid,3845,7.6591625,3.3164546
denopamine,5311064,9.57281,2.6208267
pifithrin-cyclic,443278,6.694568,7.9668407
fusidic-acid,3000226,-3.3819203,5.1399813
scriptaid,5186,7.0864167,2.4778178
gpi-688,24901657,6.5985966,6.4630847
mrs-3777,11771279,8.045645,7.793078
kd-023,115175,10.040386,2.0682967
dolutegravir,54726191,7.216285,2.2935154
purmorphamine,5284329,8.314889,7.6468115
pha-568487,9932000,9.825373,3.0600657
ripretinib,71584930,6.359102,7.5689187
nitrofurantoin,6604200,9.5568075,3.2048593
skf-77434,6603997,8.962664,2.048702
2-chloropyrazine,73277,4.742222,8.865925
l-701324,54682505,8.986956,3.5656185
