name,pubchem_cid,UMAP1,UMAP2
icariin,5318997.0,0.17093496,5.7470264
pi-828,25181195.0,-0.79408556,-0.08084182
nxy-059,6913176.0,-0.5689557,8.702102
f-11440,208928.0,-2.1048038,5.672196
azd1283,23649325.0,-1.3396765,5.3437457
ly2109761,11655119.0,3.0778444,1.568931
ym-201636,9956222.0,2.5562823,2.467131
tinoridine,5480.0,-3.0564258,4.9752264
aloxistatin,65663.0,1.8832569,8.478291
anagrelide,135409400.0,-0.47087273,10.219924
dibenzothiophene,3023.0,-0.50458795,-0.8504919
bu-224,2457.0,-4.24725,5.6845074
brivanib,11234052.0,3.3292654,1.696571
talmapimod,9871074.0,0.34223992,0.47316405
pf-06412562,74223726.0,3.5212915,1.5492322
kynurenic-acid,3845.0,-3.9911377,5.9659142
denopamine,5311064.0,-2.232228,5.3543773
pifithrin-cyclic,443278.0,-0.372806,-0.8312838
fusidic-acid,3000226.0,1.7099956,7.1466293
scriptaid,5186.0,-2.639399,5.355435
gpi-688,24901657.0,-0.66426665,0.9662171
mrs-3777,11771279.0,-0.62595016,0.01239344
kd-023,115175.0,1.5261893,6.554881
dolutegravir,54726191.0,-2.2111921,5.681813
purmorphamine,5284329.0,2.3403187,2.5678403
pha-568487,9932000.0,-0.25942105,9.588041
ripretinib,71584930.0,2.7101002,1.410208
nitrofurantoin,6604200.0,-0.7172441,9.134019
skf-77434,6603997.0,-3.452163,5.2310424
2-chloropyrazine,73277.0,-0.8751816,10.713617
oxytetracycline,,-0.21233681,6.6609607
azd7687,,-2.4961376,5.144678
l-701324,54682505.0,3.5017889,1.1887234
nqdi-1,5522952.0,-0.71733546,-0.41091087
pf-4981517,71315139.0,3.092827,1.6097678
lithocholic-acid,9903.0,2.104675,7.1413593
betahistine,2366.0,-0.81788623,10.666223
ehop-016,51031035.0,2.825592,1.4081094
gka-50,11340230.0,0.321571,1.4765319
oac2,2814138.0,-0.5372084,-0.74758315
iwp-l6,71601111.0,2.8673825,1.4412047
treosulfan,9882105.0,2.023358,8.781206
temsirolimus,134812825.0,0.794155,5.6280217
phenylpiracetam,781884.0,-0.8945443,9.946496
gilteritinib,49803313.0,-0.6121142,5.627019
moexipril,91270.0,-0.9923707,5.34343
velneperit,,0.24584994,9.018307
voglibose,444020.0,1.6546807,8.9837265
esculin,5281417.0,-1.599766,6.5504913
st-2825,24808138.0,-1.1582335,5.07666
st-1535,9860294.0,-1.0403572,0.1350138
gsk1838705a,25182616.0,2.2557893,1.8927343
bafilomycin-a1,90656913.0,0.6950873,6.7926273
rivaroxaban,9875401.0,-2.080992,5.2422657
mizoribine,11949547.0,1.8654706,9.162513
oxotremorine-sesquifumarate,4630.0,3.3386781,8.544424
scabertopin,93959111.0,1.8687296,7.7149277
sodium-gluconate,10690.0,1.7864684,9.153401
ly2140023,9834591.0,2.190424,9.0701275
lu-aa-47070,,-1.6493958,5.315961
sulconazole,6604421.0,0.78609514,-0.10593245
vanitiolide,72146.0,-0.43996996,9.990133
ve-821,51000408.0,-0.75492764,0.8659777
cp-471474,9907286.0,-2.2186744,5.6114
artesunate,6917864.0,1.3968755,7.72543
bms-779788,59251511.0,2.7633054,1.2556658
ampiroxicam,25273583.0,-1.6037008,5.4075446
bq-788,5311032.0,-0.34355855,5.1178718
romidepsin,56840936.0,0.7394319,7.226935
rv1729,52913198.0,1.8705232,2.5960536
cariprazine,,0.5453597,9.32609
ethimizol,6168.0,-1.1681587,9.531738
jnj-7706621,5330790.0,-0.7919317,1.1463673
lurasidone,213046.0,-1.8412737,4.5918016
pi4kiii-beta-inhibitor-1,71549093.0,0.022958064,1.5283047
phenyl-salicylate,8361.0,-4.099683,5.246466
alafosfalin,71957.0,2.3701055,9.142689
cobimetinib,16222096.0,-1.8724868,4.711981
bhq,2374.0,0.17947377,10.267238
cyanocobalamin,,0.9564551,4.9036694
arbidol,28446253.0,0.5321201,0.72503746
o-1918,40469923.0,0.57651347,9.701501
mira-1,227681.0,3.023828,8.741439
oxymatrine,24864132.0,3.0643787,7.9241076
nu-6027,398148.0,-0.5495982,8.994893
doxapram,28248394.0,-2.9574354,4.310717
rasagiline,3052776.0,-0.4472241,10.710402
titanocene-dichloride,11075829.0,3.1423397,7.8127522
cipemastat,9824350.0,1.2416031,7.617629
motapizone,,-3.5241668,5.890961
mrs-1845,92220886.0,0.27108687,8.404735
hyaluronic-acid,6852395.0,0.28223038,6.488538
alectinib,49806720.0,0.31541052,0.59048086
sertindole,60149.0,0.39269558,0.20421267
ceftaroline-fosamil,10033059.0,14.722301,4.002929
rolitetracycline,,-0.14958645,6.5482497
benzoic-acid,243.0,-0.70012003,10.854782
olsalazine,,-2.4038014,5.7514434
cabozantinib,25102847.0,2.351288,1.6035312
stigmasterol,5280794.0,2.0815103,6.9393044
thz2,78357763.0,2.1734946,2.4558082
ym-58483,2455.0,-0.04266077,0.30679816
pd-161570,5328135.0,0.5912695,1.4908166
olda,5282106.0,1.4043134,6.4435015
gw-842166,10253143.0,-2.0080266,4.687797
alpha-methylserotonin,14083218.0,-3.9042687,5.9743376
simurosertib,136443810.0,-0.87157685,0.0349321
tak-632,46209401.0,2.1977556,1.6675963
droxicam,65679.0,-0.95532537,0.35348612
