name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
rifaximin,46783403,8.422343,7.573574,46783403,rifaximin,True,6.0,4.0,2.0,True,4+ rings
amoxapine,2170,9.211178,3.2056344,2170,amoxapine,True,4.0,2.0,2.0,True,4+ rings
isobutyramide,68424,-1.4041439,6.6284575,68424,isobutyramide,True,0.0,0.0,0.0,False,0 rings
pa-452,9803242,8.281468,7.4351063,9803242,pa-452,True,3.0,2.0,1.0,True,3 rings
flopropione,3362,10.455925,1.8799943,3362,flopropione,True,1.0,1.0,0.0,True,1 ring
pd-128907,5311346,9.528412,2.4172685,5311346,pd-128907,True,3.0,1.0,2.0,True,3 rings
etonogestrel,6917715,-3.174637,4.732922,6917715,etonogestrel,True,4.0,0.0,4.0,True,4+ rings
sulfatinib,52920501,8.411664,7.6522465,52920501,sulfatinib,True,4.0,4.0,0.0,True,4+ rings
bendamustine,65628,6.6418824,8.3540745,65628,bendamustine,True,2.0,2.0,0.0,True,2 rings
tc-s-7006,9549300,6.0917544,7.9312334,9549300,tc-s-7006,True,4.0,4.0,0.0,True,4+ rings
edoxudine,66377,-2.4617739,7.9565215,66377,edoxudine,True,2.0,1.0,1.0,True,2 rings
ethinyl-estradiol,5991,10.165041,1.1408011,5991,ethinyl-estradiol,True,4.0,1.0,3.0,True,4+ rings
aminocaproic-acid,564,-1.6528986,6.9687166,564,aminocaproic-acid,True,0.0,0.0,0.0,False,0 rings
finafloxacin,11567473,9.574196,4.5305815,11567473,finafloxacin,True,5.0,2.0,3.0,True,4+ rings
naringin-dihydrochalcone,9894584,10.927718,1.7145526,9894584,naringin-dihydrochalcone,True,4.0,2.0,2.0,True,4+ rings
ib-meca,123683,6.2990847,8.721531,123683,ib-meca,True,4.0,3.0,1.0,True,4+ rings
pp242,135565635,8.0383415,7.685188,135565635,pp242,True,4.0,4.0,0.0,True,4+ rings
vs-4718,25073775,8.326414,7.3622575,25073775,vs-4718,True,4.0,3.0,1.0,True,4+ rings
vp-20629,3744,6.750507,6.2547584,3744,vp-20629,True,2.0,2.0,0.0,True,2 rings
talarozole,76958553,6.6405487,7.521221,76958553,talarozole,True,4.0,4.0,0.0,True,4+ rings
lcl-161,24737642,6.639528,6.934639,24737642,lcl-161,True,4.0,2.0,2.0,True,4+ rings
mivebresib,71600087,7.995273,6.689868,71600087,mivebresib,True,4.0,4.0,0.0,True,4+ rings
tcs-hdac6-20b,23636017,-1.5165945,6.907962,23636017,tcs-hdac6-20b,True,4.0,0.0,4.0,True,4+ rings
cinoxacin,2762,9.273715,3.5780299,2762,cinoxacin,True,3.0,2.0,1.0,True,3 rings
