name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
rs-100329,3567002.0,11.298045,-1.3529412,3567002,rs-100329,True,3.0,2.0,1.0,True,3 rings
sa-47,9840648.0,11.383283,-0.883148,9840648,sa-47,True,2.0,1.0,1.0,True,2 rings
olopatadine,5281071.0,11.397916,0.91751456,5281071,olopatadine,True,3.0,2.0,1.0,True,3 rings
khellin,3828.0,7.445426,1.5642444,3828,khellin,True,3.0,3.0,0.0,True,3 rings
osi-930,9868037.0,9.370585,-0.20121276,9868037,osi-930,True,4.0,4.0,0.0,True,4+ rings
ammonium-lactate,10313098.0,8.573253,1.9991994,10313098,ammonium-lactate,True,0.0,0.0,0.0,False,0 rings
azd4573,124155204.0,10.399901,-1.0804462,124155204,azd4573,True,4.0,2.0,2.0,True,4+ rings
cefoselis,9830520.0,4.7376833,-0.1002668,9830520,cefoselis,True,4.0,2.0,2.0,True,4+ rings
isoflurane,4369440.0,8.61917,1.825478,4369440,isoflurane,True,0.0,0.0,0.0,False,0 rings
cp-775146,10410059.0,11.805079,-0.22778541,10410059,cp-775146,True,3.0,2.0,1.0,True,3 rings
n-methylpyrrolidone,13387.0,11.250385,-0.16054542,13387,n-methylpyrrolidone,True,1.0,0.0,1.0,True,1 ring
clomifene,1548955.0,11.461516,0.9758504,1548955,clomifene,True,3.0,3.0,0.0,True,3 rings
minerval,11066464.0,8.56257,2.7685153,11066464,minerval,True,0.0,0.0,0.0,False,0 rings
pifithrin-alpha,4817.0,10.528565,-0.5015434,4817,pifithrin-alpha,True,3.0,2.0,1.0,True,3 rings
way-161503,6604916.0,10.876003,-0.9111787,6604916,way-161503,True,3.0,1.0,2.0,True,3 rings
palonosetron,6337614.0,11.057339,-0.5538205,6337614,palonosetron,True,6.0,1.0,5.0,True,4+ rings
quinethazone,6604207.0,3.766257,2.3579016,6604207,quinethazone,True,2.0,1.0,1.0,True,2 rings
xe-991,656732.0,8.437337,0.5733454,656732,xe-991,True,5.0,4.0,1.0,True,4+ rings
megestrol,19090.0,8.060125,3.9454303,19090,megestrol,True,4.0,0.0,4.0,True,4+ rings
ac-7954-(+/-),10937426.0,11.460054,0.5976261,10937426,ac-7954-(+/-),True,3.0,2.0,1.0,True,3 rings
edonerpic-maleate,9901946.0,11.590726,-0.025133552,9901946,edonerpic-maleate,True,3.0,2.0,1.0,True,3 rings
norcyclobenzaprine,9918.0,10.341399,1.020544,9918,norcyclobenzaprine,True,3.0,2.0,1.0,True,3 rings
tucatinib,51039094.0,9.650752,-1.3600006,51039094,tucatinib,True,6.0,5.0,1.0,True,4+ rings
ldn-209929,46871867.0,9.979668,0.529992,46871867,ldn-209929,True,3.0,3.0,0.0,True,3 rings
fosfructose,84951.0,8.751512,2.092146,84951,fosfructose,True,0.0,0.0,0.0,False,0 rings
liothyronine,7048703.0,9.322237,1.5895504,7048703,liothyronine,True,2.0,2.0,0.0,True,2 rings
deoxycorticosterone-acetate,5952.0,7.7661853,4.000749,5952,deoxycorticosterone-acetate,True,4.0,0.0,4.0,True,4+ rings
ganetespib,135564985.0,9.683825,-1.3329227,135564985,ganetespib,True,4.0,4.0,0.0,True,4+ rings
epirizole,3242.0,9.461548,-1.3956337,3242,epirizole,True,2.0,2.0,0.0,True,2 rings
opc-21268,114904.0,11.599008,-0.97624415,114904,opc-21268,True,4.0,2.0,2.0,True,4+ rings
acrivastine,5284514.0,11.120968,0.060385138,5284514,acrivastine,True,3.0,2.0,1.0,True,3 rings
gsk1070916,46885626.0,10.132175,-1.0813148,46885626,gsk1070916,True,5.0,5.0,0.0,True,4+ rings
zolmitriptan,60857.0,11.173283,-0.488533,60857,zolmitriptan,True,3.0,2.0,1.0,True,3 rings
"2,4-dinitrochlorobenzene",6.0,7.6858053,-0.9006466,6,"2,4-dinitrochlorobenzene",True,1.0,1.0,0.0,True,1 ring
astragaloside-a,13943299.0,7.31161,3.9438803,13943299,astragaloside-a,True,8.0,0.0,8.0,True,4+ rings
chir-98014,53396311.0,8.031085,-1.102959,53396311,chir-98014,True,4.0,4.0,0.0,True,4+ rings
dizocilpine-(+),180081.0,9.613015,0.9400612,180081,dizocilpine-(+),True,4.0,2.0,2.0,True,4+ rings
amineptine,38988248.0,9.892518,1.4611919,38988248,amineptine,True,3.0,2.0,1.0,True,3 rings
lb42708,10099206.0,10.984442,-0.7959379,10099206,lb42708,True,6.0,5.0,1.0,True,4+ rings
p-dimethylinamyl-benzoate,26890.0,11.244365,1.1394922,26890,p-dimethylinamyl-benzoate,True,1.0,1.0,0.0,True,1 ring
tc2559,9823180.0,10.573242,1.0370201,9823180,tc2559,True,1.0,1.0,0.0,True,1 ring
anisindione,2197.0,7.6942854,1.46964,2197,anisindione,True,3.0,2.0,1.0,True,3 rings
dmh1,50997747.0,9.14914,-0.8464254,50997747,dmh1,True,5.0,5.0,0.0,True,4+ rings
butabindide,9817923.0,11.911388,-0.33197412,9817923,butabindide,True,2.0,1.0,1.0,True,2 rings
way-100635,5684.0,11.403473,-1.1526644,5684,way-100635,True,4.0,2.0,2.0,True,4+ rings
pivmecillinam,,5.0508375,0.23030195,,pivmecillinam,True,3.0,0.0,3.0,True,3 rings
lercanidipine,9809926.0,7.256111,-1.0543803,9809926,lercanidipine,True,4.0,3.0,1.0,True,4+ rings
asp-9521,25210792.0,11.839247,-0.78958243,25210792,asp-9521,True,3.0,2.0,1.0,True,3 rings
sb-452533,9842609.0,10.948748,0.55725044,9842609,sb-452533,True,2.0,2.0,0.0,True,2 rings
resibufogenin,6917974.0,7.8097095,3.375284,6917974,resibufogenin,True,6.0,1.0,5.0,True,4+ rings
vinburnine,71203.0,11.08767,-0.53423774,71203,vinburnine,True,5.0,2.0,3.0,True,4+ rings
kl-001,1367681.0,3.9556541,1.723923,1367681,kl-001,True,4.0,4.0,0.0,True,4+ rings
fenspiride,3344.0,11.448809,-0.5801836,3344,fenspiride,True,3.0,1.0,2.0,True,3 rings
rimcazole,53389.0,10.649585,0.012276415,53389,rimcazole,True,4.0,3.0,1.0,True,4+ rings
cgp-78608,6604872.0,11.31863,-2.4197562,6604872,cgp-78608,True,2.0,2.0,0.0,True,2 rings
mn-64,2802462.0,7.4455767,1.4333384,2802462,mn-64,True,3.0,3.0,0.0,True,3 rings
liraglutide,16153050.0,12.550918,-0.82209015,16153050,liraglutide,True,6.0,6.0,0.0,True,4+ rings
inarigivir,,11.408605,-2.4890509,,inarigivir,True,5.0,3.0,2.0,True,4+ rings
bexagliflozin,25195624.0,7.281925,2.1508756,25195624,bexagliflozin,True,4.0,2.0,2.0,True,4+ rings
cinobufotalin,259776.0,7.52722,3.719816,259776,cinobufotalin,True,6.0,1.0,5.0,True,4+ rings
alisertib,24771867.0,9.344954,-0.3084423,24771867,alisertib,True,5.0,4.0,1.0,True,4+ rings
