compound_embedding_row_index,compound_name,n_test_signatures,n_test_cell_lines,mean_response_mse,median_response_mse,mean_response_mae,mean_response_cosine,mean_response_pearson,source_normalized_inverted_score,n_profiles
6356,"2-[2-[[17-[2-[6-[[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-6-methylhept-5-en-2-yl]-12-hydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol; ginsenoside",3,2,1.008319,1.1031528,0.7895673,0.546468198299408,0.5457702875137329,0.5022119332584998,3
6364,"(2R,3R,4S)-1-[(3-fluorophenyl)-oxomethyl]-4-(hydroxymethyl)-3-[4-(3-methylbut-1-ynyl)phenyl]-2-azetidinecarbonitrile; BRD-K46766834",2,2,0.7252821,0.7252821,0.67509544,0.6307326555252075,0.6295709609985352,0.6944570712665812,2
6368,2-(4-Isobutylpiperazin-1-yl)-2-oxoethyl 4-(methylsulfonyl)-3-nitrobenzoate; BRD-K95352812,6,6,0.5683332,0.55025876,0.60074323,0.6564751267433167,0.6558509767055511,0.5694855750980553,6
6376,"2-(6-propan-2-yl-5,7-dihydro-4H-thieno[2,3-c]pyridin-3-yl)-1,3-benzothiazole; BRD-K80962769",1,1,1.0990075,1.0990075,0.8577519,0.6457874774932861,0.6552726626396179,0.6618476642985394,1
6383,"1-[(2R,3R)-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenylphenyl)methyl]amino]methyl]-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]-3-propan-2-ylurea; BRD-K62242359",3,3,0.67741776,0.64039683,0.64936286,0.6426368355751038,0.6403622627258301,0.658839794602811,3
6384,"1-[(3R,9S,10S)-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl-(phenylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea; BRD-K97149069",1,1,0.76546156,0.76546156,0.6824398,0.5981146693229675,0.5950607657432556,0.6759653027986279,1
6388,"1-[(2R,3S)-2-[(dimethylamino)methyl]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-propan-2-ylurea; BRD-K07907451",1,1,0.7989176,0.7989176,0.7293445,0.6155804395675659,0.6107023358345032,0.6195619151080074,1
6389,"1-[(2R,3S)-2-[[benzenesulfonyl(methyl)amino]methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-propan-2-ylurea; BRD-K30962405",2,2,0.81794125,0.81794125,0.7261499,0.6126038134098053,0.612782746553421,0.6466266660854535,2
6413,BRD-A01317026,2,2,0.81248116,0.81248116,0.7182553,0.6567496657371521,0.6636985838413239,0.2187819004049702,2
6425,"(15R)-13-[(2-Fluorophenyl)methyl]-10,10-dimethyl-8,11,13-triazatetracyclo[7.7.0.02,7.011,15]hexadeca-1(9),2,4,6-tetraene-12,14-dione; PSH-022",1,1,1.0106828,1.0106828,0.80391836,0.5903501510620117,0.5859779715538025,0.8601021849700861,1
6426,"(15S)-13-[(4-Fluorophenyl)methyl]-10,10-dimethyl-8,11,13-triazatetracyclo[7.7.0.02,7.011,15]hexadeca-1(9),2,4,6-tetraene-12,14-dione; JAS07-010",1,1,1.1880707,1.1880707,0.8406279,0.6158947348594666,0.6179410219192505,0.5264270160500848,1
6441,"(4Z)-4-{[3-(4-fluorophenyl)-1-phenyl-1H-pyrazol-4-yl]methylidene}-5-methyl-2,4-dihydro-3H-pyrazol-3-one; SA-25547",15,9,0.7485186,0.7369536,0.6887034,0.5953974008560181,0.5979222575823466,0.6934695270867333,15
6460,"8-benzylsulfanyl-7-[(E)-but-2-enyl]-3-methylpurine-2,6-dione; BRD-K34596778",1,1,0.8227196,0.8227196,0.7260679,0.6268026828765869,0.6224824786186218,0.4034791561932682,1
6471,BRD-A74134989; N-[1-(cyclopentylamino)-2-methyl-1-oxobutan-2-yl]-N-(thiophen-2-ylmethyl)-2-pyridinecarboxamide,2,1,0.8654901,0.8654901,0.7599664,0.613930732011795,0.6115430891513824,0.3360908517565227,2
6484,"[11-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] pentanoate; westcort",2,2,0.9407132,0.9407132,0.7697495,0.5536431968212128,0.549454003572464,0.7813845085891755,2
6488,4-Hydroxynonenal; BRD-A15914070,6,5,0.7140596,0.6986244,0.66904086,0.6065020759900411,0.6044584810733795,0.731383633507738,12
6493,BRD-K84571636; Paradol,1,1,0.7600529,0.7600529,0.6656394,0.614580512046814,0.6103601455688477,0.2625001102040009,1
6499,2-Fluorohexadecanoic acid; BRD-A94451536,3,2,0.88331467,0.8863336,0.75240374,0.6070471604665121,0.6059257586797079,0.5548445036724696,3
6520,"(4S)-4-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-2-[[(2S)-2-(3-acetamidopropanoylamino)-5-carbamimidamidopentanoyl]amino]-5-carbamimidamidopentanoyl]amino]-3-methylpentanoyl]amino]-5-amino-5-oxopentanoyl]amino]hexanoyl]amino]-4-methylpentanoyl]amino]-4-methylpentanoyl]amino]-5-[[(2S)-1-[[(2S)-1-[[(2S)-4-amino-1-[[(2S)-1-[[(3S,6S,9S,12R,16Z,21R)-21-[[(2S)-1-amino-5-carbamimidamido-1-oxopentan-2-yl]carbamoyl]-3,6-bis(3-carbamimidamidopropyl)-9-(2-carboxyethyl)-12,21-dimethyl-2,5,8,11-tetraoxo-1,4,7,10-tetrazacyclohenicos-16-en-12-yl]amino]-5-carbamimidamido-1-oxopentan-2-yl]amino]-1,4-dioxobutan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-5-oxopentanoic acid; YL-60",1,1,0.8052789,0.8052789,0.7327726,0.5154992341995239,0.5140829086303711,0.6263576779967559,1
6522,"BRD-K95286134; N-(6-butyl-1,3-benzothiazol-2-yl)-2-furancarboxamide",1,1,0.688738,0.688738,0.657665,0.6062731146812439,0.6035731434822083,0.4351443553513358,1
6541,BRD-K13544237; N-n-propylnorapomorphine,3,2,0.90855354,0.74957514,0.73169035,0.6315852006276449,0.6357242663701376,0.4764750217413588,3
6555,Tributyltin Chloride; tributyltin,4,4,0.8935396,0.9348837,0.7593544,0.60648612678051,0.6060402691364288,0.2344983611613795,4
