compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,source_normalized_inverted_score,mean_source_normalized_error_z,target_handoff_difference,absolute_target_handoff_difference
581,Ritonavir; ritonavir,146,0.862085,0.8103862,0.8620850141348416,-0.1875286120101711,-1.4134841630486505e-08,1.4134841630486505e-08
5163,Indacaterol (maleate); Indacaterol maleate,144,0.8647693,0.83622074,0.8647692649517947,-0.200840282830016,3.504820522692853e-08,3.504820522692853e-08
5144,Benproperine (phosphate); Benproperine Phosphate,134,0.83605826,0.80784166,0.8360582796107388,-0.058457468467179,-1.9610738699604724e-08,1.9610738699604724e-08
5135,Goserelin (acetate); Goserelin Acetate,142,0.8358116,0.83788997,0.8358115957539415,-0.0572341199345023,4.246058504797645e-09,4.246058504797645e-09
5183,Omeprazole (sodium),288,0.86630696,0.8318329,0.8663069635543637,-0.2084660000276238,-3.554363692259699e-09,3.554363692259699e-09
4066,BI-78D3,151,0.8854663,0.8108862,0.8854662633116789,-0.3034803294998645,3.668832115888421e-08,3.668832115888421e-08
585,AZD1390; Azd-1390,141,0.83405215,0.8296882,0.8340521426953442,-0.0485086834771146,7.3046557691469616e-09,7.3046557691469616e-09
5128,Bisoprolol (hemifumarate),139,0.83267796,0.80654395,0.8326779370513093,-0.0416937565497829,2.2948690725499432e-08,2.2948690725499432e-08
5165,"(E)-3-(3-chlorophenyl)-N-(2-((1,1-dioxidotetrahydro-2H-thiopyran-4-yl)(methyl)amino)-2-oxoethyl)acrylamide; ML264",143,0.83159965,0.81555176,0.8315996268678529,-0.0363462271336787,2.3132147086712962e-08,2.3132147086712962e-08
321,Saquinavir,151,0.8618594,0.83607185,0.8618593750362511,-0.1864096281262682,2.4963748956885468e-08,2.4963748956885468e-08
5157,Lidocaine (hydrochloride); Lidocaine Hydrochloride,144,0.8302609,0.78395736,0.8302608540003444,-0.029707017562704,4.599965552909424e-08,4.599965552909424e-08
4096,Daidzin,139,0.8297838,0.849844,0.829783808724514,-0.0273412663304006,-8.724514000135741e-09,8.724514000135741e-09
5528,"Benzo(g)-1,3-benzodioxolo(5,6-a)quinolizinium, 5,6-dihydro-9,10-dimethoxy-, chloride, monohydrate; Berberine (chloride hydrate)",143,0.82956,0.8141939,0.8295599693734903,-0.0262312077104928,3.062650966167979e-08,3.062650966167979e-08
5530,S-Adenosyl-L-methionine (disulfate tosylate),144,0.8292305,0.8101083,0.8292304861724615,-0.0245972427005674,1.3827538447586107e-08,1.3827538447586107e-08
3760,Larotrectinib,144,0.8264183,0.8233882,0.8264183048412858,-0.0106511420121015,-4.841285705659004e-09,4.841285705659004e-09
4076,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione",140,0.82376647,0.7892182,0.8237664684336884,0.0024997800638337,1.5663116359476703e-09,1.5663116359476703e-09
1838,2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine; Fluvoxamine,149,0.88307464,0.80665696,0.8830746239288929,-0.2916197701280093,1.607110711177029e-08,1.607110711177029e-08
5146,"2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)",143,0.8234211,0.8692954,0.8234210930354176,0.0042125572685634,6.96458246629561e-09,6.96458246629561e-09
5526,2-chloro-10-(4-methoxybenzoyl)-10H-phenothiazine; Tubulin inhibitor 6,138,0.8206123,0.8289014,0.8206123267716365,0.0181417220385601,-2.6771636574274282e-08,2.6771636574274282e-08
4,Quinestrol,144,0.8194201,0.85973275,0.8194200984351298,0.0240541915654148,1.5648702333947995e-09,1.5648702333947995e-09
5532,"2-((3,4-Bis((4-fluorobenzyl)oxy)benzyl)amino)ethanol hydrochloride; XRK3F2",142,0.8181305,0.8060144,0.8181305187528762,0.0304494434985421,-1.8752876251859618e-08,1.8752876251859618e-08
5533,L-Thyroxine (sodium salt pentahydrate); Levothyroxine sodium pentahydrate,142,0.8179826,0.81351155,0.8179826096760778,0.0311829505647124,-9.676077827869278e-09,9.676077827869278e-09
5216,Larotrectinib Sulfate; Larotrectinib sulfate,138,0.8174871,0.82723874,0.8174871348866299,0.0336400969889608,-3.488662991824043e-08,3.488662991824043e-08
5139,Ralimetinib Mesylate; Ralimetinib dimesylate,142,0.8174801,0.81798047,0.817480076304851,0.0336751017346064,2.3695149065083854e-08,2.3695149065083854e-08
1834,Artemether,139,0.8171311,0.8618067,0.8171311224957775,0.0354056249064277,-2.249577746304965e-08,2.249577746304965e-08
5151,Pravastatin (sodium); Pravastatin Sodium,140,0.81579906,0.8539461,0.8157990282465267,0.0420117140375328,3.175347329520406e-08,3.175347329520406e-08
721,Methylprednisolone Succinate; Methylprednisolone succinate,137,0.8157657,0.85174733,0.8157656710755613,0.0421771381016957,2.892443873303563e-08,2.892443873303563e-08
635,Voriconazole,140,0.8284961,0.8331844,0.8284960736263347,-0.0209551620133757,2.637366525171103e-08,2.637366525171103e-08
2900,Radotinib,141,0.81430966,0.7855791,0.8143096599157319,0.0493977529366649,8.426814801509863e-11,8.426814801509863e-11
5527,(+)-Isocorydine; Isocorydine,146,0.82621104,0.8431541,0.8262110069199559,-0.00962311524465,3.308004414837029e-08,3.308004414837029e-08
847,Orlistat,149,0.8676744,0.82851154,0.8676744024138334,-0.2152473692828968,-2.4138334664414174e-09,2.4138334664414174e-09
322,Finasteride,150,0.8853915,0.848673,0.8853915010800768,-0.3031095704744568,-1.0800768057706023e-09,1.0800768057706023e-09
5148,Tofacitinib (citrate); Tofacitinib Citrate,141,0.81183475,0.8410058,0.8118347578203711,0.0616712267106927,-7.820371017430716e-09,7.820371017430716e-09
5173,Pralsetinib,144,0.8115751,0.81336784,0.8115751293265666,0.0629587699697465,-2.9326566619580774e-08,2.9326566619580774e-08
2736,AZD-7648; Azd-7648,140,0.81125546,0.82295007,0.8112554796639062,0.0645439687373639,-1.9663906170030998e-08,1.9663906170030998e-08
767,Posaconazole,137,0.80956024,0.8255237,0.8095602259225821,0.0729510295150266,1.4077417898050726e-08,1.4077417898050726e-08
