compound_embedding_row_index,compound_name,n_profiles,mean_source_normalized_error_z,source_normalized_inverted_score,recomputed_n_profiles,recomputed_mean_source_normalized_error_z,profile_count_difference,mean_error_difference
4577,quinpirole,4,0.8457399295917458,0.6537301077926476,4,0.8457399295917458,0,0.0
5370,"Bromebric acid, (Z)-; bromebric-acid",2,0.7175101276393302,0.6795871887937324,2,0.7175101276393302,0,0.0
1101,DDR1-IN-1; Ddr1-IN-1,3,0.7176621079404003,0.6795565425095185,3,0.7176621079404003,0,0.0
3409,"(5Z)-5-[[2-[(3R)-3-aminopiperidin-1-yl]-3-phenylphenyl]methylidene]-1,3-thiazolidine-2,4-dione; Azd-1208",10,0.5242577779171969,0.7185558340254352,10,0.5242577779171969,0,0.0
3588,(Z)-N'-(3-chlorophenyl)-N-(4-chlorophenyl)but-2-enediamide,4,0.1471135838598359,0.7946056120516763,4,0.14711358385983594,0,-5.551115123125783e-17
7030,"6-[3-(cyclopropylmethoxy)-4-(difluoromethoxy)phenyl]-3-(2,5-dimethoxyphenyl)-7H-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazine; BRD-K55127335",6,0.7181562757139478,0.6794568953451761,6,0.7181562757139478,0,0.0
4675,carbinoxamine,4,0.8475099976932139,0.6533731798899274,4,0.8475099976932138,0,1.1102230246251565e-16
2102,Hexamethylquercetagetin; quercetagetin,2,0.7183950053200643,0.6794087563738236,2,0.7183950053200643,0,0.0
8058,"KU-C104123; N-(4-fluorophenyl)-2-(3-oxo-1,2-benzothiazol-2-yl)acetamide",2,0.7185343141572932,0.6793806652449788,2,0.7185343141572932,0,0.0
7327,"1-[(2R,3R)-2-[[(2-fluorophenyl)sulfonyl-methylamino]methyl]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-3-(1-naphthalenyl)urea; BRD-K98896788",2,0.7188334920544832,0.6793203370919005,2,0.7188334920544832,0,0.0
918,4-bromo-N'-butylbenzohydrazide; UF010,4,0.1477885788209328,0.7944695017316208,4,0.14778857882093277,0,2.7755575615628914e-17
3169,4-[(5-cyano-4-oxo-6-phenyl-1H-pyrimidin-2-yl)sulfanylmethyl]benzoic acid,3,0.1480819112989114,0.7944103522864228,3,0.14808191129891138,0,2.7755575615628914e-17
6898,"(2E)-1-phenyl-3-(3,4,5-trimethoxyphenyl)prop-2-en-1-one; BRD-K00910650",10,0.7203866349227894,0.6790071513867011,10,0.7203866349227893,0,1.1102230246251565e-16
8064,BRD-K46681113; [4-[Hydroxy(diphenyl)methyl]-1-triazolyl]-[4-(phenylmethyl)-1-piperidinyl]methanone,4,0.7207543314427497,0.6789330066983708,4,0.7207543314427497,0,0.0
6311,Acetic acid [3-[3-(dimethylamino)-1-oxopropyl]-5-benzofuranyl] ester; BRD-K87040771,1,0.720847513060996,0.6789142169582782,1,0.720847513060996,0,0.0
7910,5-Amino-2-(1-naphthalenyl)-4-oxazolecarbonitrile; BRD-K68158690,1,0.7210341080925584,0.6788765907374461,1,0.7210341080925584,0,0.0
5845,1-(5-chloro-6-methoxy-3-pyridinyl)-3-[6-cyano-4-[(3S)-3-methylmorpholin-4-yl]quinolin-3-yl]urea; 1-(5-chloro-6-methoxypyridin-3-yl)-3-[6-cyano-4-[(3S)-3-methylmorpholin-4-yl]quinolin-3-yl]urea,3,0.149063827969547,0.7942123523012214,3,0.14906382796954695,0,5.551115123125783e-17
1607,"2-(4-methylpiperazin-1-yl)-5-(2,3,5-trichlorophenyl)pyrimidin-4-amine; Sipatrigine",2,0.149156486020224,0.7941936681366569,2,0.14915648602022405,0,-5.551115123125783e-17
6763,H-8; N-(2-(Methylamino)ethyl)-5-isoquinolinesulfonamide,4,0.72157132214228,0.678768263445451,4,0.72157132214228,0,0.0
3368,2-Phenylethynesulfonamide; pifithrin-mu,32,0.7218273883294799,0.6787166286145205,32,0.7218273883294798,0,1.1102230246251565e-16
5278,Cephalexin; cephalexin,1,0.7222797748001595,0.6786254065004873,1,0.7222797748001595,0,0.0
8131,"7,8-Dichloroquinoline-4-one-3-carboxylic acid; CAY-10577",2,0.7225791381334055,0.6785650409548916,2,0.7225791381334055,0,0.0
7756,"4-(1H-benzimidazol-2-ylmethylsulfanyl)-2-methyl-[1]benzofuro[3,2-d]pyrimidine; BRD-K90826279",8,0.7231554733961109,0.6784488250101997,8,0.7231554733961109,0,0.0
6232,"BRD-K96167523; N-[(3R,3'R,4'S,5'R)-5'-(2-hydroxyethyl)-4'-[(4-methoxyphenyl)-dimethylsilyl]-3'-methyl-2-oxo-1-prop-2-enyl-5-spiro[indole-3,2'-oxolane]yl]acetamide",1,0.7231640729932176,0.678447090932196,1,0.7231640729932176,0,0.0
24023,"2-[(2R,5R,6R)-5-(benzenesulfonamido)-6-(hydroxymethyl)-2-oxanyl]-N,N-dimethylacetamide; BRD-K24554242",1,0.7233706024008232,0.6784054450157223,1,0.7233706024008232,0,0.0
6261,"3-(3-Benzoyl-6-chloro-4,5-dihydroxy-1-benzofuran-7-yl)pentane-2,4-dione; BRD-K05153001",10,0.7234619528380144,0.6783870245267409,10,0.7234619528380144,0,0.0
5543,"2,4-dihydroxy-6-methyl-3-[(E)-3-methyl-5-[(1S,2R,6R)-1,2,6-trimethyl-3-oxocyclohexyl]pent-2-enyl]benzaldehyde; LL-Z1272.Episilon.",4,0.1504761703855637,0.7939275585037098,4,0.1504761703855637,0,0.0
3791,Amineptine; amineptine,1,0.723730580144944,0.6783328567909368,1,0.723730580144944,0,0.0
3708,AT-9283; At-9283,60,0.0354631510015791,0.8171195225644092,60,0.03546315100157914,0,-3.469446951953614e-17
8334,"4-(1,2,3,6-Tetrahydropyridin-4-yl)benzene-1,2-diol; BRD-K89486464",4,0.7272262468303394,0.6776279681046811,4,0.7272262468303394,0,0.0
