murcko_scaffold,n_compounds
O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21,1
O=S1(=O)NCCC(CNCc2ccc(-c3ccccc3)cc2)Oc2ccccc21,1
O=S1(=O)CCCc2ccsc21,1
O=S(Cc1ccccn1)c1nc2ccccc2[n-]1,1
O=S(=O)(c1ccccc1)n1cccc1,1
O=S(=O)(Nc1nc(-c2ncccn2)ncc1Oc1ccccc1)c1ccccc1,1
O=c1[nH]c2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccccc1,1
O=S(=O)(Nc1cnccc1-c1ccc2nccc(-c3ccnnc3)c2c1)c1ccccc1,1
O=S(=O)(Nc1cccnc1Nc1ccccc1)c1ccccc1,1
O=S(=O)(Nc1ccccc1Nc1ccccc1)C1CC1,1
O=S(=O)(Nc1ccccc1C=Cc1cc[nH+]cc1)c1ccccc1,1
O=S(=O)(Nc1cc(Sc2cccc3cccnc23)cc2ccccc12)c1ccccc1,1
O=S(=O)(NN=Cc1cnc2ccccn12)c1ccccc1,1
O=S(=O)(NC1CCCC(N2c3ccccc3Oc3ccccc32)C1)c1ccccc1,1
O=S(=O)(C=Cc1ccccc1)Cc1ccccc1,1
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCC(OC2CCCCO2)CO1,1
O=C1c2ccccc2C(=O)c2c1[nH]c[n+]2Cc1cnccn1,1
O=C1c2ccccc2-c2n[nH]c3cccc1c23,1
O=C1c2ccccc2-c2c1cnc1ccccc21,1
O=C1c2cc3ccc(OC4CC(OC5CCCCO5)CCO4)cc3cc2CCC1OC1CC(OC2CC(OC3CCCCO3)CCO2)CCO1,1
O=C1c2cc(-c3ccnc(Nc4ccn[nH]4)n3)sc2CN1CCN1CCOCC1,1
O=c1[nH]c2cnc3ccc(-c4cccnc4)cc3c2n1-c1ccc(N2CCNCC2)cc1,1
O=c1[nH]cc(-c2cccc(-n3ccc4cc(C5CC5)ccc4c3=O)c2)cc1Nc1ccc(N2CCNCC2)cn1,1
O=c1ccn(C2CCC(CCC3CCCC(OC4CCCCO4)O3)O2)c(=O)[nH]1,1
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,1
O=c1ccn(C2CC2)c2cc(N3CC4CCCNC4C3)ccc12,1
O=c1cccc(Nc2ccccc2)[nH]1,1
O=c1ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(N2CCNCC2)cc1,1
O=c1ccc2cnc3ccc(-c4cn[nH]c4)cc3c2n1-c1ccccc1,1
O=c1ccc2cnc3ccc(-c4cn[nH]c4)cc3c2n1-c1ccc2c(c1)NCC2,1
O=c1ccc2cnc3ccc(-c4cccnc4)cc3c2n1-c1ccccc1,1
O=c1ccc2cnc3ccc(-c4ccccc4)cc3c2n1-c1ccc(N2CCNCC2)cc1,1
O=c1ccc2ccccc2[nH]1,1
O=c1ccc2c(CCNC3Cc4ccccc4C3)cccc2[nH]1,1
c1ccc(-c2cncnc2)cc1,1
