compound_1,compound_2,pubchem_cid_1,pubchem_cid_2,morgan_tanimoto,maccs_tanimoto,cactvs_pubchem_tanimoto
isosorbide-dinitrate,jnj-10191584,6883.0,10446295.0,0.034482758620689655,0.19480519480519481,0.09326424870466321
isosorbide-dinitrate,perfluorohexyloctane,6883.0,10477896.0,0.0,0.03636363636363636,0.2037037037037037
isosorbide-dinitrate,ac-7954-(+/-),6883.0,10937426.0,0.05084745762711865,0.2361111111111111,0.1437908496732026
isosorbide-dinitrate,cs-917,6883.0,11289630.0,0.03333333333333333,0.273972602739726,0.13333333333333333
isosorbide-dinitrate,a-381393,6883.0,11301655.0,0.016129032258064516,0.1917808219178082,0.07853403141361257
isosorbide-dinitrate,tideglusib,6883.0,11313622.0,0.03636363636363636,0.2972972972972973,0.12162162162162163
isosorbide-dinitrate,bms-626529,6883.0,11317439.0,0.038461538461538464,0.36363636363636365,0.10344827586206896
isosorbide-dinitrate,at-7519,6883.0,11338033.0,0.047619047619047616,0.1951219512195122,0.09405940594059406
isosorbide-dinitrate,amenamevir,6883.0,11397521.0,0.06756756756756757,0.3103448275862069,0.11616161616161616
isosorbide-dinitrate,adl5859,6883.0,11417954.0,0.058823529411764705,0.2875,0.14772727272727273
isosorbide-dinitrate,tavaborole,6883.0,11499245.0,0.044444444444444446,0.34545454545454546,0.2079207920792079
isosorbide-dinitrate,ro-4987655,6883.0,11548630.0,0.0625,0.375,0.13450292397660818
isosorbide-dinitrate,mabuterol,6883.0,11551355.0,0.0,0.125,0.14743589743589744
isosorbide-dinitrate,ly2365109,6883.0,11552757.0,0.07692307692307693,0.3333333333333333,0.18238993710691823
isosorbide-dinitrate,mk-0893,6883.0,11570626.0,0.024390243902439025,0.32098765432098764,0.10970464135021098
isosorbide-dinitrate,pf-431396,6883.0,11598628.0,0.023255813953488372,0.2608695652173913,0.09090909090909091
isosorbide-dinitrate,idelalisib,6883.0,11625818.0,0.0125,0.189873417721519,0.08294930875576037
isosorbide-dinitrate,amitifadine,6883.0,11658655.0,0.04081632653061224,0.13846153846153847,0.10606060606060606
isosorbide-dinitrate,bvd-523,6883.0,11719003.0,0.012987012987012988,0.1518987341772152,0.10909090909090909
isosorbide-dinitrate,revefenacin,6883.0,11753673.0,0.04878048780487805,0.2875,0.13529411764705881
isosorbide-dinitrate,mrs-3777,6883.0,11771279.0,0.04918032786885246,0.2535211267605634,0.116751269035533
isosorbide-dinitrate,"4-phenyl-1,2,3,4-tetrahydroisoquinoline",6883.0,11820407.0,0.044444444444444446,0.14545454545454545,0.09917355371900827
isosorbide-dinitrate,gemigliptin,6883.0,11953153.0,0.039473684210526314,0.2564102564102564,0.0963855421686747
isosorbide-dinitrate,ly2603618,6883.0,11955855.0,0.08450704225352113,0.25882352941176473,0.12556053811659193
isosorbide-dinitrate,nvp-bez235,6883.0,11977753.0,0.012987012987012988,0.20270270270270271,0.08415841584158416
isosorbide-dinitrate,psi-697,6883.0,12004316.0,0.03125,0.2028985507246377,0.0963302752293578
isosorbide-dinitrate,pinacidil,6883.0,12428581.0,0.0,0.09230769230769231,0.07643312101910828
isosorbide-dinitrate,tribenoside,6883.0,12874922.0,0.047619047619047616,0.36363636363636365,0.2796610169491525
isosorbide-dinitrate,cephradine,6883.0,12876371.0,0.057971014492753624,0.24358974358974358,0.14516129032258066
isosorbide-dinitrate,zaltoprofen,6883.0,13306545.0,0.03389830508474576,0.23214285714285715,0.13768115942028986
isosorbide-dinitrate,org-26576,6883.0,13584912.0,0.09433962264150944,0.359375,0.12307692307692308
isosorbide-dinitrate,iododexetimide,6883.0,14479849.0,0.046875,0.22666666666666666,0.12142857142857143
isosorbide-dinitrate,radotinib,6883.0,16063245.0,0.011235955056179775,0.14864864864864866,0.08294930875576037
isosorbide-dinitrate,caspofungin,6883.0,16119814.0,0.043478260869565216,0.3132530120481928,0.19760479041916168
isosorbide-dinitrate,cobimetinib,6883.0,16222096.0,0.04,0.20930232558139536,0.12352941176470589
isosorbide-dinitrate,tilmicosin,6883.0,16225190.0,0.04807692307692308,0.3333333333333333,0.265625
isosorbide-dinitrate,azd8330,6883.0,16666708.0,0.028169014084507043,0.3058823529411765,0.1527777777777778
isosorbide-dinitrate,lxr-623,6883.0,16734800.0,0.0,0.23076923076923078,0.08522727272727272
isosorbide-dinitrate,compound-w,6883.0,16760376.0,0.13333333333333333,0.4727272727272727,0.19411764705882353
isosorbide-dinitrate,tg-100713,6883.0,17751063.0,0.0,0.2,0.09523809523809523
