name,pubchem_cid,UMAP1,UMAP2
atiprimod,129869.0,10.277461,1.345757
cyacetacide,8820.0,9.843116,1.8661207
(r)-(-)-apomorphine,6005.0,9.243921,2.5411108
a12b4c3,,10.783343,1.386494
sodium-nitrite,129009887.0,9.12601,1.6935756
iododexetimide,14479849.0,9.554536,2.4009783
ly404187,66857735.0,9.299545,1.932074
fgin-1-27,132496.0,10.7451725,1.3154374
apy0201,56927660.0,9.10839,2.349633
ethoxzolamide,3295.0,8.685506,2.378776
methyl-aminolevulinate,157922.0,10.197067,1.7514606
inx-08189,49862762.0,10.546064,-0.530005
nhi-2,51355147.0,9.96922,2.8806264
letrozole,3902.0,8.985743,1.873823
dorsomorphin,11524144.0,9.434628,2.708037
nadifloxacin,9850038.0,12.199933,0.66865605
skf-81297,11957706.0,9.406868,2.2878728
tolonium,91311512.0,9.076652,2.0260723
corticosterone,5753.0,8.370257,-0.66554916
kpt-276,71496742.0,9.767818,1.9184933
mozavaptan,11441742.0,9.905107,3.4768672
ac-186,71245042.0,9.273072,2.4735277
dspc,5313335.0,10.879778,1.1707671
kifunensine,130611.0,9.415921,1.4996074
gdc-0941,17755052.0,9.109338,2.532178
oxyphenbutazone,448033.0,9.732988,2.391772
ec-144,11517212.0,9.452102,1.9827257
phenacaine,7588.0,9.821011,3.371947
ravuconazole,467825.0,9.430818,1.6725273
bms-ccr2-22,24801690.0,10.037865,3.0748625
act-132577,25099191.0,8.693853,2.270924
kme-4,6438990.0,8.693925,1.8993257
ostarine,11326715.0,9.795918,3.617779
incb-3284,,10.107106,3.1449447
cu-t12-9,91826088.0,8.322422,2.0924592
sulbutiamine,3002120.0,10.084991,1.8380353
ilaprazole,76968095.0,7.969534,2.5877388
tacedinaline,2746.0,9.837633,3.5168312
nbi-98782,14580381.0,8.6294775,3.2518406
clenbuterol,688428.0,11.166871,3.3724864
galidesivir,10445549.0,9.390979,1.5306995
tg-003,1893668.0,9.063661,3.1361146
valrocemide,6918293.0,10.46329,1.7816408
bosutinib,5328940.0,9.091835,3.953656
parachlorophenol,4684.0,9.392152,2.4202244
pyridoxamine,11205997.0,9.550526,1.7326802
plurisin-1,225362.0,9.730789,3.131031
fenbufen,3335.0,10.411018,2.5308416
propranolol-(s),91536.0,10.930877,3.8890488
itx3,1362865.0,8.684979,2.9489675
sodium-danshensu,179536.0,10.727886,2.3692956
lupanine,91471.0,8.863668,1.5473396
isodibut,145949.0,10.452313,1.8872037
eliprodil,9798372.0,10.239134,2.7746294
gw-542573x,24885053.0,9.9776,3.0981317
ttnpb,5289501.0,10.206398,3.786709
riociguat,11304743.0,9.571934,3.0056314
scopine,,9.348723,1.3347948
ko143,10322450.0,8.99682,3.103524
indium(iii)-isopropoxide,,9.807773,1.7518021
pf-04620110,,10.081233,1.8415486
e7449,135565981.0,9.428889,2.51296
benzoylpas,10718.0,9.8909235,3.4872198
sj-733,89508529.0,9.385401,3.517209
fosfluconazole,214356.0,9.529616,1.6135898
istradefylline,5311037.0,8.737844,3.2238164
amcasertib,122412734.0,10.343256,3.4246519
moxidectin,9832912.0,9.466164,1.0717402
ono-ae3-208,92978378.0,10.551463,1.8991628
sb-415286,4210951.0,8.608576,2.1305678
tboa-(dl),90479771.0,10.567309,2.5358374
cc-115,58298318.0,8.997442,1.8487571
azd5069,56645576.0,9.934175,1.4993057
blonanserin,125564.0,9.04258,2.113022
bp-554,134117.0,9.489243,3.2762313
jhw-007,,10.466406,2.0738423
diethylcarbamazine,3052.0,9.815423,2.2595055
glesatinib,25181472.0,9.623512,3.6764474
ursolic-acid,64945.0,9.363297,0.79298514
vesamicol,659840.0,9.471614,2.299585
alovudine,33039.0,10.741087,-0.85551834
pilocarpine,5910.0,9.110388,1.6816521
purvalanol-a,456214.0,9.358299,3.3650062
benzethonium,2335.0,10.274389,2.411753
mefloquine,40692.0,9.332586,2.0978074
deoxyarbutin,11521237.0,9.3502655,2.4042826
ly3214996,121408882.0,8.949895,2.2343414
ns-11021,24825677.0,9.646103,3.0969415
monocrotaline,9415.0,9.163761,1.381045
masoprocol,688035.0,10.582917,2.474049
squalamine,72495.0,8.948851,-0.3090058
mc1568,71311876.0,9.700469,2.321378
targinine,46906075.0,11.274096,1.8725845
xanthone,7020.0,9.372732,2.4781284
alantolactone,72724.0,9.13021,1.3885797
mibampator,9889366.0,10.286536,2.5851593
karenitecin,148202.0,6.9459124,3.3479927
sbe-13,4719406.0,8.7874365,3.3257134
ozolinone,76959758.0,9.751075,1.7644268
kw-3902,,8.883997,1.5533208
abt-491,154087.0,9.49984,3.4591937
nonivamide,2998.0,10.85246,1.3858469
chiniofon,1550821.0,8.882234,2.8207629
carbendazim,25429.0,8.207828,2.7478242
mercaptopurine,667490.0,8.66642,1.6828572
6-aminopenicillanic-acid,7057887.0,13.222522,1.8976823
acriflavine,452192.0,8.998002,2.1861217
linezolid,441401.0,9.8118,1.4304765
trichlormethiazide,12444480.0,8.103557,2.3404126
2-thiouracil,1269845.0,9.091328,1.7342856
methantheline,4097.0,10.514272,2.5892656
3-indolebutyric-acid,8617.0,11.507987,2.791078
dehydrocorydaline,34781.0,8.715172,3.1523395
nu-2058,4564.0,8.7084875,1.697868
tmn-355,44249042.0,9.645472,2.4054646
dixyrazine,9932302.0,8.794367,3.9247274
isosorbide-mononitrate,27661.0,9.272555,1.4310822
alosetron,2099.0,9.30463,2.426319
editol,7014872.0,10.016738,1.4704683
s-38093,70941112.0,10.090804,2.5151234
gsk2816126,68210102.0,9.873471,2.2106795
thiorphan,4369380.0,10.508038,2.6532915
antalarmin,177990.0,10.528507,1.2576002
hydroxychloroquine,12947.0,9.165616,3.3766966
hematoxylin,442514.0,9.405799,2.039935
tetramisole,26879.0,9.436192,2.3625758
slv-319-(+/-),9826744.0,8.581295,2.643152
sapacitabine,153970.0,10.523172,-0.41385737
ataluren,11219835.0,9.894557,2.7535107
l-glutamine,6992086.0,11.208757,1.8625249
prima1,322968.0,9.285679,1.6223588
filanesib,44224257.0,9.930612,2.8432007
ml133,781301.0,9.377569,2.847042
ouabain,11527152.0,9.138449,0.25601363
retapamulin,,9.524218,1.369537
tazobactam,123630.0,10.041201,1.5923169
tradipitant,9916461.0,9.714914,3.0040503
dpi-201106,10389826.0,10.373935,3.6375422
m-chlorophenylbiguanide,1354.0,9.62529,2.791583
metacresol,342.0,9.400676,2.5830877
lobenzarit,3946.0,10.035448,3.2085736
butalbital,2481.0,9.303032,1.523365
cgp-74514,2794188.0,9.384528,3.2796469
lanifibranor,68677842.0,10.618343,1.9351926
ginkgolide-a,,9.238129,1.4422685
cs-110266,123692.0,9.316423,2.4922857
vu0155069,25105713.0,10.214092,3.8928058
lapatinib,208908.0,9.0418625,4.098765
fidaxomicin,10034073.0,9.865749,2.0125854
beta-glycerophosphoric-acid,2526.0,9.912889,1.2947001
l-arginine,6322.0,11.216502,1.9503409
dipivefrine,969492.0,11.054748,3.123519
phthalylsulfacetamide,8574.0,9.768567,3.4555316
flumethasone,16490.0,8.043611,-1.1745787
n-salicoylaminophenol,4602.0,9.838218,3.4340823
ch5132799,49784945.0,8.95096,1.92
ckd-712,9861304.0,9.333467,2.595312
md-920,6466.0,9.812612,1.5586505
ns-3623,9954236.0,9.851282,3.385739
clobenpropit,2790.0,11.558387,2.2010634
omtriptolide,6918522.0,10.492419,1.8460593
bms-649,127019.0,10.205614,3.7220938
norfloxacin,6919051.0,12.148754,0.70486176
carsalam,16258.0,9.574107,2.5943859
pf-04691502,,9.665454,1.9301827
ncs-382,6604757.0,9.713785,2.3060868
ggti-298,9811606.0,10.782376,2.1930594
siponimod,44599207.0,10.229864,2.5863352
bms-817378,44137813.0,9.715555,3.46515
diftalone,30717.0,9.338488,2.5523105
doconexent-ethyl-ester,9831416.0,11.073566,1.2460892
hycanthone,3634.0,10.380495,3.207888
molindone,6604347.0,9.165599,1.6766318
cedrol-(+),65575.0,9.290373,1.087718
dexchlorpheniramine,33036.0,9.4853115,3.2604918
cb-03-01,11750009.0,8.396978,-0.58630335
bilobalide,73581.0,9.294934,1.4257061
latrepirdine,197033.0,9.144649,2.1001437
timolol,33624.0,11.170487,4.008157
eupatilin,5273755.0,9.381983,0.81775993
yoda-1,2746822.0,9.158923,2.2074225
ceramide,5497136.0,11.04339,1.1403403
"n-methyl-(-)ephedrine-[1r,2s]",64782.0,10.418283,2.8328433
