moa_annotation,lowest_observed_count,highest_observed_count,lowest_observed_percent,highest_observed_percent,total_extreme_count
"EGFR inhibitor, Tyrosine kinase inhibitor",1,0,0.8130081300813008,0.0,1
ERK inhibitor,0,1,0.0,0.6993006993006993,1
Estrogen receptor agonist,0,1,0.0,0.6993006993006993,1
Potassium channel blocker,1,0,0.8130081300813008,0.0,1
Estrogen receptor antagonist,1,0,0.8130081300813008,0.0,1
"Estrogen receptor antagonist, -",0,1,0.0,0.6993006993006993,1
FAAH inhibitor | FAAH reuptake inhibitor,1,0,0.8130081300813008,0.0,1
"FAAH inhibitor, FAAH reuptake inhibitor",1,0,0.8130081300813008,0.0,1
FGFR inhibitor | VEGFR inhibitor,1,0,0.8130081300813008,0.0,1
"FGFR inhibitor, VEGFR inhibitor",1,0,0.8130081300813008,0.0,1
FGFR1 gene inhibitor,1,0,0.8130081300813008,0.0,1
FKBP12 gene modulator,0,1,0.0,0.6993006993006993,1
FLT3 inhibitor | JAK inhibitor,1,0,0.8130081300813008,0.0,1
FLT3 inhibitor | KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor | RAD51 inhibitor | RET tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
FLT3/AXL inhibitor,1,0,0.8130081300813008,0.0,1
"FOXM1 inhibitor | foxm1 inhibitor, protein synthesis inhibitor | protein synthesis inhibitor",0,1,0.0,0.6993006993006993,1
DNA directed DNA polymerase inhibitor | DNA synthesis inhibitor,1,0,0.8130081300813008,0.0,1
DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor,0,1,0.0,0.6993006993006993,1
DNA alkylating agent | DNA synthesis inhibitor,0,1,0.0,0.6993006993006993,1
DNA Polymerase Inhibitors,0,1,0.0,0.6993006993006993,1
ALK tyrosine kinase receptor inhibitor | insulin growth factor receptor inhibitor,1,0,0.8130081300813008,0.0,1
ALK tyrosine kinase receptor inhibitor | proto-oncogene tyrosine protein kinase inhibitor,1,0,0.8130081300813008,0.0,1
AP-1 Inhibitors,1,0,0.8130081300813008,0.0,1
ATR kinase inhibitor,1,0,0.8130081300813008,0.0,1
"Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor",0,1,0.0,0.6993006993006993,1
