compound_embedding_row_index,actual_predictability,predicted_predictability,compound_name
5535,0.7970027,0.76850575,Gallic acid (hydrate); Gallic acid monohydrate
5411,0.7970364,0.7680203,Ligustrazine; Tetramethylpyrazine
5136,0.81977946,0.8379072,Pasireotide (acetate); Pasireotide acetate
4178,0.7963124,0.81276816,Vilanterol
4777,0.811602,0.85537446,bergenin
1338,0.79340094,0.8197135,Pimitespib
5175,0.7923059,0.8416201,Fostamatinib (disodium hexahydrate)
609,0.8096722,0.79922837,Captopril
5159,0.7918529,0.7966267,NG-25; NG25
5149,0.79171556,0.85180455,Rutin (trihydrate); Rutin trihydrate
5172,0.79165,0.8404261,Atazanavir (sulfate); Atazanavir Sulfate
5538,0.79149735,0.8323492,"DT-061; N-((1R,2R,3S)-2-Hydroxy-3-(10H-phenoxazin-10-yl)cyclohexyl)-4-(trifluoromethoxy)benzenesulfonamide"
5401,0.79069555,0.7784234,Methylthiouracil
5191,0.7938669,0.8117439,Rimonabant (Hydrochloride); Rimonabant Hydrochloride
4155,0.79028815,0.8246474,Arbutin
1571,0.78893524,0.833268,3-(4-Methylpiperazine-1-carbonyl)-7-oxabicyclo(2.2.1)heptane-2-carboxylic acid; LB-100
3188,0.7837977,0.8333763,ETC-206; Tinodasertib
2243,0.84479606,0.80671465,Cepharanthine
5180,0.7815705,0.8244958,Cabozantinib (S-malate); Cabozantinib S-malate
5184,0.7815567,0.8255809,Elagolix Sodium; Elagolix sodium
3280,0.8679238,0.8274344,Lonafarnib
174,0.8064782,0.8391038,Megestrol
696,0.77696544,0.7994816,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid"
616,0.7747856,0.80526507,Darolutamide
1750,0.7751711,0.7725934,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate
5182,0.7774906,0.81664544,(R)-Verapamil (hydrochloride); Dexverapamil Hydrochloride
5188,0.7962603,0.7957514,Nafamostat (mesylate); Nafamostat Mesylate
5208,0.76726717,0.8157423,HI-TOPK-032; HI-Topk-032
5520,0.7663139,0.7792541,"(2S)-N-(2,6-dimethylphenyl)-1-propyl-2-piperidinecarboxamide hydrochloride monohydrate; Ropivacaine (hydrochloride monohydrate)"
