moa_annotation,low_count,high_count,low_percent,high_percent,total_extreme_count
Histone lysine methyltransferase inhibitor,0,1,0.0,0.7142857142857143,1
Hydroxycarboxylic acid receptor agonist,0,1,0.0,0.7142857142857143,1
Corticosteroid agonist,0,1,0.0,0.7142857142857143,1
Catecholamine depleting sympatholytic,0,1,0.0,0.7142857142857143,1
IMPase inhibitor,0,1,0.0,0.7142857142857143,1
Antimitotic Drugs,1,0,0.7751937984496124,0.0,1
AMP-Activated Protein Kinase (AMPK) Activators,1,0,0.7751937984496124,0.0,1
AMPK activator,1,0,0.7751937984496124,0.0,1
AP-1 Inhibitors,1,0,0.7751937984496124,0.0,1
ATM kinase inhibitor,1,0,0.7751937984496124,0.0,1
ATP synthase inhibitor,0,1,0.0,0.7142857142857143,1
ATR kinase inhibitor,1,0,0.7751937984496124,0.0,1
Adenylyl cyclase activator,0,1,0.0,0.7142857142857143,1
Aldehyde dehydrogenase inhibitor,1,0,0.7751937984496124,0.0,1
Angiogenesis Inhibitors,1,0,0.7751937984496124,0.0,1
Anti-cancer agent,1,0,0.7751937984496124,0.0,1
Apoptosis Inducers,1,0,0.7751937984496124,0.0,1
CLK inhibitor,1,0,0.7751937984496124,0.0,1
Apoptosis stimulant,1,0,0.7751937984496124,0.0,1
Aryl hydrocarbon receptor antagonist,1,0,0.7751937984496124,0.0,1
Aurora-B (ARK2) Kinase Inhibitors,1,0,0.7751937984496124,0.0,1
Aurora-C (ARK3) Kinase Inhibitors,1,0,0.7751937984496124,0.0,1
BCL-XL downregulator,1,0,0.7751937984496124,0.0,1
CAR agonist,1,0,0.7751937984496124,0.0,1
CDC inhibitor,1,0,0.7751937984496124,0.0,1
CDK inhibitors,1,0,0.7751937984496124,0.0,1
CHK inhibitor,0,1,0.0,0.7142857142857143,1
CHK1 Expression Inhibitors,0,1,0.0,0.7142857142857143,1
IMPDH inhibitor,0,1,0.0,0.7142857142857143,1
INrf2) Ligands,1,0,0.7751937984496124,0.0,1
SIK1 gene inhibitor,1,0,0.7751937984496124,0.0,1
Protein kinase inhibitor,0,1,0.0,0.7142857142857143,1
PKA inhibitor,1,0,0.7751937984496124,0.0,1
PLK inhibitor,1,0,0.7751937984496124,0.0,1
PPAR receptor agonist,1,0,0.7751937984496124,0.0,1
PPAR receptor modulator,1,0,0.7751937984496124,0.0,1
PPARalpha Agonists,1,0,0.7751937984496124,0.0,1
Pharmacological Chaperones,1,0,0.7751937984496124,0.0,1
Progesterone receptor agonist,0,1,0.0,0.7142857142857143,1
Progesterone receptor antagonist,0,1,0.0,0.7142857142857143,1
Progestogen hormone,0,1,0.0,0.7142857142857143,1
Prostanoid receptor antagonist,1,0,0.7751937984496124,0.0,1
Protein synthesis stimulant,1,0,0.7751937984496124,0.0,1
PARP inhibitor,1,0,0.7751937984496124,0.0,1
Purine antagonist,1,0,0.7751937984496124,0.0,1
Pyruvate Dehydrogenase Activators,1,0,0.7751937984496124,0.0,1
RAF inhibitor,1,0,0.7751937984496124,0.0,1
Retinoid RORbeta Ligands,1,0,0.7751937984496124,0.0,1
Reverse Transcriptase Inhibitors,0,1,0.0,0.7142857142857143,1
Rho associated kinase activator,0,1,0.0,0.7142857142857143,1
Rho associated kinase inhibitor,1,0,0.7751937984496124,0.0,1
SAPK1a (JNK2) Inhibitors,1,0,0.7751937984496124,0.0,1
SAPK1b (JNK3) Inhibitors,1,0,0.7751937984496124,0.0,1
SAPK1c (JNK1) Inhibitors,1,0,0.7751937984496124,0.0,1
PDGFR inhibitor,1,0,0.7751937984496124,0.0,1
P21 activated kinase inhibitor,0,1,0.0,0.7142857142857143,1
Immunosuppressant,0,1,0.0,0.7142857142857143,1
MTTP Inhibitor,1,0,0.7751937984496124,0.0,1
Insulin sensitizer,1,0,0.7751937984496124,0.0,1
Interleukin inhibitor,0,1,0.0,0.7142857142857143,1
Jak2 Inhibitors,1,0,0.7751937984496124,0.0,1
KIT inhibitor,1,0,0.7751937984496124,0.0,1
Kelch-like ECH-Associated Protein 1 (Keap1,1,0,0.7751937984496124,0.0,1
LIM kinase activator,0,1,0.0,0.7142857142857143,1
Leucine-Rich Repeat Kinase 2 (LRRK2,1,0,0.7751937984496124,0.0,1
Like 2 (Nrf2) Activators,1,0,0.7751937984496124,0.0,1
Lipoxygenase inhibitor,1,0,0.7751937984496124,0.0,1
MDM inhibitor,1,0,0.7751937984496124,0.0,1
Metalloproteinase inhibitor,0,1,0.0,0.7142857142857143,1
Opioid receptor antagonist,1,0,0.7751937984496124,0.0,1
Microtubule stimulant,0,1,0.0,0.7142857142857143,1
Mineralocorticoid receptor antagonist,0,1,0.0,0.7142857142857143,1
Monoamine oxidase inhibitor,1,0,0.7751937984496124,0.0,1
NAMPT inhibitor,1,0,0.7751937984496124,0.0,1
Nitric oxide production inhibitor,1,0,0.7751937984496124,0.0,1
Norepinephrine Transporter (NET) Inhibitors,1,0,0.7751937984496124,0.0,1
Norepinephrine reuptake inhibitor,1,0,0.7751937984496124,0.0,1
Nuclear Factor,1,0,0.7751937984496124,0.0,1
OPRL1 gene inhibitor,1,0,0.7751937984496124,0.0,1
OPRM1 gene inhibitor,1,0,0.7751937984496124,0.0,1
xanthine oxidase inhibitor,1,0,0.7751937984496124,0.0,1
