compound_embedding_row_index,compound_name,observed_predictability_group,actual_predictability,moa,moa_annotation
629,Aprepitant,Lowest observed predictability,0.65434486,inhibitor/antagonist; tachykinin antagonist,tachykinin antagonist
592,BRD-K68202742; Trichostatin A,Highest observed predictability,1.0,HDAC inhibitor,HDAC inhibitor
1764,Homoharringtonine; Omacetaxine Mepesuccinate,Highest observed predictability,0.96739143,inhibitor/antagonist; protein synthesis inhibitor,protein synthesis inhibitor
429,Ixazomib,Highest observed predictability,0.93570065,inhibitor/antagonist; proteasome inhibitor,proteasome inhibitor
1229,Dapagliflozin,Lowest observed predictability,0.6663662,inhibitor/antagonist; sodium/glucose cotransporter inhibitor,sodium/glucose cotransporter inhibitor
5170,Rucaparib (phosphate); Rucaparib Phosphate,Highest observed predictability,0.9198891,PARP inhibitor; inhibitor/antagonist,PARP inhibitor
1364,Dinaciclib,Highest observed predictability,0.9382522,CDK inhibitor; inhibitor/antagonist,CDK inhibitor
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,Highest observed predictability,0.9044579,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,EGFR inhibitor
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,Highest observed predictability,0.9044579,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,HER2 (erbB2) Inhibitors
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,Highest observed predictability,0.9044579,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,Inhibitors of signal transduction pathways
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,Highest observed predictability,0.9044579,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,Irreversible EGFR (HER1
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,Highest observed predictability,0.9044579,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,erbB1) Inhibitors
3484,Gemcitabine,Highest observed predictability,0.93554246,inhibitor/antagonist; ribonucleotide reductase inhibitor,ribonucleotide reductase inhibitor
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,Highest observed predictability,0.9278086,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Angiogenesis Inhibitors
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,Highest observed predictability,0.9278086,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Apoptosis Inducers
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,Highest observed predictability,0.9278086,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,HDAC inhibitor
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,Highest observed predictability,0.9278086,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,HDACs
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,Highest observed predictability,0.9278086,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Histone Deacetylase 1 (HDAC1) Inhibitors
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,Highest observed predictability,0.9278086,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Histone Deacetylase 2 (HDAC2) Inhibitors
1832,"1,18-Dihydroxy-12-[1-[4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; Everolimus; everolimus",Highest observed predictability,0.90866876,MTOR inhibitor; inhibitor/antagonist; mTOR inhibitor,mTOR inhibitor
2431,"3-[(1R,3R,5S,8R,9S,10R,11R,13R,14S,17R)-1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2H-furan-5-one; ouabain",Highest observed predictability,0.98882693,ATPase inhibitor,ATPase inhibitor
