compound_embedding_row_index,compound_name,normalized_compound_name,actual_predictability,predicted_predictability,n_profiles,moa,clean_moa
3760,Larotrectinib,larotrectinib,0.8264183,0.8233882,144,alk tyrosine kinase receptor inhibitor | tropomyosin receptor kinase inhibitor; inhibitor/antagonist,Tropomyosin receptor kinase inhibitor
4076,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione",5 fluorouracil 5 fluoro 1h pyrimidine 2 4 dione,0.82376647,0.7892182,140,thymidylate synthase; thymidylate synthase inhibitor,Thymidylate synthase
4076,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione",5 fluorouracil 5 fluoro 1h pyrimidine 2 4 dione,0.82376647,0.7892182,140,thymidylate synthase; thymidylate synthase inhibitor,Thymidylate synthase inhibitor
1838,2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine; Fluvoxamine,2 e 5 methoxy 1 4 trifluoromethyl phenyl pentylidene amino oxyethanamine fluvoxamine,0.88307464,0.80665696,149,5-HT Reuptake Inhibitors; selective serotonin reuptake inhibitor (SSRI),5-HT Reuptake Inhibitors
1838,2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine; Fluvoxamine,2 e 5 methoxy 1 4 trifluoromethyl phenyl pentylidene amino oxyethanamine fluvoxamine,0.88307464,0.80665696,149,5-HT Reuptake Inhibitors; selective serotonin reuptake inhibitor (SSRI),Selective serotonin reuptake inhibitor (SSRI)
5146,"2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)",2 pyridinamine 3 1r 1 2 6 dichloro 3 fluorophenyl ethoxy 5 1 4 piperidinyl 1h pyrazol 4 yl hydrochloride 1 1 crizotinib hydrochloride,0.8234211,0.8692954,143,ALK tyrosine kinase receptor inhibitor; inhibitor/antagonist,ALK tyrosine kinase receptor inhibitor
4,Quinestrol,quinestrol,0.8194201,0.85973275,144,estrogen receptor agonist; unclear,Estrogen receptor agonist
5216,Larotrectinib Sulfate; Larotrectinib sulfate,larotrectinib sulfate larotrectinib sulfate,0.8174871,0.82723874,138,alk tyrosine kinase receptor inhibitor | tropomyosin receptor kinase inhibitor; inhibitor/antagonist,Alk tyrosine kinase receptor inhibitor
5216,Larotrectinib Sulfate; Larotrectinib sulfate,larotrectinib sulfate larotrectinib sulfate,0.8174871,0.82723874,138,alk tyrosine kinase receptor inhibitor | tropomyosin receptor kinase inhibitor; inhibitor/antagonist,Tropomyosin receptor kinase inhibitor
1834,Artemether,artemether,0.8171311,0.8618067,139,antimalarial agent; unclear,Antimalarial agent
5151,Pravastatin (sodium); Pravastatin Sodium,pravastatin sodium pravastatin sodium,0.81579906,0.8539461,140,HMGCR inhibitor; inhibitor/antagonist,HMGCR inhibitor
721,Methylprednisolone Succinate; Methylprednisolone succinate,methylprednisolone succinate methylprednisolone succinate,0.8157657,0.85174733,137,glucocorticoid receptor agonist; unclear,Glucocorticoid receptor agonist
635,Voriconazole,voriconazole,0.8284961,0.8331844,140,cytochrome P450 inhibitor; inhibitor/antagonist,Cytochrome P450 inhibitor
2900,Radotinib,radotinib,0.81430966,0.7855791,141,Bcr-Abl kinase inhibitor; inhibitor/antagonist,Bcr-Abl kinase inhibitor
847,Orlistat,orlistat,0.8676744,0.82851154,149,inhibitor/antagonist; lipase inhibitor,Lipase inhibitor
322,Finasteride,finasteride,0.8853915,0.848673,150,5 alpha reductase inhibitor; inhibitor/antagonist,5 alpha reductase inhibitor
5148,Tofacitinib (citrate); Tofacitinib Citrate,tofacitinib citrate tofacitinib citrate,0.81183475,0.8410058,141,JAK inhibitor; inhibitor/antagonist,JAK inhibitor
2736,AZD-7648; Azd-7648,azd 7648 azd 7648,0.81125546,0.82295007,140,dna protein kinase inhibitor; inhibitor/antagonist,Dna protein kinase inhibitor
767,Posaconazole,posaconazole,0.80956024,0.8255237,137,sterol demethylase inhibitor; unclear,Sterol demethylase inhibitor
732,Elimusertib; Elimusertib hydrochloride,elimusertib elimusertib hydrochloride,0.8077423,0.8110095,144,ATR kinase inhibitor; inhibitor/antagonist,ATR kinase inhibitor
3078,c-Kit-IN-1,c kit in 1,0.80726993,0.81444204,143,KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor; inhibitor/antagonist,KIT inhibitor
3078,c-Kit-IN-1,c kit in 1,0.80726993,0.81444204,143,KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor; inhibitor/antagonist,PDGFR tyrosine kinase receptor inhibitor
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,fingolimod hydrochloride fingolimod hydrochloride,0.80725104,0.78712165,138,immunosuppressant | sphingosine 1-phosphate receptor agonist; unclear,Immunosuppressant
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,fingolimod hydrochloride fingolimod hydrochloride,0.80725104,0.78712165,138,immunosuppressant | sphingosine 1-phosphate receptor agonist; unclear,Sphingosine 1-phosphate receptor agonist
3294,BAY1125976; Bay-1125976,bay1125976 bay 1125976,0.80660605,0.8193761,143,AKT inhibitor; inhibitor/antagonist,AKT inhibitor
3558,Adenine,adenine,0.80488324,0.7832371,143,protein synthesis stimulant; unclear,Protein synthesis stimulant
2701,Tomivosertib,tomivosertib,0.8044332,0.83272374,139,MAPK-interacting kinase inhibitor; inhibitor/antagonist,MAPK-interacting kinase inhibitor
5287,Daptomycin,daptomycin,0.8037075,0.84377897,138,bacterial cell wall synthesis inhibitor; unclear,Bacterial cell wall synthesis inhibitor
1846,Aliskiren,aliskiren,0.8260492,0.8336468,148,inhibitor/antagonist; renin inhibitor,Renin inhibitor
243,Abiraterone Acetate; Abiraterone acetate,abiraterone acetate abiraterone acetate,0.80993634,0.845164,143,androgen biosynthesis inhibitor; inhibitor/antagonist,Androgen biosynthesis inhibitor
5153,Vinblastine (sulfate); Vinblastine Sulfate,vinblastine sulfate vinblastine sulfate,0.8012332,0.8721429,143,inhibitor/antagonist; microtubule inhibitor | tubulin polymerization inhibitor,Microtubule inhibitor
5153,Vinblastine (sulfate); Vinblastine Sulfate,vinblastine sulfate vinblastine sulfate,0.8012332,0.8721429,143,inhibitor/antagonist; microtubule inhibitor | tubulin polymerization inhibitor,Tubulin polymerization inhibitor
3315,Capivasertib,capivasertib,0.8009638,0.85991824,141,AKT inhibitor; inhibitor/antagonist,AKT inhibitor
97,Futibatinib,futibatinib,0.80062354,0.8215499,143,FGFR inhibitor; inhibitor/antagonist,FGFR inhibitor
5521,"2-Naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, hydrochloride (1:1), (4S,4aS,5aS,6S,12aS)-; Tetracycline (hydrochloride)",2 naphthacenecarboxamide 4 dimethylamino 1 4 4a 5 5a 6 11 12a octahydro 3 6 10 12 12a pentahydroxy 6 methyl 1 11 dioxo hydrochloride 1 1 4s 4as 5as 6s 12as tetracycline hydrochloride,0.8002238,0.90303075,136,bacterial 30S ribosomal subunit inhibitor; unclear,Bacterial 30S ribosomal subunit inhibitor
5174,Fluvoxamine (maleate); Fluvoxamine Maleate,fluvoxamine maleate fluvoxamine maleate,0.79909474,0.84305334,145,inhibitor/antagonist; selective serotonin reuptake inhibitor (SSRI),Selective serotonin reuptake inhibitor (SSRI)
5136,Pasireotide (acetate); Pasireotide acetate,pasireotide acetate pasireotide acetate,0.81977946,0.8379072,146,activator/agonist; somatostatin receptor agonist,Somatostatin receptor agonist
4178,Vilanterol,vilanterol,0.7963124,0.81276816,144,activator/agonist; adrenergic receptor agonist,Adrenergic receptor agonist
4777,bergenin,bergenin,0.811602,0.85537446,145,Interleukin inhibitor,Interleukin inhibitor
1338,Pimitespib,pimitespib,0.79340094,0.8197135,140,hsp90 inhibitor; inhibitor/antagonist,Hsp90 inhibitor
609,Captopril,captopril,0.8096722,0.79922837,146,angiotensin converting enzyme inhibitor; inhibitor/antagonist,Angiotensin converting enzyme inhibitor
5149,Rutin (trihydrate); Rutin trihydrate,rutin trihydrate rutin trihydrate,0.79171556,0.85180455,138,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,Antioxidant
5149,Rutin (trihydrate); Rutin trihydrate,rutin trihydrate rutin trihydrate,0.79171556,0.85180455,138,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,Capillary stabilizing agent
5149,Rutin (trihydrate); Rutin trihydrate,rutin trihydrate rutin trihydrate,0.79171556,0.85180455,138,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,Nitric oxide scavenger
5172,Atazanavir (sulfate); Atazanavir Sulfate,atazanavir sulfate atazanavir sulfate,0.79165,0.8404261,142,HIV protease inhibitor; inhibitor/antagonist,HIV protease inhibitor
