moa_annotation,low_count,high_count,low_percent,high_percent,total_extreme_count
glucocorticoid receptor antagonist,0,1,0.0,0.6993006993006993,1
Serotonin Transporter (SERT) Inhibitors,1,0,0.8130081300813008,0.0,1
guanylyl cyclase inhibitor,1,0,0.8130081300813008,0.0,1
hedgehog pathway inhibitor,1,0,0.8130081300813008,0.0,1
histone lysine methyltransferase inhibitor,1,0,0.8130081300813008,0.0,1
hydantoin antiepileptic,1,0,0.8130081300813008,0.0,1
hypoxia inducible factor activator,0,1,0.0,0.6993006993006993,1
inosine monophosphate dehydrogenase inhibitor,1,0,0.8130081300813008,0.0,1
inositol monophosphatase inhibitor,0,1,0.0,0.6993006993006993,1
insulin growth factor receptor inhibitor,1,0,0.8130081300813008,0.0,1
interferon inducer,1,0,0.8130081300813008,0.0,1
interleukin synthesis inhibitor,1,0,0.8130081300813008,0.0,1
leucine rich repeat kinase inhibitor,0,1,0.0,0.6993006993006993,1
lipid kinase inhibitor,1,0,0.8130081300813008,0.0,1
metalloproteinase inhibitor,0,1,0.0,0.6993006993006993,1
Serotonin receptor antagonist,1,0,0.8130081300813008,0.0,1
AKT inhibitor,1,0,0.8130081300813008,0.0,1
Selective estrogen receptor modulator,1,0,0.8130081300813008,0.0,1
DNA directed DNA polymerase inhibitor,1,0,0.8130081300813008,0.0,1
DOT1L inhibitor,1,0,0.8130081300813008,0.0,1
Dardarin) Inhibitors,1,0,0.8130081300813008,0.0,1
Dihydrofolate reductase inhibitor,0,1,0.0,0.6993006993006993,1
Dopamine receptor agonist,1,0,0.8130081300813008,0.0,1
Dual PRMT5 and PRMT7 inhibitor,1,0,0.8130081300813008,0.0,1
ERK inhibitor,0,1,0.0,0.6993006993006993,1
Estrogen Receptor (ER) Agonists,1,0,0.8130081300813008,0.0,1
FAAH inhibitor,1,0,0.8130081300813008,0.0,1
FAAH reuptake inhibitor,1,0,0.8130081300813008,0.0,1
FGFR1 gene inhibitor,1,0,0.8130081300813008,0.0,1
FKBP12 gene modulator,0,1,0.0,0.6993006993006993,1
FLT3/AXL inhibitor,1,0,0.8130081300813008,0.0,1
FOXM1 inhibitor,0,1,0.0,0.6993006993006993,1
FXR antagonist,1,0,0.8130081300813008,0.0,1
Farnesyltransferase inhibitor,0,1,0.0,0.6993006993006993,1
Focal adhesion kinase inhibitor,1,0,0.8130081300813008,0.0,1
GK0582 inhibitor,1,0,0.8130081300813008,0.0,1
Glucocorticoid receptor antagonist,0,1,0.0,0.6993006993006993,1
Glycogen synthase kinase inhibitor,1,0,0.8130081300813008,0.0,1
Guanylyl cyclase inhibitor,1,0,0.8130081300813008,0.0,1
HCN channel blocker,1,0,0.8130081300813008,0.0,1
HDACs,0,1,0.0,0.6993006993006993,1
HER2 (erbB2) Inhibitors,0,1,0.0,0.6993006993006993,1
DNA replication inhibitor,0,1,0.0,0.6993006993006993,1
DNA dependent protein kinase inhibitor,0,1,0.0,0.6993006993006993,1
STAT inhibitor,0,1,0.0,0.6993006993006993,1
DNA alkylating agent,0,1,0.0,0.6993006993006993,1
AP-1 Inhibitors,1,0,0.8130081300813008,0.0,1
ATR kinase inhibitor,1,0,0.8130081300813008,0.0,1
Adenosine deaminase inhibitor,0,1,0.0,0.6993006993006993,1
Adenosine receptor agonist,1,0,0.8130081300813008,0.0,1
Adenylyl cyclase activator,0,1,0.0,0.6993006993006993,1
Angiogenesis Inhibitors,0,1,0.0,0.6993006993006993,1
Antimetabolites,0,1,0.0,0.6993006993006993,1
Anxiolytics,1,0,0.8130081300813008,0.0,1
BCL-XL downregulator,1,0,0.8130081300813008,0.0,1
Benzodiazepine receptor agonist,1,0,0.8130081300813008,0.0,1
Bruton's tyrosine kinase (BTK) inhibitor,1,0,0.8130081300813008,0.0,1
C-Met inhibitor,1,0,0.8130081300813008,0.0,1
CAMP stimulant,1,0,0.8130081300813008,0.0,1
CFTR channel agonist,1,0,0.8130081300813008,0.0,1
CHK inhibitor,0,1,0.0,0.6993006993006993,1
CHK1 Expression Inhibitors,0,1,0.0,0.6993006993006993,1
Calcineurin inhibitor,0,1,0.0,0.6993006993006993,1
Catecholamine depleting sympatholytic,0,1,0.0,0.6993006993006993,1
Chloride Channel Blockers,1,0,0.8130081300813008,0.0,1
Cholesterol inhibitor,1,0,0.8130081300813008,0.0,1
Coflilin signaling pathway activator,0,1,0.0,0.6993006993006993,1
Cytochrome P450 inhibitor,0,1,0.0,0.6993006993006993,1
DNA Polymerase Inhibitors,0,1,0.0,0.6993006993006993,1
HIF modulator,0,1,0.0,0.6993006993006993,1
HMGCR inhibitor,0,1,0.0,0.6993006993006993,1
Heat Shock Protein 90 (hsp90) Inhibitors,0,1,0.0,0.6993006993006993,1
Histone Deacetylase 1 (HDAC1) Inhibitors,0,1,0.0,0.6993006993006993,1
PKC activator,0,1,0.0,0.6993006993006993,1
PRC2/EED,1,0,0.8130081300813008,0.0,1
Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors,0,1,0.0,0.6993006993006993,1
Phosphatidylinositol 3-Kinase delta (PI3Kdelta) Inhibitors,1,0,0.8130081300813008,0.0,1
Phosphodiesterase inhibitor,0,1,0.0,0.6993006993006993,1
Phospholipase inhibitor,1,0,0.8130081300813008,0.0,1
Potassium channel blocker,1,0,0.8130081300813008,0.0,1
Pregnane X receptor agonist,1,0,0.8130081300813008,0.0,1
Progesterone receptor antagonist,0,1,0.0,0.6993006993006993,1
Protein kinase inhibitor,0,1,0.0,0.6993006993006993,1
Protein tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
Pyruvate Dehydrogenase Activators,1,0,0.8130081300813008,0.0,1
RAD51 inhibitor,1,0,0.8130081300813008,0.0,1
RAF inhibitor,1,0,0.8130081300813008,0.0,1
RET tyrosine kinase inhibitor,1,0,0.8130081300813008,0.0,1
Rho associated kinase activator,0,1,0.0,0.6993006993006993,1
Ribonucleoside reductase inhibitor,0,1,0.0,0.6993006993006993,1
Ribonucleotide reductase inhibitor,0,1,0.0,0.6993006993006993,1
SAPK1a (JNK2) Inhibitors,1,0,0.8130081300813008,0.0,1
SAPK1b (JNK3) Inhibitors,1,0,0.8130081300813008,0.0,1
SAPK1c (JNK1) Inhibitors,1,0,0.8130081300813008,0.0,1
SERCA2a Activator,1,0,0.8130081300813008,0.0,1
SIK1 gene inhibitor,1,0,0.8130081300813008,0.0,1
P38 MAPK inhibitor,1,0,0.8130081300813008,0.0,1
P21 activated kinase inhibitor,0,1,0.0,0.6993006993006993,1
Opioid receptor antagonist,1,0,0.8130081300813008,0.0,1
MDM inhibitor,1,0,0.8130081300813008,0.0,1
Histone Deacetylase 2 (HDAC2) Inhibitors,0,1,0.0,0.6993006993006993,1
Immunosuppressant,0,1,0.0,0.6993006993006993,1
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,0,1,0.0,0.6993006993006993,1
Interleukin synthesis inhibitor,1,0,0.8130081300813008,0.0,1
Irreversible EGFR (HER1,0,1,0.0,0.6993006993006993,1
JNK inhibitor,1,0,0.8130081300813008,0.0,1
KIT inhibitor,1,0,0.8130081300813008,0.0,1
LIM kinase activator,0,1,0.0,0.6993006993006993,1
Leucine rich repeat kinase inhibitor,0,1,0.0,0.6993006993006993,1
Leucine-Rich Repeat Kinase 2 (LRRK2,1,0,0.8130081300813008,0.0,1
MTH1 inhibitor,0,1,0.0,0.6993006993006993,1
OPRM1 gene inhibitor,1,0,0.8130081300813008,0.0,1
Monoamine oxidase inhibitor,1,0,0.8130081300813008,0.0,1
Mutant Raf kinase B Inhibitors,1,0,0.8130081300813008,0.0,1
NAMPT inhibitor,1,0,0.8130081300813008,0.0,1
NFKB pathway inhibitor,0,1,0.0,0.6993006993006993,1
Na+/K+-ATPase Inhibitors,1,0,0.8130081300813008,0.0,1
Nitric oxide production inhibitor,1,0,0.8130081300813008,0.0,1
Norepinephrine Transporter (NET) Inhibitors,1,0,0.8130081300813008,0.0,1
Norepinephrine reputake inhibitor,1,0,0.8130081300813008,0.0,1
Norepinephrine reuptake inhibitor,1,0,0.8130081300813008,0.0,1
OPRL1 gene inhibitor,1,0,0.8130081300813008,0.0,1
xanthine oxidase inhibitor,1,0,0.8130081300813008,0.0,1
