compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,model_prediction_group,observed_predictability_group,moa,moa_annotation
1764,Homoharringtonine; Omacetaxine Mepesuccinate,363,0.96739143,0.8966031,Most predictable,Highest observed predictability,inhibitor/antagonist; protein synthesis inhibitor,Protein synthesis inhibitor
429,Ixazomib,343,0.93570065,0.81232816,Lower,Highest observed predictability,inhibitor/antagonist; proteasome inhibitor,Proteasome inhibitor
1229,Dapagliflozin,144,0.6663662,0.8235332,Middle,Lowest observed predictability,inhibitor/antagonist; sodium/glucose cotransporter inhibitor,sodium/glucose cotransporter inhibitor
5170,Rucaparib (phosphate); Rucaparib Phosphate,194,0.9198891,0.82420766,Middle,Highest observed predictability,PARP inhibitor; inhibitor/antagonist,PARP inhibitor
1364,Dinaciclib,377,0.9382522,0.8197977,Middle,Highest observed predictability,CDK inhibitor; inhibitor/antagonist,CDK inhibitor
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,352,0.9044579,0.8207016,Middle,Highest observed predictability,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,EGFR inhibitor
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,352,0.9044579,0.8207016,Middle,Highest observed predictability,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,HER2 (erbB2) Inhibitors
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,352,0.9044579,0.8207016,Middle,Highest observed predictability,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,Inhibitors of signal transduction pathways
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,352,0.9044579,0.8207016,Middle,Highest observed predictability,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,Irreversible EGFR (HER1
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,352,0.9044579,0.8207016,Middle,Highest observed predictability,EGFR inhibitor; Irreversible EGFR (HER1;HER2 (erbB2) Inhibitors;Inhibitors of Signal Transduction Pathways;erbB1) Inhibitors,erbB1) Inhibitors
3484,Gemcitabine,360,0.93554246,0.83394814,Higher,Highest observed predictability,inhibitor/antagonist; ribonucleotide reductase inhibitor,ribonucleotide reductase inhibitor
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,0.9278086,0.81202203,Lower,Highest observed predictability,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Angiogenesis Inhibitors
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,0.9278086,0.81202203,Lower,Highest observed predictability,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Apoptosis Inducers
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,0.9278086,0.81202203,Lower,Highest observed predictability,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,HDAC inhibitor
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,0.9278086,0.81202203,Lower,Highest observed predictability,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,HDACs
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,0.9278086,0.81202203,Lower,Highest observed predictability,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Histone Deacetylase 1 (HDAC1) Inhibitors
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,0.9278086,0.81202203,Lower,Highest observed predictability,Apoptosis Inducers;HDACs;Histone Deacetylase 2 (HDAC2) Inhibitors;Histone Deacetylase 1 (HDAC1) Inhibitors;Angiogenesis Inhibitors; HDAC inhibitor,Histone Deacetylase 2 (HDAC2) Inhibitors
1832,"1,18-Dihydroxy-12-[1-[4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; Everolimus; everolimus",334,0.90866876,0.88977706,Most predictable,Highest observed predictability,MTOR inhibitor; inhibitor/antagonist; mTOR inhibitor,mTOR inhibitor
2431,"3-[(1R,3R,5S,8R,9S,10R,11R,13R,14S,17R)-1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2H-furan-5-one; ouabain",79,0.98882693,0.87249756,Most predictable,Highest observed predictability,ATPase inhibitor,ATPase inhibitor
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",325,0.99367535,0.95455563,Most predictable,Highest observed predictability,"RNA synthesis inhibitor | topoisomerase inhibitor; RNA synthesis inhibitor, Topoisomerase inhibitor",RNA synthesis inhibitor
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",325,0.99367535,0.95455563,Most predictable,Highest observed predictability,"RNA synthesis inhibitor | topoisomerase inhibitor; RNA synthesis inhibitor, Topoisomerase inhibitor",Topoisomerase inhibitor
1827,Geldanamycin; geldanamycin,938,0.9876737,0.92657024,Most predictable,Highest observed predictability,HSP inhibitor,HSP inhibitor
3968,"(5Z)-5-[(4-pyridin-4-ylquinolin-6-yl)methylidene]-1,3-thiazolidine-2,4-dione; Gsk-1059615",491,0.91537964,0.8143678,Lower,Highest observed predictability,PI3K inhibitor; Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors,PI3K inhibitor
3968,"(5Z)-5-[(4-pyridin-4-ylquinolin-6-yl)methylidene]-1,3-thiazolidine-2,4-dione; Gsk-1059615",491,0.91537964,0.8143678,Lower,Highest observed predictability,PI3K inhibitor; Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors,Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors
