pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,ring_category,ring_count
50991753,nicodicosapent,50991753.0,8.313179,11.14978,Morgan + MACCS + CACTVS + descriptors,nicodicosapent,1 ring,1.0
50992247,ml786,50992247.0,9.997907,10.223565,Morgan + MACCS + CACTVS + descriptors,ml786,4+ rings,5.0
50997747,dmh1,50997747.0,10.081376,9.742047,Morgan + MACCS + CACTVS + descriptors,dmh1,4+ rings,5.0
51,2-oxoglutaric-acid,51.0,0.20037206,8.615623,Morgan + MACCS + CACTVS + descriptors,2-oxoglutaric-acid,0 rings,0.0
51000408,ve-821,51000408.0,8.296953,9.649001,Morgan + MACCS + CACTVS + descriptors,ve-821,3 rings,3.0
51001932,taselisib,51001932.0,10.101969,9.677934,Morgan + MACCS + CACTVS + descriptors,taselisib,4+ rings,5.0
51031035,ehop-016,51031035.0,6.9227514,10.930638,Morgan + MACCS + CACTVS + descriptors,ehop-016,4+ rings,5.0
51035449,sr-2211,51035449.0,7.503666,10.486329,Morgan + MACCS + CACTVS + descriptors,sr-2211,4+ rings,4.0
51037431,spautin-1,51037431.0,6.9459414,10.339095,Morgan + MACCS + CACTVS + descriptors,spautin-1,3 rings,3.0
51038269,gzd824,51038269.0,7.447631,11.032603,Morgan + MACCS + CACTVS + descriptors,gzd824,4+ rings,5.0
51039030,pyrotinib,51039030.0,10.396337,10.319395,Morgan + MACCS + CACTVS + descriptors,pyrotinib,4+ rings,5.0
51039094,tucatinib,51039094.0,10.151591,9.858955,Morgan + MACCS + CACTVS + descriptors,tucatinib,4+ rings,6.0
51039095,azd4547,51039095.0,9.604099,9.650477,Morgan + MACCS + CACTVS + descriptors,azd4547,4+ rings,4.0
51039119,bms-813160,51039119.0,7.123791,11.134756,Morgan + MACCS + CACTVS + descriptors,bms-813160,4+ rings,4.0
5104,roxarsone,5104.0,8.2295265,7.9397984,Morgan + MACCS + CACTVS + descriptors,roxarsone,1 ring,1.0
51042438,uprosertib,51042438.0,9.126107,9.918722,Morgan + MACCS + CACTVS + descriptors,uprosertib,3 rings,3.0
51049968,rimegepant,51049968.0,9.316156,10.386296,Morgan + MACCS + CACTVS + descriptors,rimegepant,4+ rings,6.0
5105,roxatidine-acetate,5105.0,8.883437,6.7575974,Morgan + MACCS + CACTVS + descriptors,roxatidine-acetate,2 rings,2.0
51057264,metazosin,51057264.0,10.661391,10.377746,Morgan + MACCS + CACTVS + descriptors,metazosin,3 rings,3.0
51167,octenidine,51167.0,0.7193066,8.72882,Morgan + MACCS + CACTVS + descriptors,octenidine,2 rings,2.0
51173,flurofamide,51173.0,7.120003,7.6201468,Morgan + MACCS + CACTVS + descriptors,flurofamide,1 ring,1.0
512282,zk-811752,512282.0,9.046382,7.405973,Morgan + MACCS + CACTVS + descriptors,zk-811752,3 rings,3.0
51346455,pf-03814735,51346455.0,7.4411154,11.13551,Morgan + MACCS + CACTVS + descriptors,pf-03814735,4+ rings,5.0
51346934,tc-sp-14,51346934.0,8.222651,10.232048,Morgan + MACCS + CACTVS + descriptors,tc-sp-14,4+ rings,5.0
51347395,dsm265,51347395.0,6.955662,10.446709,Morgan + MACCS + CACTVS + descriptors,dsm265,3 rings,3.0
51352361,verubecestat,51352361.0,8.212491,9.689702,Morgan + MACCS + CACTVS + descriptors,verubecestat,3 rings,3.0
51355147,nhi-2,51355147.0,8.857731,10.547328,Morgan + MACCS + CACTVS + descriptors,nhi-2,3 rings,3.0
51358113,torin-2,51358113.0,7.745079,10.975929,Morgan + MACCS + CACTVS + descriptors,torin-2,4+ rings,5.0
51371303,pf-4708671,51371303.0,6.8807926,10.766599,Morgan + MACCS + CACTVS + descriptors,pf-4708671,4+ rings,4.0
51371472,timofibrate,51371472.0,8.663508,6.4100657,Morgan + MACCS + CACTVS + descriptors,timofibrate,2 rings,2.0
51371498,torasemide,51371498.0,8.233563,9.60416,Morgan + MACCS + CACTVS + descriptors,torasemide,2 rings,2.0
51380897,paramethadione,51380897.0,1.4605229,8.968871,Morgan + MACCS + CACTVS + descriptors,paramethadione,1 ring,1.0
51382662,sodium-tetradecyl-sulfate,51382662.0,0.45021948,8.610632,Morgan + MACCS + CACTVS + descriptors,sodium-tetradecyl-sulfate,0 rings,0.0
51387302,prolylleucylglycinamide,51387302.0,1.4710637,8.620343,Morgan + MACCS + CACTVS + descriptors,prolylleucylglycinamide,1 ring,1.0
5139,eit-hydrobromide,5139.0,0.859303,9.295786,Morgan + MACCS + CACTVS + descriptors,eit-hydrobromide,0 rings,0.0
51397006,iloprost,51397006.0,0.4876654,7.769844,Morgan + MACCS + CACTVS + descriptors,iloprost,2 rings,2.0
51399529,allicin,51399529.0,0.5505961,9.036063,Morgan + MACCS + CACTVS + descriptors,allicin,0 rings,0.0
51399532,candesartan-cilexetil,51399532.0,7.8763247,11.289458,Morgan + MACCS + CACTVS + descriptors,candesartan-cilexetil,4+ rings,6.0
5143,saccharin,5143.0,8.1931305,8.442831,Morgan + MACCS + CACTVS + descriptors,saccharin,2 rings,2.0
51436118,cid-16020046,51436118.0,9.202294,10.018957,Morgan + MACCS + CACTVS + descriptors,cid-16020046,4+ rings,5.0
5145950,rs-39604,5145950.0,9.148728,7.7153587,Morgan + MACCS + CACTVS + descriptors,rs-39604,3 rings,3.0
5146,salicyl-alcohol,5146.0,7.840454,5.6442327,Morgan + MACCS + CACTVS + descriptors,salicyl-alcohol,1 ring,1.0
5147,salicylamide,5147.0,8.048564,6.638075,Morgan + MACCS + CACTVS + descriptors,salicylamide,1 ring,1.0
5149140,6-iodo-nordihydrocapsaicin,5149140.0,8.875541,6.516973,Morgan + MACCS + CACTVS + descriptors,6-iodo-nordihydrocapsaicin,1 ring,1.0
515328,fdcyd,515328.0,2.430091,9.671057,Morgan + MACCS + CACTVS + descriptors,fdcyd,2 rings,2.0
51537051,ldn-57444,51537051.0,7.228064,8.544942,Morgan + MACCS + CACTVS + descriptors,ldn-57444,3 rings,3.0
5154,sanguinarium-chloride,5154.0,9.669374,10.531358,Morgan + MACCS + CACTVS + descriptors,sanguinarium-chloride,4+ rings,6.0
51546414,cefpodoxime,51546414.0,2.9966407,8.084479,Morgan + MACCS + CACTVS + descriptors,cefpodoxime,3 rings,3.0
51574136,lufenuron,51574136.0,8.676669,7.6250567,Morgan + MACCS + CACTVS + descriptors,lufenuron,2 rings,2.0
51590030,camylofine-chlorhydrate,51590030.0,7.2308407,7.0678153,Morgan + MACCS + CACTVS + descriptors,camylofine-chlorhydrate,1 ring,1.0
51601993,tgx-221,51601993.0,7.18946,8.411712,Morgan + MACCS + CACTVS + descriptors,tgx-221,4+ rings,4.0
5161,sasapyrine,5161.0,8.300801,5.3430314,Morgan + MACCS + CACTVS + descriptors,sasapyrine,2 rings,2.0
5163,sb-206553,5163.0,7.913126,10.64836,Morgan + MACCS + CACTVS + descriptors,sb-206553,4+ rings,4.0
51634,miglustat,51634.0,1.3159108,8.509015,Morgan + MACCS + CACTVS + descriptors,miglustat,1 ring,1.0
51683,swainsonine,51683.0,1.3527913,8.546121,Morgan + MACCS + CACTVS + descriptors,swainsonine,2 rings,2.0
5169,sb-202190,5169.0,9.754956,10.090002,Morgan + MACCS + CACTVS + descriptors,sb-202190,4+ rings,4.0
51698431,prasugrel,51698431.0,8.869913,6.9568844,Morgan + MACCS + CACTVS + descriptors,prasugrel,4+ rings,4.0
51712,pramiracetam,51712.0,1.4647248,8.870227,Morgan + MACCS + CACTVS + descriptors,pramiracetam,1 ring,1.0
5173,sbha,5173.0,1.1418868,8.737128,Morgan + MACCS + CACTVS + descriptors,sbha,0 rings,0.0
5175,sc-10,5175.0,8.199601,8.461156,Morgan + MACCS + CACTVS + descriptors,sc-10,2 rings,2.0
5186,scriptaid,5186.0,7.052726,7.892529,Morgan + MACCS + CACTVS + descriptors,scriptaid,3 rings,3.0
518924,ciaftalan-zinc,518924.0,6.8758907,10.421472,Morgan + MACCS + CACTVS + descriptors,ciaftalan-zinc,4+ rings,10.0
5191,sdz-205-557,5191.0,9.0138855,7.418389,Morgan + MACCS + CACTVS + descriptors,sdz-205-557,1 ring,1.0
5192,disodium-sebacate,5192.0,0.3323514,8.499582,Morgan + MACCS + CACTVS + descriptors,disodium-sebacate,0 rings,0.0
5202,serotonin,5202.0,9.214605,10.6258545,Morgan + MACCS + CACTVS + descriptors,serotonin,2 rings,2.0
5205,setiptiline,5205.0,6.4384565,7.716438,Morgan + MACCS + CACTVS + descriptors,setiptiline,4+ rings,4.0
5206,sevoflurane,5206.0,0.34596,9.101875,Morgan + MACCS + CACTVS + descriptors,sevoflurane,0 rings,0.0
521106,ipa-3,521106.0,7.8194237,5.599248,Morgan + MACCS + CACTVS + descriptors,ipa-3,4+ rings,4.0
5215,sulfadiazine,5215.0,8.312085,9.489936,Morgan + MACCS + CACTVS + descriptors,sulfadiazine,2 rings,2.0
522232,etoxybamide,522232.0,1.2050059,8.4852495,Morgan + MACCS + CACTVS + descriptors,etoxybamide,0 rings,0.0
5227,skf-91488,5227.0,0.8879263,9.296878,Morgan + MACCS + CACTVS + descriptors,skf-91488,0 rings,0.0
5228,skf-86002,5228.0,7.1269283,10.2573,Morgan + MACCS + CACTVS + descriptors,skf-86002,4+ rings,4.0
5233,sobuzoxane,5233.0,1.4104495,8.917315,Morgan + MACCS + CACTVS + descriptors,sobuzoxane,2 rings,2.0
