pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,moa_clean,moa_category
10930,isovaleramide,10930.0,1.0516789,8.90015,Morgan + MACCS + CACTVS + descriptors,isovaleramide,alcohol dehydrogenase inhibitor,Other MoA
10937426,ac-7954-(+/-),10937426.0,7.5246367,6.8080044,Morgan + MACCS + CACTVS + descriptors,ac-7954-(+/-),urotensin receptor agonist,Other MoA
10938334,ml3403,10938334.0,6.9830947,10.447007,Morgan + MACCS + CACTVS + descriptors,ml3403,MAP kinase inhibitor,Other MoA
1096292,sirreal-2,1096292.0,7.644215,10.303514,Morgan + MACCS + CACTVS + descriptors,sirreal-2,SIRT inhibitor,Other MoA
10981286,hemado,10981286.0,6.067473,11.7989235,Morgan + MACCS + CACTVS + descriptors,hemado,adenosine receptor agonist,Other MoA
11001318,tafamidis-meglumine,11001318.0,9.143914,10.204825,Morgan + MACCS + CACTVS + descriptors,tafamidis-meglumine,transthyretin amyloid inhibitor,Other MoA
1102,spermidine,1102.0,0.9174143,9.15375,Morgan + MACCS + CACTVS + descriptors,spermidine,glutamate receptor modulator,Other MoA
1103,spermine,1103.0,0.9164729,9.161074,Morgan + MACCS + CACTVS + descriptors,spermine,,Unknown
1103147,ym-90709,1103147.0,10.36081,10.273177,Morgan + MACCS + CACTVS + descriptors,ym-90709,IL5 inhibitor,Other MoA
11031538,pmpa,11031538.0,0.2643496,8.676617,Morgan + MACCS + CACTVS + descriptors,pmpa,glutamate receptor antagonist,glutamate receptor antagonist
11033,sulfacarbamide,11033.0,8.2959795,8.716992,Morgan + MACCS + CACTVS + descriptors,sulfacarbamide,,Unknown
11037861,nida-41020,11037861.0,9.415545,9.926072,Morgan + MACCS + CACTVS + descriptors,nida-41020,cannabinoid receptor antagonist,Other MoA
11059920,silymarin,11059920.0,8.866466,4.844305,Morgan + MACCS + CACTVS + descriptors,silymarin,,Unknown
110635,tadalafil,110635.0,9.308383,10.358361,Morgan + MACCS + CACTVS + descriptors,tadalafil,phosphodiesterase inhibitor,phosphodiesterase inhibitor
11066464,minerval,11066464.0,0.4149934,8.181366,Morgan + MACCS + CACTVS + descriptors,minerval,FAAH inhibitor,Other MoA
11075829,titanocene-dichloride,11075829.0,0.39611673,9.100984,Morgan + MACCS + CACTVS + descriptors,titanocene-dichloride,apoptosis stimulant,Other MoA
11088,thymol-iodide,11088.0,7.898516,5.559535,Morgan + MACCS + CACTVS + descriptors,thymol-iodide,,Unknown
11092,paeonol,11092.0,8.382645,5.2571197,Morgan + MACCS + CACTVS + descriptors,paeonol,anti-inflammatory agent,Other MoA
111332,anecortave-acetate,111332.0,0.27151996,6.397795,Morgan + MACCS + CACTVS + descriptors,anecortave-acetate,angiogenesis inhibitor,Other MoA
11152667,azd7762,11152667.0,7.3967733,8.590481,Morgan + MACCS + CACTVS + descriptors,azd7762,CHK inhibitor,Other MoA
11154925,brivanib-alaninate,11154925.0,10.118486,9.811372,Morgan + MACCS + CACTVS + descriptors,brivanib-alaninate,FGFR inhibitor|VEGFR inhibitor,Other MoA
11155808,pralatrexate,11155808.0,7.6115575,11.339781,Morgan + MACCS + CACTVS + descriptors,pralatrexate,dihydrofolate reductase inhibitor,Other MoA
11159621,mk-0354,11159621.0,6.895306,9.886666,Morgan + MACCS + CACTVS + descriptors,mk-0354,niacin receptor agonist,Other MoA
1116244,tcs-5861528,1116244.0,7.6072726,11.150473,Morgan + MACCS + CACTVS + descriptors,tcs-5861528,transient receptor potential channel antagonist,Other MoA
11167112,amg-548,11167112.0,7.885866,11.0015745,Morgan + MACCS + CACTVS + descriptors,amg-548,MAP kinase inhibitor,Other MoA
11167602,regorafenib,11167602.0,9.896406,10.331938,Morgan + MACCS + CACTVS + descriptors,regorafenib,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,Other MoA
11168203,akba,11168203.0,0.3086138,6.93988,Morgan + MACCS + CACTVS + descriptors,akba,lipoxygenase inhibitor,Other MoA
1117196,ptc-209,1117196.0,9.859373,9.64151,Morgan + MACCS + CACTVS + descriptors,ptc-209,BMI-1 inhibitor,Other MoA
11175137,at7867,11175137.0,7.085079,10.059376,Morgan + MACCS + CACTVS + descriptors,at7867,AKT inhibitor,Other MoA
11179,zinc-undecylenate,11179.0,0.3514505,8.178827,Morgan + MACCS + CACTVS + descriptors,zinc-undecylenate,other antifungal,Other MoA
11180124,azeliragon,11180124.0,10.066517,9.828935,Morgan + MACCS + CACTVS + descriptors,azeliragon,RAGE receptor antagonist,Other MoA
11180808,mk-0812,11180808.0,8.425117,10.82452,Morgan + MACCS + CACTVS + descriptors,mk-0812,CC chemokine receptor antagonist,Other MoA
11181988,pantoprazole,11181988.0,9.865556,9.604497,Morgan + MACCS + CACTVS + descriptors,pantoprazole,ATPase inhibitor,Other MoA
11188409,galeterone,11188409.0,7.4128256,10.918476,Morgan + MACCS + CACTVS + descriptors,galeterone,androgen receptor modulator,Other MoA
11197252,teroxirone,11197252.0,1.4581616,9.094851,Morgan + MACCS + CACTVS + descriptors,teroxirone,DNA inhibitor,Other MoA
