source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::tacedinaline::NPC.170::::24H::4uM::CEGS001::G14::BRD-K52313696,tacedinaline,brd-k52313696,tacedinaline
L1000,L1000::17-AAG::NPC.170::::24H::4uM::CEGS001::C02::BRD-K42840900,17-AAG,brd-k42840900,17-aag
L1000,L1000::vorinostat::NPC.170::::24H::10uM::CEGS001::C19::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::I-BET-151::NPC.170::::24H::0.3uM::CEGS001::H12::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::tretinoin::NPC.170::::24H::1.67uM::CEGS001::K17::BRD-K71879491,tretinoin,brd-k71879491,tretinoin
L1000,L1000::17-AAG::NPC.170::::24H::1.25uM::CEGS001::C04::BRD-K42840900,17-AAG,brd-k42840900,17-aag
L1000,L1000::vorinostat::NPC.170::::24H::0.66uM::CEGS001::C23::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::NPC.170::::24H::0.3uM::CEGS001::C24::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HA1E::::24H::20uM::DOSVAL006::G13::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HA1E::::24H::10uM::DOSVAL006::G14::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::dasatinib::MCF7::::48H::10uM::ASG003::N01::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::ABT-737::MCF7::::48H::10uM::ASG003::L01::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::masitinib::MCF7::::48H::0.12uM::ASG003::P24::BRD-K71035033,masitinib,brd-k71035033,masitinib
L1000,L1000::ponatinib::MCF7::::48H::10uM::ASG003::P13::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::vandetanib::MCF7::::48H::10uM::ASG003::N22::BRD-K77625799,vandetanib,brd-k77625799,vandetanib
L1000,L1000::JNJ-7706621::MCF7::::48H::10uM::ASG003::L22::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
L1000,L1000::lapatinib::MCF7::::48H::10uM::ASG003::O07::BRD-K19687926,lapatinib,brd-k19687926,lapatinib
L1000,L1000::olaparib::MCF7::::48H::10uM::ASG003::D07::BRD-K02113016,olaparib,brd-k02113016,olaparib
L1000,L1000::RITA::MCF7::::48H::1.11uM::ASG003::A23::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::vorinostat::MCF7::::48H::1.11uM::ASG003::F05::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::dienestrol::MCF7::::48H::10uM::ASG003::M04::BRD-K95309561,dienestrol,brd-k95309561,dienestrol
L1000,L1000::panobinostat::MCF7::::48H::0.12uM::ASG003::P03::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::trametinib::MCF7::::48H::10uM::ASG003::N16::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::nocodazole::MCF7::::48H::1.11uM::ASG003::I02::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::PI-103::MCF7::::48H::10uM::ASG003::F13::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::BI-2536::MCF7::::48H::1.11uM::ASG003::D05::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::selumetinib::MCF7::::48H::10uM::ASG003::E04::BRD-K57080016,selumetinib,brd-k57080016,selumetinib
L1000,L1000::trifluoperazine::MCF7::::48H::10uM::ASG003::P19::BRD-K89732114,trifluoperazine,brd-k89732114,trifluoperazine
L1000,L1000::tandutinib::MCF7::::48H::10uM::ASG003::D13::BRD-K89162000,tandutinib,brd-k89162000,tandutinib
L1000,L1000::amlodipine::MCF7::::48H::10uM::ASG003::G04::BRD-A22032524,amlodipine,brd-a22032524,amlodipine
L1000,L1000::dabrafenib::MCF7::::48H::10uM::ASG003::H16::BRD-K09951645,dabrafenib,brd-k09951645,dabrafenib
L1000,L1000::palbociclib::MCF7::::48H::1.11uM::ASG003::K17::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::raloxifene::MCF7::::48H::0.12uM::ASG003::I15::BRD-K63828191,raloxifene,brd-k63828191,raloxifene
L1000,L1000::alvocidib::MCF7::::48H::0.12uM::ASG003::J21::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::BI-2536::MCF7::::48H::10uM::ASG003::D04::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::nocodazole::MCF7::::48H::10uM::ASG003::I01::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::masitinib::MCF7::::48H::10uM::ASG003::P22::BRD-K71035033,masitinib,brd-k71035033,masitinib
L1000,L1000::panobinostat::MCF7::::48H::10uM::ASG003::P01::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::thioridazine::MCF7::::48H::10uM::ASG003::M01::BRD-A84481105,thioridazine,brd-a84481105,thioridazine
L1000,L1000::RITA::MCF7::::48H::0.12uM::ASG003::A24::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::RITA::MCF7::::48H::10uM::ASG003::A22::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::trametinib::MCF7::::48H::1.11uM::ASG003::N17::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::ponatinib::MCF7::::48H::1.11uM::ASG003::P14::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::palbociclib::MCF7::::48H::10uM::ASG003::K16::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::raloxifene::MCF7::::48H::1.11uM::ASG003::I14::BRD-K63828191,raloxifene,brd-k63828191,raloxifene
L1000,L1000::alvocidib::MCF7::::48H::10uM::ASG003::J19::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::alvocidib::MCF7::::48H::1.11uM::ASG003::J20::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::nocodazole::MCF7::::48H::0.12uM::ASG003::I03::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::raloxifene::MCF7::::48H::10uM::ASG003::I13::BRD-K63828191,raloxifene,brd-k63828191,raloxifene
L1000,L1000::vorinostat::MCF7::::48H::10uM::ASG003::F04::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::panobinostat::MCF7::::48H::1.11uM::ASG003::P02::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::BI-2536::MCF7::::48H::0.12uM::ASG003::D06::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::AZ-628::MCF7::::48H::10uM::ASG003::J13::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::dasatinib::MCF7::::48H::1.11uM::ASG003::N02::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::regorafenib::A375::::24H::10uM::REP.A002::F19::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::regorafenib::A375::::24H::3.33uM::REP.A002::F20::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::bosutinib::A375::::24H::3.33uM::REP.A002::N20::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::bosutinib::A375::::24H::10uM::REP.A002::N19::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::sotrastaurin::A375::::24H::3.33uM::REP.A002::G08::BRD-K16761703,sotrastaurin,brd-k16761703,sotrastaurin
L1000,L1000::bosutinib::A375::::24H::0.37uM::REP.A002::N22::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::Z160::A375::::24H::3.33uM::REP.A002::C08::BRD-K16037980,Z160,brd-k16037980,z160
L1000,L1000::sotrastaurin::A375::::24H::10uM::REP.A002::G07::BRD-K16761703,sotrastaurin,brd-k16761703,sotrastaurin
L1000,L1000::Y-39983::HA1E::::24H::10uM::REP.A014::C07::BRD-K56751279,Y-39983,brd-k56751279,y-39983
L1000,L1000::triclosan::HA1E::::24H::3.33uM::REP.A014::P20::BRD-K41731458,triclosan,brd-k41731458,triclosan
L1000,L1000::Y-39983::HA1E::::24H::3.33uM::REP.A014::C08::BRD-K56751279,Y-39983,brd-k56751279,y-39983
L1000,L1000::LGX-818::HA1E::::24H::3.33uM::REP.A014::A20::BRD-A56085258,LGX-818,brd-a56085258,lgx-818
L1000,L1000::MEK-162::MDAMB231::::24H::2.22uM::REP.B021::E13::BRD-K82244583,MEK-162,brd-k82244583,mek-162
L1000,L1000::lodoxamide::MCF7::::24H::1.11uM::REP.A017::K15::BRD-K66937583,lodoxamide,brd-k66937583,lodoxamide
L1000,L1000::tipifarnib-P2::MCF7::::24H::10uM::REP.A017::F19::BRD-K62965247,tipifarnib-P2,brd-k62965247,tipifarnib-p2
L1000,L1000::dapsone::MCF7::::24H::0.125uM::REP.A017::F05::BRD-K62363391,dapsone,brd-k62363391,dapsone
L1000,L1000::tipifarnib-P2::MCF7::::24H::1.11uM::REP.A017::F21::BRD-K62965247,tipifarnib-P2,brd-k62965247,tipifarnib-p2
L1000,L1000::tipifarnib-P2::MCF7::::24H::0.37uM::REP.A017::F22::BRD-K62965247,tipifarnib-P2,brd-k62965247,tipifarnib-p2
L1000,L1000::tipifarnib-P2::MCF7::::24H::3.33uM::REP.A017::F20::BRD-K62965247,tipifarnib-P2,brd-k62965247,tipifarnib-p2
L1000,L1000::BRD-K18269444::MCF7::::24H::0.125uM::PBIOA021::B17::BRD-K18269444,BRD-K18269444,brd-k18269444,brd-k18269444
L1000,L1000::saracatinib::MCF7::::24H::10uM::PBIOA021::P01::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::saracatinib::MCF7::::24H::1.11uM::PBIOA021::P03::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::vorinostat::MCF7::::24H::10uM::PBIOA021::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BMS-536924::MCF7::::24H::1.25uM::PBIOA021::N03::BRD-K34581968,BMS-536924,brd-k34581968,bms-536924
L1000,L1000::BRD-K47503321::MCF7::::24H::10uM::PBIOA021::C13::BRD-K47503321,BRD-K47503321,brd-k47503321,brd-k47503321
L1000,L1000::CYT-387::MCF7::::24H::3.33uM::PBIOA021::C08::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::BMS-536924::MCF7::::24H::12uM::PBIOA021::N01::BRD-K34581968,BMS-536924,brd-k34581968,bms-536924
L1000,L1000::CYT-387::MCF7::::24H::1.11uM::PBIOA021::C09::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::saracatinib::MCF7::::24H::0.37uM::PBIOA021::P04::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::CYT-387::MCF7::::24H::10uM::PBIOA021::C07::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::RG-4733::MCF7::::24H::0.37uM::PBIOA021::F22::BRD-K22024824,RG-4733,brd-k22024824,rg-4733
L1000,L1000::BMS-536924::MCF7::::24H::4uM::PBIOA021::N02::BRD-K34581968,BMS-536924,brd-k34581968,bms-536924
L1000,L1000::BRD-K18269444::MCF7::::24H::0.04uM::PBIOA021::B18::BRD-K18269444,BRD-K18269444,brd-k18269444,brd-k18269444
L1000,L1000::BRD-K41723848::MCF7::::24H::10uM::PBIOA021::C01::BRD-K41723848,BRD-K41723848,brd-k41723848,brd-k41723848
L1000,L1000::palbociclib::HAP1.HDAC5::::24H::0.66uM::MOAR017::K06::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::saracatinib::HAP1.HDAC5::::24H::0.66uM::MOAR017::O06::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::palbociclib::HAP1.HDAC5::::24H::3.33uM::MOAR017::K05::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::LY-2835219::HAP1.HDAC5::::24H::3.33uM::MOAR017::F05::BRD-K33622447,LY-2835219,brd-k33622447,ly-2835219
L1000,L1000::GSK-J4::A549::::24H::10uM::PBIOA018::H07::BRD-K98203492,GSK-J4,brd-k98203492,gsk-j4
L1000,L1000::trametinib::A549::::24H::0.37uM::PBIOA018::A22::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::trametinib::A549::::24H::10uM::PBIOA018::A19::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::trametinib::A549::::24H::0.04uM::PBIOA018::A24::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BRD-K59037718::A549::::24H::3.33uM::PBIOA018::L08::BRD-K59037718,BRD-K59037718,brd-k59037718,brd-k59037718
L1000,L1000::trametinib::A549::::24H::1.11uM::PBIOA018::A21::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::PD-173074::A549::::24H::1.11uM::PBIOA018::B09::BRD-K97764662,PD-173074,brd-k97764662,pd-173074
L1000,L1000::fluorouracil::A549::::24H::10uM::PBIOA018::L19::BRD-K24844714,fluorouracil,brd-k24844714,fluorouracil
L1000,L1000::trametinib::A549::::24H::3.33uM::PBIOA018::A20::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::trametinib::A549::::24H::0.125uM::PBIOA018::A23::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BRD-K13659644::A549::::24H::10uM::PBIOA018::L13::BRD-K13659644,BRD-K13659644,brd-k13659644,brd-k13659644
L1000,L1000::vorinostat::A549::::24H::10uM::PBIOA018::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::regorafenib::A549::::24H::10uM::PBIOA018::G01::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::CGP-60474::MCF10A::::24H::0.04uM::LJP007::C24::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::OTS-167::MCF10A::::24H::10uM::LJP007::O13::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::MLN-0128::MCF10A::::24H::0.37uM::LJP007::L10::BRD-K59317601,MLN-0128,brd-k59317601,mln-0128
L1000,L1000::PHA-767491::MCF10A::::24H::0.37uM::LJP007::J04::BRD-K50000283,PHA-767491,brd-k50000283,pha-767491
L1000,L1000::vandetanib::MCF10A::::24H::10uM::LJP007::P13::BRD-K77625799,vandetanib,brd-k77625799,vandetanib
L1000,L1000::dasatinib::MCF10A::::24H::1.11uM::LJP007::G15::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::MCF10A::::24H::3.33uM::LJP007::G14::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::OTS-167::MCF10A::::24H::0.04uM::LJP007::O18::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::NVP-TAE226::MCF10A::::24H::10uM::LJP007::M13::BRD-K21025364,NVP-TAE226,brd-k21025364,nvp-tae226
L1000,L1000::MLN-0128::MCF10A::::24H::3.33uM::LJP007::L08::BRD-K59317601,MLN-0128,brd-k59317601,mln-0128
L1000,L1000::MLN-0128::MCF10A::::24H::1.11uM::LJP007::L09::BRD-K59317601,MLN-0128,brd-k59317601,mln-0128
L1000,L1000::OTS-167::MCF10A::::24H::0.12uM::LJP007::O17::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::bosutinib::MCF10A::::24H::10uM::LJP007::D19::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::bosutinib::MCF10A::::24H::3.33uM::LJP007::D20::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::MLN-0128::MCF10A::::24H::0.12uM::LJP007::L11::BRD-K59317601,MLN-0128,brd-k59317601,mln-0128
L1000,L1000::CGP-60474::MCF10A::::24H::0.12uM::LJP007::C23::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::AZ-628::MCF10A::::24H::3.33uM::LJP007::E14::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::CGP-60474::MCF10A::::24H::3.33uM::LJP007::C20::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::dasatinib::MCF10A::::24H::10uM::LJP007::G13::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::OTS-167::MCF10A::::24H::1.11uM::LJP007::O15::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::dasatinib::MCF10A::::24H::0.37uM::LJP007::G16::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::OSI-930::MCF10A::::24H::0.12uM::LJP007::E11::BRD-K25340465,OSI-930,brd-k25340465,osi-930
L1000,L1000::MLN-0128::MCF10A::::24H::0.04uM::LJP007::L12::BRD-K59317601,MLN-0128,brd-k59317601,mln-0128
L1000,L1000::OTS-167::MCF10A::::24H::0.37uM::LJP007::O16::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::PHA-767491::MCF10A::::24H::3.33uM::LJP007::J02::BRD-K50000283,PHA-767491,brd-k50000283,pha-767491
L1000,L1000::OTS-167::MCF10A::::24H::3.33uM::LJP007::O14::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::AZ-628::MCF10A::::24H::1.11uM::LJP007::E15::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::CGP-60474::MCF10A::::24H::10uM::LJP007::C19::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::vorinostat::MCF10A::::24H::10uM::LJP007::A03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::TPCA-1::MCF10A::::24H::10uM::LJP007::A19::BRD-K51575138,TPCA-1,brd-k51575138,tpca-1
L1000,L1000::CGP-60474::MCF10A::::24H::0.37uM::LJP007::C22::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::CGP-60474::MCF10A::::24H::1.11uM::LJP007::C21::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::PHA-767491::MCF10A::::24H::10uM::LJP007::J01::BRD-K50000283,PHA-767491,brd-k50000283,pha-767491
L1000,L1000::dasatinib::MCF10A::::24H::0.12uM::LJP007::G17::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::MLN-0128::MCF10A::::24H::10uM::LJP007::L07::BRD-K59317601,MLN-0128,brd-k59317601,mln-0128
L1000,L1000::PHA-767491::MCF10A::::24H::1.11uM::LJP007::J03::BRD-K50000283,PHA-767491,brd-k50000283,pha-767491
L1000,L1000::LGX-818::MCF10A::::24H::10uM::REP.A014::A19::BRD-A56085258,LGX-818,brd-a56085258,lgx-818
L1000,L1000::SC-12267::MCF10A::::24H::10uM::REP.A014::O07::BRD-K40797222,SC-12267,brd-k40797222,sc-12267
L1000,L1000::indometacin::MCF10A::::24H::3.33uM::REP.A014::D08::BRD-K57222227,indometacin,brd-k57222227,indometacin
L1000,L1000::LGX-818::MCF10A::::24H::3.33uM::REP.A014::A20::BRD-A56085258,LGX-818,brd-a56085258,lgx-818
L1000,L1000::PI-103::MCF7::::24H::10uM::REP.A007::P01::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::GDC-0941::MCF7::::24H::1.11uM::REP.A007::I09::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::GDC-0941::MCF7::::24H::3.33uM::REP.A007::I08::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::siramesine::MCF7::::24H::10uM::REP.A007::H01::BRD-K51333959,siramesine,brd-k51333959,siramesine
L1000,L1000::toremifene::MCF7::::24H::10uM::REP.A007::G07::BRD-K51350053,toremifene,brd-k51350053,toremifene
L1000,L1000::pidotimod::MCF7::::24H::0.37uM::REP.A007::D16::BRD-K44442813,pidotimod,brd-k44442813,pidotimod
L1000,L1000::GDC-0941::MCF7::::24H::10uM::REP.A007::I07::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::AEE-788::MCF7::::24H::0.04uM::REP.A007::F18::BRD-K40718343,AEE-788,brd-k40718343,aee-788
L1000,L1000::amitriptyline::MCF7::::24H::10uM::REP.A007::L01::BRD-K53737926,amitriptyline,brd-k53737926,amitriptyline
L1000,L1000::anastrozole::MCF7::::24H::10uM::REP.A007::I01::BRD-K52172416,anastrozole,brd-k52172416,anastrozole
L1000,L1000::AEE-788::MCF7::::24H::3.33uM::REP.A007::F14::BRD-K40718343,AEE-788,brd-k40718343,aee-788
L1000,L1000::PI-103::MCF7::::24H::1.11uM::REP.A007::P03::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::penfluridol::MCF7::::24H::10uM::REP.A010::P13::BRD-K15409150,penfluridol,brd-k15409150,penfluridol
L1000,L1000::penfluridol::MCF7::::24H::1.11uM::REP.A010::P15::BRD-K15409150,penfluridol,brd-k15409150,penfluridol
L1000,L1000::midostaurin::MCF7::::24H::3.33uM::REP.A010::I02::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::midostaurin::MCF7::::24H::1.11uM::REP.A010::I03::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::pentamidine::MCF7::::24H::10uM::REP.A010::G07::BRD-K13183738,pentamidine,brd-k13183738,pentamidine
L1000,L1000::rilmenidine::MCF7::::24H::0.37uM::REP.A010::N22::BRD-K01638814,rilmenidine,brd-k01638814,rilmenidine
L1000,L1000::midostaurin::MCF7::::24H::10uM::REP.A010::I01::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::R-428::MCF7::::24H::10uM::REP.A010::L19::BRD-K14870255,R-428,brd-k14870255,r-428
L1000,L1000::BRD-K45962729::MCF7::::24H::10uM::PCL001::B19::BRD-K45962729,BRD-K45962729,brd-k45962729,brd-k45962729
L1000,L1000::BRD-K11413513::MCF7::::24H::10uM::PCL001::K01::BRD-K11413513,BRD-K11413513,brd-k11413513,brd-k11413513
L1000,L1000::BRD-K91583156::MCF7::::24H::10uM::PCL001::E01::BRD-K91583156,BRD-K91583156,brd-k91583156,brd-k91583156
L1000,L1000::TG-101209::MCF7::::24H::0.04uM::PCL001::A24::BRD-K39841531,TG-101209,brd-k39841531,tg-101209
L1000,L1000::BRD-K93425199::MCF7::::24H::10uM::PCL001::J01::BRD-K93425199,BRD-K93425199,brd-k93425199,brd-k93425199
L1000,L1000::BRD-A89859721::MCF7::::24H::1.11uM::PCL001::J09::BRD-A89859721,BRD-A89859721,brd-a89859721,brd-a89859721
L1000,L1000::vorinostat::MCF7::::24H::10uM::PCL001::A03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K84633118::MCF7::::24H::10uM::PCL001::F01::BRD-K84633118,BRD-K84633118,brd-k84633118,brd-k84633118
L1000,L1000::BRD-A59468452::MCF7::::24H::0.37uM::PCL001::D16::BRD-A59468452,BRD-A59468452,brd-a59468452,brd-a59468452
L1000,L1000::I-BET-151::MCF7::::24H::1.11uM::PCL001::H21::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::BRD-K11413513::MCF7::::24H::3.33uM::PCL001::K02::BRD-K11413513,BRD-K11413513,brd-k11413513,brd-k11413513
L1000,L1000::BRD-K30842649::MCF7::::24H::10uM::PCL001::E07::BRD-K30842649,BRD-K30842649,brd-k30842649,brd-k30842649
L1000,L1000::BRD-K50817946::MCF7::::24H::10uM::PCL001::G19::BRD-K50817946,BRD-K50817946,brd-k50817946,brd-k50817946
L1000,L1000::BRD-K91583156::MCF7::::24H::3.33uM::PCL001::E02::BRD-K91583156,BRD-K91583156,brd-k91583156,brd-k91583156
L1000,L1000::BRD-K59023263::MCF7::::24H::10uM::PCL001::I01::BRD-K59023263,BRD-K59023263,brd-k59023263,brd-k59023263
L1000,L1000::BRD-K50511260::MCF7::::24H::0.04uM::PCL001::C06::BRD-K50511260,BRD-K50511260,brd-k50511260,brd-k50511260
L1000,L1000::BRD-A89859721::MCF7::::24H::0.04uM::PCL001::J12::BRD-A89859721,BRD-A89859721,brd-a89859721,brd-a89859721
L1000,L1000::vismo-ester::MCF7::::24H::0.04uM::PCL001::N12::BRD-K03953100,vismo-ester,brd-k03953100,vismo-ester
L1000,L1000::BRD-K40328231::MCF7::::24H::10uM::PCL001::F19::BRD-K40328231,BRD-K40328231,brd-k40328231,brd-k40328231
L1000,L1000::TG-101209::MCF7::::24H::3.33uM::PCL001::A20::BRD-K39841531,TG-101209,brd-k39841531,tg-101209
L1000,L1000::BRD-A89859721::MCF7::::24H::10uM::PCL001::J07::BRD-A89859721,BRD-A89859721,brd-a89859721,brd-a89859721
L1000,L1000::BRD-A89859721::MCF7::::24H::3.33uM::PCL001::J08::BRD-A89859721,BRD-A89859721,brd-a89859721,brd-a89859721
L1000,L1000::BRD-A59468452::MCF7::::24H::10uM::PCL001::D13::BRD-A59468452,BRD-A59468452,brd-a59468452,brd-a59468452
L1000,L1000::BRD-A89859721::MCF7::::24H::0.12uM::PCL001::J11::BRD-A89859721,BRD-A89859721,brd-a89859721,brd-a89859721
L1000,L1000::BRD-K49893531::MCF7::::24H::0.12uM::PCL001::F17::BRD-K49893531,BRD-K49893531,brd-k49893531,brd-k49893531
L1000,L1000::rotenone::HEPG2::::24H::1.25uM::POL001::D03::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::rotenone::HEPG2::::24H::0.125uM::POL001::D05::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::alvocidib::HEPG2::::24H::0.37uM::POL001::J04::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::BRD-K24779182::HEPG2::::24H::0.125uM::POL001::E11::BRD-K24779182,BRD-K24779182,brd-k24779182,brd-k24779182
L1000,L1000::vorinostat::HEPG2::::24H::10uM::POL001::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::alvocidib::HEPG2::::24H::3.33uM::POL001::J02::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::vorinostat::HEPG2::::24H::0.37uM::POL001::O04::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::rotenone::HEPG2::::24H::4uM::POL001::D02::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::alvocidib::HEPG2::::24H::1.11uM::POL001::J03::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::rotenone::HEPG2::::24H::0.37uM::POL001::D04::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::vorinostat::HEPG2::::24H::3.33uM::POL001::O02::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HEPG2::::24H::1.11uM::POL001::O03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::TPCA-1::HEPG2::::24H::10uM::POL001::I13::BRD-K51575138,TPCA-1,brd-k51575138,tpca-1
L1000,L1000::LDN-193189::HEPG2::::24H::3.33uM::POL001::I20::BRD-K04853698,LDN-193189,brd-k04853698,ldn-193189
L1000,L1000::alvocidib::HEPG2::::24H::10uM::POL001::J01::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::rotenone::HEPG2::::24H::12uM::POL001::D01::BRD-K08316444,rotenone,brd-k08316444,rotenone
L1000,L1000::alvocidib::HEPG2::::24H::0.125uM::POL001::J05::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
