source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::mocetinostat::A549::::24H::10uM::LUNG001::E13::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::NVP-TAE684::A549::::24H::10uM::LUNG001::C21::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::bisindolylmaleimide::A549::::24H::10uM::LUNG001::K09::BRD-K31342827,bisindolylmaleimide,brd-k31342827,bisindolylmaleimide
L1000,L1000::panobinostat::A549::::24H::10uM::LUNG001::B07::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::vorinostat::PC3::::24H::1.11uM::ERG021::O03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::PC3::::24H::10uM::ERG021::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::TG-101348::PC3::::24H::3.33uM::ERG021::K20::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::saracatinib::PC3::::24H::1.11uM::ERG021::P03::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::panobinostat::PC3::::24H::10uM::ERG021::K07::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::panobinostat::PC3::::24H::0.04uM::ERG021::K12::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::panobinostat::PC3::::24H::3.33uM::ERG021::K08::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::BI-2536::PC3::::24H::10uM::ERG021::J01::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::WAY-170523::PC3::::24H::3.33uM::ERG021::P14::BRD-K36198571,WAY-170523,brd-k36198571,way-170523
L1000,L1000::panobinostat::PC3::::24H::0.12uM::ERG021::K11::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::panobinostat::PC3::::24H::1.11uM::ERG021::K09::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::vorinostat::PC3::::24H::3.33uM::ERG021::O02::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BI-2536::PC3::::24H::3.33uM::ERG021::J02::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::WAY-170523::PC3::::24H::10uM::ERG021::P13::BRD-K36198571,WAY-170523,brd-k36198571,way-170523
L1000,L1000::saracatinib::PC3::::24H::3.33uM::ERG021::P02::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::vorinostat::PC3::::24H::0.12uM::ERG021::O05::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::saracatinib::PC3::::24H::0.37uM::ERG021::P04::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::vorinostat::PC3::::24H::0.37uM::ERG021::O04::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::TG-101348::PC3::::24H::10uM::ERG021::K19::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::BI-2536::PC3::::24H::1.11uM::ERG021::J03::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::panobinostat::PC3::::24H::0.37uM::ERG021::K10::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::TG-101348::PC3::::24H::1.11uM::ERG021::K21::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::foretinib::A375::::24H::2.22uM::REP.B012::P19::BRD-K03449891,foretinib,brd-k03449891,foretinib
L1000,L1000::caffeine::A375::::24H::0.01uM::REP.B012::L12::BRD-K02404261,caffeine,brd-k02404261,caffeine
L1000,L1000::colchicine::A375::::24H::0.03uM::REP.B012::A23::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::colchicine::A375::::24H::0.74uM::REP.B012::A20::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::colchicine::A375::::24H::0.08uM::REP.B012::A22::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::colchicine::A375::::24H::0.25uM::REP.B012::A21::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::colchicine::A375::::24H::2.22uM::REP.B012::A19::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::dasatinib::PC3::::24H::10uM::REP.A019::L13::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::LY-2157299::HA1E::::24H::10uM::REP.A025::N01::BRD-K78118466,LY-2157299,brd-k78118466,ly-2157299
L1000,L1000::tosedostat::HA1E::::24H::0.04uM::REP.A025::D18::BRD-K92241597,tosedostat,brd-k92241597,tosedostat
L1000,L1000::vandetanib::HA1E::::24H::10uM::REP.A025::K19::BRD-K77625799,vandetanib,brd-k77625799,vandetanib
L1000,L1000::lomitapide::HA1E::::24H::10uM::REP.A025::C13::BRD-K92213669,lomitapide,brd-k92213669,lomitapide
L1000,L1000::LY-2157299::HA1E::::24H::3.33uM::REP.A025::N02::BRD-K78118466,LY-2157299,brd-k78118466,ly-2157299
L1000,L1000::tosedostat::HA1E::::24H::3.33uM::REP.A025::D14::BRD-K92241597,tosedostat,brd-k92241597,tosedostat
L1000,L1000::MK-1775::HA1E::::24H::0.74uM::REP.B016::I20::BRD-K54256913,MK-1775,brd-k54256913,mk-1775
L1000,L1000::OTS-167::HA1E::::24H::0.03uM::REP.B016::O11::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::OTS-167::HA1E::::24H::0.01uM::REP.B016::O12::BRD-K53417444,OTS-167,brd-k53417444,ots-167
L1000,L1000::MK-1775::HA1E::::24H::2.22uM::REP.B016::I19::BRD-K54256913,MK-1775,brd-k54256913,mk-1775
