compound_embedding_row_index,compound_name,n_profiles,source_normalized_inverted_score
5129,Adagrasib,142,0.8133906328213171
3078,c-Kit-IN-1,143,0.80726992283353
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,138,0.8072510346374547
3294,BAY1125976; Bay-1125976,143,0.8066060391370689
3558,Adenine,143,0.8048832132329979
5523,Methyl Aminolevulinate Hydrochloride; Methyl aminolevulinate (hydrochloride),138,0.8046736049062932
2701,Tomivosertib,139,0.8044332399129366
5287,Daptomycin,138,0.8037075096107177
5522,Benztropine (mesylate); Benztropine mesylate,137,0.8034647751085349
1846,Aliskiren,148,0.8260492241623176
243,Abiraterone Acetate; Abiraterone acetate,143,0.8099363690327248
5153,Vinblastine (sulfate); Vinblastine Sulfate,143,0.8012331577605583
3315,Capivasertib,141,0.8009638356480819
97,Futibatinib,143,0.8006235634626502
5202,L-Eflornithine (monohydrochloride),140,0.8005848636213682
5187,Lapatinib Ditosylate; Lapatinib ditosylate,138,0.800453374681981
5521,"2-Naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, hydrochloride (1:1), (4S,4aS,5aS,6S,12aS)-; Tetracycline (hydrochloride)",136,0.8002238491359345
5174,Fluvoxamine (maleate); Fluvoxamine Maleate,145,0.7990947272150073
5193,5-((6-chloro-5-(1-methylindol-5-yl)-1H-benzimidazol-2-yl)oxy)-2-methylbenzoic acid; EX229,145,0.798795849669341
5535,Gallic acid (hydrate); Gallic acid monohydrate,291,0.7970026744369013
5411,Ligustrazine; Tetramethylpyrazine,138,0.7970364070138776
5136,Pasireotide (acetate); Pasireotide acetate,146,0.819779451088368
4178,Vilanterol,144,0.7963123822110122
4777,bergenin,145,0.8116019942614053
1338,Pimitespib,140,0.7934009366714431
5175,Fostamatinib (disodium hexahydrate),135,0.7923058942611132
609,Captopril,146,0.8096721858907836
5159,NG-25; NG25,144,0.7918528765015186
5149,Rutin (trihydrate); Rutin trihydrate,138,0.791715568486213
5172,Atazanavir (sulfate); Atazanavir Sulfate,142,0.7916499981561553
5538,"DT-061; N-((1R,2R,3S)-2-Hydroxy-3-(10H-phenoxazin-10-yl)cyclohexyl)-4-(trifluoromethoxy)benzenesulfonamide",141,0.7914973321985972
5401,Methylthiouracil,134,0.7906955490373396
5191,Rimonabant (Hydrochloride); Rimonabant Hydrochloride,279,0.7938668825501582
4155,Arbutin,137,0.7902881800911995
1571,3-(4-Methylpiperazine-1-carbonyl)-7-oxabicyclo(2.2.1)heptane-2-carboxylic acid; LB-100,130,0.788935269218133
3188,ETC-206; Tinodasertib,135,0.7837976709810395
2243,Cepharanthine,154,0.8447960674591338
5180,Cabozantinib (S-malate); Cabozantinib S-malate,142,0.7815704779639238
5184,Elagolix Sodium; Elagolix sodium,143,0.781556734534882
3280,Lonafarnib,164,0.867923807675444
174,Megestrol,153,0.8064782003977693
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",144,0.776965446657
616,Darolutamide,141,0.7747855766100635
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751710763976877
5182,(R)-Verapamil (hydrochloride); Dexverapamil Hydrochloride,143,0.7774906293211467
5188,Nafamostat (mesylate); Nafamostat Mesylate,146,0.7962603132336579
5208,HI-TOPK-032; HI-Topk-032,141,0.7672671930326451
5520,"(2S)-N-(2,6-dimethylphenyl)-1-propyl-2-piperidinecarboxamide hydrochloride monohydrate; Ropivacaine (hydrochloride monohydrate)",144,0.7663139044383933
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",153,0.8253178964424851
5203,Cysteamine (hydrochloride); Cysteamine Hydrochloride,142,0.76200003167608
5525,"16H-1,24:6,9-Dietheno-11,15-metheno-2H-pyrido(2',3':17,18)(1,11)dioxacycloeicosino(2,3,4-ij)isoquinolin-12-ol, 3,4,4a,5,16a,17,18,19-octahydro-21,22,26-trimethoxy-4,17-dimethyl-, hydrochloride (1:2), (4aS,16aR)-; Berbamine (dihydrochloride)",139,0.7573773287388941
2591,Sonidegib,168,0.8928492230025518
5209,Pentamidine (isethionate); Pentamidine Isethionate,145,0.7558431250742621
5213,Balsalazide (sodium hydrate); CID 92044433,141,0.7556114136129406
