compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,raw_error_inverted_score,mean_source_normalized_error_z,source_normalized_inverted_score,predictability_score,source_normalized_predictability_score
2184,3-(6-(6-Methoxypyridin-3-ylamino)-2-morpholinopyrimidin-4-yl)phenol; 3-[6-[(6-methoxypyridin-3-yl)amino]-2-morpholin-4-ylpyrimidin-4-yl]phenol,4,0.18639947,0.01241606,0.4594997381119107,0.882727879410899,0.6462716199842298,0.1781983345950037,0.3927327781983346
8425,tremorine,4,0.18640338,0.00048205125,0.4594851180914904,2.198098040979284,0.3810319307994554,0.1780469341408024,0.1053747161241484
8393,Phenoxazine; phenoxazine,3,0.18651585,0.00014762841,0.459064577504107,1.9512061651611596,0.4308167946480951,0.177895533686601,0.1394398183194549
7060,"1-(2,3-Dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-((4-methoxyphenyl)sulfonyl)piperazine; ASN-05257430",2,0.18652728,0.00079423527,0.45902183918354345,1.9514713000890305,0.430763331138039,0.1777441332323996,0.1391370174110522
4272,Btcp; CS-110266,2,0.18661445,3.3063657e-06,0.45869589872829153,1.9534920895115944,0.4303558461775244,0.1775927327781983,0.1386828160484481
2461,"5-[(2R)-2-[[(2R)-2-(3-chlorophenyl)-2-hydroxyethyl]amino]propyl]-1,3-benzodioxole-2,2-dicarboxylic acid; Cl-316243 Free diacid",1,0.18666394,0.0,0.4585108489046086,0.8863925757556225,0.6455326470716376,0.1774413323239969,0.3913701741105223
23926,anabasine,3,0.18666469,0.0007037353,0.45850804455286553,2.204746944767148,0.3796912031277787,0.1772899318697955,0.1044663133989401
8369,"BRD-K90849765; [(4R,5R)-5-(2-azidophenyl)-4-[(2-azidophenyl)methyl]-2-[4-(3-hydroxypropoxy)phenyl]-5H-oxazol-4-yl]-(1-piperidinyl)methanone",6,0.18675041,0.00027537838,0.45818752584431666,1.9566434980218848,0.42972037592117696,0.1771385314155942,0.1385314155942467
2537,"(3S,10R,13S)-17-Benzoimidazol-1-yl-10,13-dimethyl-2,3,4,7,8,9,10,11,12,13,14,15-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol; galeterone",7,0.18682538,0.0013299546,0.45790720284408426,1.629373747923216,0.49571315067915656,0.1769871309613928,0.19666919000757
1727,Vosaroxin; voreloxin,8,0.18683536,0.00042660578,0.45786988627022396,1.9586127033831875,0.42932329270214586,0.1768357305071914,0.138228614685844
5223,Hexamethylenetetramine; methenamine,1,0.1868939,0.0,0.45765099726884206,1.959969486852596,0.42904970216753335,0.1766843300529901,0.1380772142316426
4258,"N-pyridin-2-yl-5-thia-3,11,12-triazatricyclo[8.3.0.02,6]trideca-1(10),2(6),3,12-tetraen-4-amine; mGluR4-PAM-1",2,0.18694514,0.00034747834,0.45745940395775897,0.890289202453092,0.6447469062328204,0.1765329295987887,0.3903103709311127
24010,650_0048_9503; N-ethyl-3-methyl-1-(quinoline-2-carbonyl)piperidine-3-carboxamide,1,0.1869677,0.0,0.45737504905732884,1.9616801344711463,0.4287047561926999,0.1763815291445873,0.1377744133232399
6570,"1'-Ethyl-2'-spiro[1,2-dihydro-4,1,2-benzoxadiazine-3,3'-indole]one; BRD-A60386802",2,0.1869947,7.043647e-05,0.45727409239458017,1.9623059811608607,0.42857855644580956,0.1762301286903861,0.1376230128690385
7012,"BRD-K03176945; N-(2,5-dimethoxyphenyl)sulfonyl-N-(4-methoxyphenyl)cyclohexanecarboxamide",1,0.18700746,0.0,0.45722638102359225,1.9626017516705176,0.4285189153802422,0.1760787282361847,0.1374716124148373
6086,N-hydroxy-2-[(1-naphthalen-2-ylsulfonylpiperidin-3-yl)methylamino]pyrimidine-5-carboxamide,1,0.18701737,0.0,0.4571893261892278,0.8912901034003117,0.6445450781361356,0.1759273277819834,0.3901589704769114
162,"(2E,4E)-7-[4-(dimethylamino)phenyl]-N-hydroxy-4,6-dimethyl-7-oxohepta-2,4-dienamide; Trichostatin A (racemate)",4,0.187029,0.036601935,0.4571458400415328,0.8914512168585438,0.644512590183441,0.175775927327782,0.39000757002271
213,BRD-K67174965; N-Acetyl-D-cysteine,1,0.18714038,0.0,0.45672937511201606,1.9656827717444711,0.4278976387003659,0.1756245268735806,0.1371688115064345
7101,"2-(4-Fluorophenyl)-6-methoxy-1,3-benzothiazole; BRD-K25150581",1,0.18723798,0.0,0.45636443547185757,1.9679450916302512,0.427441449985681,0.1754731264193793,0.1368660105980318
