compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin,raw_error_inverted_score,source_normalized_inverted_score
1188,2-Methylquinoline-3-carboxylic acid ethyl ester; ethyl 2-methylquinoline-3-carboxylate,4,0.100321874,4.02881e-05,0.0063472907,0.09940818,0.024346562,2.8453702e-05,0.005334201,0.07280053,4.4412914e-06,0.0010335923,0.005936116,0.1422937699999999,0.0038185008,0.9879935,0.9988275,0.2151400454201362,0.7848599545798638,-0.3100612266335811,0.007736128393265,0.0879552635904473,-0.3227223326160523,1,0.1259651778955337,0.8740348221044663,2-4,0.7813555466153552,0.8867932776847453
7867,AG-538; BRD-K07888196,2,0.10032883,2.916107e-06,0.0017076586,0.10032883,0.06097954,6.999728e-06,0.0026457,0.028485961,8.804538e-06,0.0005286783,0.021515185,0.210303955,0.006810333,0.97777777,0.99824125,0.2152914458743376,0.7847085541256624,-0.0465662078150892,0.0015667915709635,0.0395827180845828,-0.0465662078150892,1,0.2373959121877365,0.7626040878122634,2-4,0.7813295371877227,0.8336604494245844
5991,N-[(2S)-1-[[(1S)-1-cyano-3-phenylpropyl]amino]-3-cyclohexyl-1-oxopropan-2-yl]morpholine-4-carboxamide,3,0.10033476,3.0986546e-05,0.0055665546,0.09887639,0.020896241,1.5813703e-05,0.0039766445,0.07624305,1.3674343e-06,0.0012816786,0.0058782813,0.0616632796666666,0.011368452,1.0,0.9963359,0.215442846328539,0.7845571536714611,-0.3098825180766682,0.0059500429932305,0.0771365217859253,-0.3300914606435325,1,0.1262679788039364,0.8737320211960635,2-4,0.7813073641132746,0.8867572417433235
7486,solanine,5,0.10034206,0.0003656669,0.019122418,0.09421023,0.045109518,0.00011366539,0.010661397,0.052057285,8.240686e-05,0.00037594288,0.006200141,0.162305416,0.044128727,0.978336592,0.98402464,0.2155942467827403,0.7844057532172597,-0.0151272824259186,0.1987470203271879,0.4458105206555672,-0.1478233737775525,2,0.2535957607872823,0.7464042392127177,5-19,0.7812800684229758,0.8273209025486054
2759,3-[5-amino-4-(3-cyanobenzoyl)pyrazol-1-yl]-N-cyclopropyl-4-methylbenzamide; Acumapimod,3,0.10034593,0.00034762028,0.018644579,0.09248135,0.030361855,0.00025936865,0.016104925,0.06696122,1.9181756e-05,0.0033868488,0.004690954,0.06528236,0.0167352,1.0,0.99457717,0.2157456472369417,0.7842543527630583,-0.3097279371033898,0.0667501493196927,0.2583605026309028,-0.4187084008831683,1,0.1265707797123391,0.8734292202876609,2-4,0.7812655979679819,0.8867260710428589
1602,Dovitinib; dovitinib,82,0.10034688,0.00045171395,0.021253562,0.09786822,0.07239452,0.00036330853,0.01906065,0.019765632,1.7057751e-05,0.00014014004,0.016317414,0.1984475628658536,0.0289516339999999,0.9764740796341465,0.9900337,0.215897047691143,0.784102952308857,-0.0461477371503412,0.2427011574780475,0.4926470922253044,-0.1036020041379216,1,0.2375473126419379,0.762452687358062,20-99,0.7812620457891073,0.833576066311531
5450,bropirimine,9,0.10035081,0.00069429923,0.02634956,0.10047161,0.070788376,0.00059633114,0.024419894,0.021019205,1.8267787e-05,0.0007607143,0.016782172,0.2560143611111111,0.019691119,0.9532328877777778,0.99457717,0.2160484481453444,0.7839515518546556,-0.0460566887691378,0.3730397158046521,0.6107697731589639,-0.0432565914428409,1,0.2376987130961393,0.7623012869038607,5-19,0.7812473509859739,0.8335577067310594
6752,"HG-5-113-01; N-methyl-6-[[4-(2-propan-2-ylsulfonylanilino)-1H-pyrrolo[2,3-b]pyridin-6-yl]amino]-3-pyridinecarboxamide",51,0.10040108,0.0005382186,0.02319954,0.09761438,0.06957462,0.0004850278,0.02202335,0.024180608,7.069057e-06,0.00046944304,0.013103942,0.2161878107843137,0.024734767,0.9723876101960784,0.99018025,0.2161998485995458,0.7838001514004542,-0.0448913916238999,0.2891792444715131,0.5377538883834436,-0.1094857743039763,1,0.238001514004542,0.761998485995458,20-99,0.7810593846364784,0.8333227287289415
7270,"BRD-K09186736; N-[(3R,9S,10S)-9-[[benzenesulfonyl(methyl)amino]methyl]-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-4-(dimethylamino)butanamide",5,0.10040498,0.0006755083,0.025990542,0.09769911,0.064955994,0.00050677446,0.022511652,0.030625781,6.2811654e-05,0.0003776084,0.009495347,0.1727076639999999,0.0046599647,0.985813526,0.9983878,0.2163512490537471,0.7836487509462529,-0.0448011810730543,0.3629435071102268,0.6024479289616878,-0.1075217746736265,1,0.2384557153671461,0.761544284632854,5-19,0.7810448020074147,0.8333045380939655
2406,Talmapimod; talmapimod,32,0.10040638,0.00070156244,0.026487025,0.10278372,0.06319421,0.0005919101,0.024329202,0.0286712,8.579566e-06,0.00044924137,0.016902246,0.1939625171875,0.032115415,0.978193314375,0.98871464,0.2165026495079485,0.7834973504920515,-0.0447686602246962,0.376942224753052,0.6139562075205788,0.0103369321890312,1,0.2386071158213474,0.7613928841786526,20-99,0.7810395672174943,0.833297980381192
