name,pubchem_cid,smiles,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
tibolone,124484332,"C[C@@H]1CC2=C(CCC(=O)C2)[C@H]2CC[C@@]3(C)[C@H](CC[C@@]3(O)C#C)[C@@H]12 |a:1,10,13,15,18,&1:22,t:3|",True,4.0,0.0,4.0,True,4+ rings
ulifloxacin,40490637,"C[C@H]1Sc2c(C(O)=O)c(=O)c3cc(F)c(cc3n12)N1CCNCC1 |&1:1,r|",True,4.0,2.0,2.0,True,4+ rings
oxiniacic-acid,16976,OC(=O)c1ccc[n+]([O-])c1,True,1.0,1.0,0.0,True,1 ring
vlx1570,71523377,[O-][N+](=O)c1cc(\C=C2/CCN(C\C(=C/c3ccc(F)c(c3)[N+]([O-])=O)C2=O)C(=O)C=C)ccc1F,True,3.0,2.0,1.0,True,3 rings
bw-348u87,9554761,C\C(=N/NC(=S)NNC(=S)Nc1ccccc1Cl)c1ccccn1,True,2.0,2.0,0.0,True,2 rings
trifluoperazine,5566,CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,True,4.0,2.0,2.0,True,4+ rings
ccg-63808,5948316,Cc1cccn2c1nc(Oc1ccc(F)cc1)c(\C=C(/C#N)c1nc3ccccc3s1)c2=O,True,5.0,5.0,0.0,True,4+ rings
naltrindole,5497186,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)c1[nH]c2ccccc2c1C[C@@]35O,True,8.0,3.0,5.0,True,4+ rings
pranidipine,29986494,"COC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1 |r,c:4,9|",True,3.0,2.0,1.0,True,3 rings
flutrimazole,3401,Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1 |&1:7|,True,4.0,4.0,0.0,True,4+ rings
ceftiofur,6328657,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSC(=O)c3ccco3)=C(N2C1=O)C(O)=O)c1csc(N)n1 |c:21|,True,4.0,2.0,2.0,True,4+ rings
propafenone,184819,"CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1 |&1:5,r|",True,2.0,2.0,0.0,True,2 rings
vidarabine,21704,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,True,3.0,2.0,1.0,True,3 rings
