name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
selfotel,6604838.0,2.4411995,9.124104,6604838,selfotel,True,1.0,0.0,1.0,True,1 ring
hexylene-glycol,5288845.0,3.3275433,9.020032,5288845,hexylene-glycol,True,0.0,0.0,0.0,False,0 rings
enrofloxacin,71188.0,-2.880429,5.206066,71188,enrofloxacin,True,4.0,2.0,2.0,True,4+ rings
degarelix,16136245.0,1.0214543,4.797923,16136245,degarelix,True,8.0,6.0,2.0,True,4+ rings
adefovir-dipivoxil,60871.0,-0.49683565,5.7755513,60871,adefovir-dipivoxil,True,2.0,2.0,0.0,True,2 rings
ethamivan,9363.0,-0.3391776,9.996644,9363,ethamivan,True,1.0,1.0,0.0,True,1 ring
mepiroxol,71668.0,-1.1323534,10.52786,71668,mepiroxol,True,1.0,1.0,0.0,True,1 ring
ns-1643,10177784.0,-2.8408945,4.8577905,10177784,ns-1643,True,2.0,2.0,0.0,True,2 rings
ts-011,,-0.34718525,9.605419,,ts-011,True,2.0,1.0,1.0,True,2 rings
bromantan,4660557.0,0.41291982,10.01514,4660557,bromantan,True,5.0,1.0,4.0,True,4+ rings
psoralen,6199.0,-0.77722436,-0.80408657,6199,psoralen,True,3.0,3.0,0.0,True,3 rings
quinagolide,3086401.0,0.122296326,8.687341,3086401,quinagolide,True,3.0,1.0,2.0,True,3 rings
lotamilast,24864553.0,2.5342531,1.7707162,24864553,lotamilast,True,4.0,4.0,0.0,True,4+ rings
jnj-10191584,10446295.0,-3.7982807,5.6239896,10446295,jnj-10191584,True,3.0,2.0,1.0,True,3 rings
parecoxib,119828.0,-0.3649652,0.4010607,119828,parecoxib,True,3.0,3.0,0.0,True,3 rings
clobetasone-butyrate,71386.0,1.7161746,7.4828763,71386,clobetasone-butyrate,True,4.0,0.0,4.0,True,4+ rings
camptothecin,24360.0,-0.86442894,0.26916257,24360,camptothecin,True,5.0,3.0,2.0,True,4+ rings
clofibrate,2796.0,0.14614111,10.048504,2796,clofibrate,True,1.0,1.0,0.0,True,1 ring
trimetozine,12478.0,-0.3502739,9.352585,12478,trimetozine,True,2.0,1.0,1.0,True,2 rings
orphanin-fq,56947112.0,1.0810382,4.747658,56947112,orphanin-fq,True,2.0,2.0,0.0,True,2 rings
immethridine,9989505.0,-4.3432183,5.626306,9989505,immethridine,True,2.0,2.0,0.0,True,2 rings
dapansutrile,12714644.0,3.3670473,8.790891,12714644,dapansutrile,True,0.0,0.0,0.0,False,0 rings
gsk-j4,71729975.0,-0.15580018,1.084054,71729975,gsk-j4,True,4.0,3.0,1.0,True,4+ rings
ziritaxestat,90420193.0,2.3552241,1.9200658,90420193,ziritaxestat,True,6.0,4.0,2.0,True,4+ rings
cintriamide,6154037.0,-0.43199748,9.5118885,6154037,cintriamide,True,1.0,1.0,0.0,True,1 ring
lylamine,62034.0,0.48769215,9.89224,62034,lylamine,True,3.0,1.0,2.0,True,3 rings
perchlozone,6433252.0,-1.2020121,9.8345585,6433252,perchlozone,True,1.0,1.0,0.0,True,1 ring
dexrazoxane,71384.0,2.135417,9.000571,71384,dexrazoxane,True,2.0,0.0,2.0,True,2 rings
sklb-1028,54760385.0,2.6707547,1.7719094,54760385,sklb-1028,True,5.0,4.0,1.0,True,4+ rings
granisetron,,-3.5874178,5.24125,,granisetron,True,4.0,2.0,2.0,True,4+ rings
px-478,11234795.0,-0.04541447,8.9957905,11234795,px-478,True,1.0,1.0,0.0,True,1 ring
n-mppp,190901.0,-3.4518645,4.1540217,190901,n-mppp,True,3.0,2.0,1.0,True,3 rings
guanidinopropionic-acid,67701.0,2.636901,9.263789,67701,guanidinopropionic-acid,True,0.0,0.0,0.0,False,0 rings
jnj-47965567,66553218.0,0.2793822,1.2025303,66553218,jnj-47965567,True,5.0,3.0,2.0,True,4+ rings
tianeptine,37888263.0,-1.8752173,4.7149644,37888263,tianeptine,True,3.0,2.0,1.0,True,3 rings
paraxanthine,4687.0,-3.7464473,6.4380465,4687,paraxanthine,True,2.0,2.0,0.0,True,2 rings
bos-172722,73386890.0,2.5045073,1.7402867,73386890,bos-172722,True,4.0,4.0,0.0,True,4+ rings
doramectin,9832750.0,0.76168644,5.742473,9832750,doramectin,True,8.0,0.0,8.0,True,4+ rings
tiludronate,60937.0,-0.8338315,9.027213,60937,tiludronate,True,1.0,1.0,0.0,True,1 ring
tcs-2002,44247646.0,3.5028994,1.534701,44247646,tcs-2002,True,4.0,4.0,0.0,True,4+ rings
iothalamic-acid-d3,3737.0,-1.4251469,4.411265,3737,iothalamic-acid-d3,True,1.0,1.0,0.0,True,1 ring
amiflamine,6336525.0,-0.39579222,10.562164,6336525,amiflamine,True,1.0,1.0,0.0,True,1 ring
wye-125132,25227469.0,-0.052815884,1.6338727,25227469,wye-125132,True,7.0,3.0,4.0,True,4+ rings
esaprazole,68835.0,2.9634182,8.69722,68835,esaprazole,True,2.0,0.0,2.0,True,2 rings
cgp-20712a,91667713.0,0.31737965,2.380043,91667713,cgp-20712a,True,3.0,3.0,0.0,True,3 rings
bicuculline-(+),10237.0,-2.7225313,5.1944194,10237,bicuculline-(+),True,6.0,2.0,4.0,True,4+ rings
daucosterol,5742590.0,1.1794194,6.9381504,5742590,daucosterol,True,5.0,0.0,5.0,True,4+ rings
paricalcitol,5281104.0,2.0117104,7.102858,5281104,paricalcitol,True,3.0,0.0,3.0,True,3 rings
cefpodoxime,51546414.0,-0.14072551,6.248108,51546414,cefpodoxime,True,3.0,1.0,2.0,True,3 rings
tapinarof,6439522.0,-3.9323483,4.9289045,6439522,tapinarof,True,2.0,2.0,0.0,True,2 rings
vitamin-e,14985.0,1.4940416,6.392089,14985,vitamin-e,True,2.0,1.0,1.0,True,2 rings
stepronin,37888256.0,-0.5336271,9.093306,37888256,stepronin,True,1.0,1.0,0.0,True,1 ring
bvt-948,6604934.0,-0.6093989,10.123087,6604934,bvt-948,True,3.0,1.0,2.0,True,3 rings
pki-179,76958312.0,-0.24098827,1.6217688,76958312,pki-179,True,6.0,3.0,3.0,True,4+ rings
chlorambucil,2708.0,0.4473296,9.343714,2708,chlorambucil,True,1.0,1.0,0.0,True,1 ring
ag-1024,2044.0,0.3201086,9.921425,2044,ag-1024,True,1.0,1.0,0.0,True,1 ring
benzalkonium,2330.0,15.36819,3.913119,2330,benzalkonium,True,1.0,1.0,0.0,True,1 ring
guacetisal,68749.0,-3.2283964,5.0335255,68749,guacetisal,True,2.0,2.0,0.0,True,2 rings
rifaximin,46783403.0,0.3855059,5.382097,46783403,rifaximin,True,6.0,4.0,2.0,True,4+ rings
amoxapine,2170.0,-3.5769327,4.913828,2170,amoxapine,True,4.0,2.0,2.0,True,4+ rings
isobutyramide,68424.0,3.498018,8.828079,68424,isobutyramide,True,0.0,0.0,0.0,False,0 rings
pa-452,9803242.0,-1.7922381,4.314383,9803242,pa-452,True,3.0,2.0,1.0,True,3 rings
flopropione,3362.0,-1.10706,9.504897,3362,flopropione,True,1.0,1.0,0.0,True,1 ring
pd-128907,5311346.0,-0.2864062,9.928625,5311346,pd-128907,True,3.0,1.0,2.0,True,3 rings
etonogestrel,6917715.0,2.7405427,7.4914584,6917715,etonogestrel,True,4.0,0.0,4.0,True,4+ rings
sulfatinib,52920501.0,2.3909051,1.7826629,52920501,sulfatinib,True,4.0,4.0,0.0,True,4+ rings
bendamustine,65628.0,-2.3850603,4.5173974,65628,bendamustine,True,2.0,2.0,0.0,True,2 rings
tc-s-7006,9549300.0,3.0532446,1.3788259,9549300,tc-s-7006,True,4.0,4.0,0.0,True,4+ rings
edoxudine,66377.0,-1.089384,8.661807,66377,edoxudine,True,2.0,1.0,1.0,True,2 rings
ethinyl-estradiol,5991.0,0.33541587,9.988361,5991,ethinyl-estradiol,True,4.0,1.0,3.0,True,4+ rings
aminocaproic-acid,564.0,3.0374522,8.818051,564,aminocaproic-acid,True,0.0,0.0,0.0,False,0 rings
