name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
nanchangmycin,86278938.0,10.495827,1.8078532,86278938,nanchangmycin,True,6.0,0.0,6.0,True,4+ rings
fluoromethylcholine,404592.0,9.88581,1.3711505,404592,fluoromethylcholine,True,0.0,0.0,0.0,False,0 rings
l-745870,5311200.0,9.246686,3.0763714,5311200,l-745870,True,4.0,3.0,1.0,True,4+ rings
camobucol,9875498.0,8.6894455,1.925222,9875498,camobucol,True,2.0,2.0,0.0,True,2 rings
brl-44408,6604824.0,8.486212,1.8267657,6604824,brl-44408,True,3.0,1.0,2.0,True,3 rings
harmane,5281404.0,9.110865,2.596052,5281404,harmane,True,3.0,3.0,0.0,True,3 rings
uridine-5'-triphosphate,6133.0,10.44232,-0.50399375,6133,uridine-5'-triphosphate,True,2.0,1.0,1.0,True,2 rings
jnj-17203212,11339118.0,9.733517,3.4817905,11339118,jnj-17203212,True,3.0,2.0,1.0,True,3 rings
osimertinib,71496458.0,9.714835,3.186322,71496458,osimertinib,True,4.0,4.0,0.0,True,4+ rings
rolziracetam,71893.0,9.162079,1.6598343,71893,rolziracetam,True,2.0,0.0,2.0,True,2 rings
butenafine,2484.0,9.661437,2.6681929,2484,butenafine,True,3.0,3.0,0.0,True,3 rings
r-428,46215462.0,9.14834,2.4898963,46215462,r-428,True,7.0,4.0,3.0,True,4+ rings
ml786,50992247.0,9.723694,2.8986287,50992247,ml786,True,5.0,3.0,2.0,True,4+ rings
dacomitinib,11511120.0,9.070416,4.1501484,11511120,dacomitinib,True,4.0,3.0,1.0,True,4+ rings
pipemidic-acid,6921791.0,12.076681,0.7662479,6921791,pipemidic-acid,True,3.0,2.0,1.0,True,3 rings
gimeracil,54679224.0,9.249143,1.9322251,54679224,gimeracil,True,1.0,1.0,0.0,True,1 ring
bw-a4c,6438354.0,10.083841,2.730365,6438354,bw-a4c,True,2.0,2.0,0.0,True,2 rings
ds2-(806622),979718.0,9.826305,3.0740426,979718,ds2-(806622),True,4.0,4.0,0.0,True,4+ rings
