gene,gene_col
NAA50,684
ARPP21,685
ZDHHC11,686
UBE2H,687
TULP4,688
RAPGEF4,689
HSD11B1,690
MFAP1,691
LMO2,692
SERPINE2,693
SPIN1,694
EPHA4,695
DSTN,696
DYNC1I1,697
PDCD2,698
DNAJB14,699
MXRA5,700
ARMC8,701
CDKN1A,702
TYMS,703
IPCEF1,704
S100A12,705
CNIH4,706
FLI1,707
CCND1,708
LEPR,709
LEF1,710
SMAD3,711
SLFN12,712
KYAT3,713
ANKRD11,714
YME1L1,715
STX1A,716
KLF9,717
CXCL8,718
CXCL6,719
KLF13,720
PAK1,721
SLC7A8,722
PANK2,723
CMPK1,724
KIF1BP,725
WTAP,726
KIAA0753,727
CLPX,728
ALDH2,729
CYTIP,730
ZFP36L1,731
ANXA5,732
SLC4A1,733
ITPRID2,734
ITGBL1,735
PDP1,736
PEA15,737
DDIT4,738
CXCL2,739
ZKSCAN7,740
NUCKS1,741
VPS13C,742
AK4,743
DEFA5,744
IL33,745
COL14A1,746
CHSY1,747
APOLD1,748
CHST2,749
CHRM3,750
PGGHG,751
CHRDL1,752
IL11,753
VCAN,754
ARG2,755
DEPP1,756
SLC1A1,757
ARHGEF3,758
ETS2,759
LTF,760
TAL1,761
PLCB1,762
HS3ST1,763
NRGN,764
NREP,765
CXCL1,766
LY96,767
AGPAT5,768
PLN,769
MAFB,770
COL18A1,771
CHAC1,772
ARPP19,773
CFI,774
PLS3,775
DLX5,776
PMEPA1,777
MANSC1,778
ASPN,779
HNRNPA0,780
TBC1D9,781
UCP2,782
SFTPA2,783
SFRP4,784
ATP1A1,785
PPA2,786
CELF2,787
CTSO,788
MARC2,789
PPM1H,790
ATP6V0E2,791
PPOX,792
SERPINA3,793
COL4A1,794
ZNF266,795
CDKN1B,796
CTSH,797
CTSE,798
ZNF281,799
PPP3CA,800
DPYSL3,801
MARCKSL1,802
NINJ2,803
ADH5,804
NID1,805
GSPT2,806
BAMBI,807
GPRASP1,808
SEC63,809
CDC27,810
MCTP1,811
GLUL,812
CST4,813
PTGDS,814
ECI2,815
CST3,816
SOAT1,817
SSBP1,818
MED1,819
TSC22D3,820
EEF1A2,821
MERTK,822
MET,823
GFPT2,824
CST1,825
CSNK2A1,826
EGR3,827
ACSL5,828
SCD5,829
ACSL4,830
GBE1,831
BNIP2,832
GALNT10,833
THBD,834
BTG2,835
G0S2,836
MGP,837
MICAL2,838
NBPF10,839
ELOVL5,840
CD1E,841
FPR1,842
CSGALNACT1,843
TPK1,844
MMD,845
C2CD2,846
FLRT3,847
THYN1,848
TOB1,849
SRP9,850
TNIK,851
FEM1B,852
CADPS2,853
CRISPLD2,854
FDXR,855
TIMM9,856
MYO6,857
