feature_set,minimum_profiles,n_compounds,fold,r2,mae,spearman
130D_embedding_plus_step1_QC,50,478,15,0.1475385066910273,0.05379803808365473,0.3553751399776036
128D_embedding_only,75,398,1,0.19968257626687913,0.05034380064941948,0.42658227848101266
128D_embedding_only,75,398,2,0.06696577708086326,0.05896698100119828,0.2979606188466948
128D_embedding_only,75,398,3,0.28162013460801005,0.061382657487752554,0.5045036597816341
128D_embedding_only,75,398,4,0.251653800279631,0.049004466776040576,0.4949367088607595
128D_embedding_only,75,398,5,0.038614562051704104,0.053778334304627494,0.27650925024342743
128D_embedding_only,75,398,6,0.251321930117949,0.05514289380445454,0.5014767932489451
128D_embedding_only,75,398,7,0.10273845549103677,0.058615975486300854,0.31769807782466014
128D_embedding_only,75,398,8,0.24988454131210736,0.05441749565048761,0.46976090014064703
128D_embedding_only,75,398,9,0.06905111553410037,0.04863971665001739,0.3496835443037975
128D_embedding_only,75,398,10,0.14929799288090084,0.05689274744249343,0.42758033106134374
128D_embedding_only,75,398,11,0.17791852394571528,0.054838271423925944,0.3364510079699954
128D_embedding_only,75,398,12,0.25304980374730546,0.058746460999455366,0.48201173237895417
128D_embedding_only,75,398,13,0.2257512403789762,0.05013389564507331,0.4874355368026254
128D_embedding_only,75,398,14,0.19824941564092813,0.05626550746454466,0.4023369036027264
128D_embedding_only,75,398,15,0.12495385894183186,0.05000120647232742,0.46295034079844205
130D_embedding_plus_step1_QC,75,398,1,0.19269820904317914,0.051416097982383,0.3993436474449133
130D_embedding_plus_step1_QC,75,398,2,0.05870287896320292,0.05953046582614372,0.26870604781997187
130D_embedding_plus_step1_QC,75,398,3,0.2876957111120615,0.06114434390707561,0.5132472647021132
130D_embedding_plus_step1_QC,75,398,4,0.24721567174312986,0.049399686182412965,0.47519474196689393
130D_embedding_plus_step1_QC,75,398,5,0.051273879552924506,0.0539287717002228,0.3101022395326193
130D_embedding_plus_step1_QC,75,398,6,0.2532957841085147,0.055373902337315116,0.4849742147210502
130D_embedding_plus_step1_QC,75,398,7,0.09152254669460358,0.05913399492480487,0.3018752930145336
130D_embedding_plus_step1_QC,75,398,8,0.24103136277756088,0.0554560004949259,0.46127519924988286
130D_embedding_plus_step1_QC,75,398,9,0.06773379722452255,0.0488052643517401,0.3412852969814995
130D_embedding_plus_step1_QC,75,398,10,0.12816559545793726,0.05817826111834758,0.38897273612463495
130D_embedding_plus_step1_QC,75,398,11,0.19874575389272886,0.05450613023769103,0.379957805907173
130D_embedding_plus_step1_QC,75,398,12,0.25701494483163523,0.057941286010512495,0.48885659199498604
130D_embedding_plus_step1_QC,75,398,13,0.2000277112275135,0.05111967220492667,0.4483825597749649
130D_embedding_plus_step1_QC,75,398,14,0.1915192373476744,0.05632465898745423,0.3897760467380721
130D_embedding_plus_step1_QC,75,398,15,0.1211235961165188,0.05039867299889467,0.4367088607594937
128D_embedding_only,100,349,1,0.3001088630152051,0.05457901825919035,0.5853731082145044
128D_embedding_only,100,349,2,0.13624550135585412,0.05811954070507062,0.3610007873326918
128D_embedding_only,100,349,3,0.2066628906160748,0.05919709110110995,0.45579564342577206
128D_embedding_only,100,349,4,0.37121968185350096,0.0492144267888296,0.6081882599947511
128D_embedding_only,100,349,5,0.1758511502495571,0.051906769676520935,0.3546218487394958
128D_embedding_only,100,349,6,0.07101936780748763,0.0598330470092594,0.3412649811914968
128D_embedding_only,100,349,7,0.14588366238573214,0.05777251564878074,0.3161403201819613
128D_embedding_only,100,349,8,0.2901684058956786,0.053838948725838026,0.46495026640101605
128D_embedding_only,100,349,9,0.2770144443521929,0.055605532398004,0.4989064823724958
128D_embedding_only,100,349,10,0.2266881804871672,0.051101311019257405,0.4035440263061747
128D_embedding_only,100,349,11,0.1373073833298908,0.05837709856036879,0.3460589624704751
128D_embedding_only,100,349,12,0.32753408715412946,0.05338790589922241,0.5850231825737031
128D_embedding_only,100,349,13,0.19647300226831277,0.05468070401137784,0.3483684716997638
128D_embedding_only,100,349,14,0.13443334933650586,0.0547672059317431,0.4292712798530312
128D_embedding_only,100,349,15,0.270083055844338,0.05571255029601174,0.5374497625137011
