minimum_profiles,n_compounds,fold,r2,mae,spearman
20,801,6,0.07366808688343585,0.06462901334708276,0.292279368155821
20,801,7,0.12404591982407454,0.06294650325799982,0.3317063166529942
20,801,8,0.14956248577197928,0.06421644136930506,0.3570637524903317
20,801,9,0.1308715791356836,0.06543687801746031,0.45237933052523754
20,801,10,0.1497989304305437,0.06140294834040105,0.4304757998359311
20,801,11,0.11194877172656659,0.061084987398383535,0.3065016103059582
20,801,12,0.0718823040854708,0.06211275217433772,0.3034864643150123
20,801,13,0.19119404254317163,0.06325469775373738,0.4845013477088949
20,801,14,0.11368484815305613,0.06703751507215203,0.3691304121722631
20,801,15,0.13720744328802992,0.06362640519378086,0.37367279971873896
25,700,1,0.11459840591331183,0.05518127044964404,0.42004767007063054
25,700,2,0.10668774921076285,0.06546717227640605,0.3041350506221164
25,700,3,0.06910955864919877,0.06497544493845529,0.27701996457545214
25,700,4,0.2229878032815924,0.0568860608701195,0.4301108657147232
25,700,5,0.15180565808581636,0.0530321375812803,0.42152587960027116
25,700,6,0.10296956954064851,0.06286806028087935,0.2679713979576218
25,700,7,0.20275692138541346,0.05832644707532157,0.49395814655266673
25,700,8,0.15041992711951113,0.0567963509807984,0.38916313787512913
25,700,9,0.11687638060758843,0.0587042117814223,0.35156458419890235
25,700,10,0.02092859874904629,0.05786108913308097,0.34881371498545855
25,700,11,0.1853740650582998,0.05624426830808322,0.4221775163455862
25,700,12,0.06620757232525931,0.05967624681549414,0.35118847171502926
25,700,13,0.05244795466010577,0.0647356973815532,0.3141632590584068
25,700,14,0.10139728894570921,0.061234134547767195,0.32772080208173887
25,700,15,0.08162075009227487,0.0575507527313062,0.3282415956810207
50,478,1,0.24945468078021094,0.05181645052921441,0.5206321215409658
50,478,2,0.12814896929441955,0.0516273894916392,0.3856483993488876
50,478,3,0.168036727304407,0.05404706169540683,0.3927835051546392
50,478,4,0.24113877225435854,0.05274059208129581,0.46378779395296754
50,478,5,0.08498749625703206,0.05365237907568614,0.3428331466965286
50,478,6,0.31726216770016624,0.04613115385071271,0.520604991861096
50,478,7,0.26685762673456326,0.052602071182595356,0.5634291915355398
50,478,8,0.0072586333556438065,0.055697591669029656,0.23416983179598477
50,478,9,0.198590615307785,0.0539194364464074,0.39350503919372903
50,478,10,0.14698057369503892,0.05353860260206357,0.41518756998880174
50,478,11,0.19919702778534842,0.055189686407231625,0.3105263157894737
50,478,12,0.1424055615146147,0.05524144811762704,0.4500542593597396
50,478,13,0.08892615212527055,0.05260794735617108,0.33267769940314706
50,478,14,0.26387673948323975,0.04955146938457823,0.5514017056364447
50,478,15,0.13930121634147818,0.05353062475145909,0.35348544232922735
75,398,1,0.18823754014632355,0.05139050428693494,0.38708391936240044
75,398,2,0.06692114200832888,0.058602839534481366,0.30618846694796065
75,398,3,0.294198654428215,0.060778932787477966,0.5261399797323102
75,398,4,0.23429734001376623,0.04973989645137063,0.4700340798442064
75,398,5,0.07582118934110638,0.05238468749362205,0.3696689386562804
75,398,6,0.25147666215521414,0.054911536718408274,0.4767698077824661
75,398,7,0.0760539025144863,0.06039279482016961,0.2888888888888889
75,398,8,0.22223042674740723,0.055068116513391344,0.4295124238162213
75,398,9,0.02964753597745451,0.0493081781255545,0.30450340798442066
75,398,10,0.12659548005348975,0.05765517301700288,0.3954965920155794
75,398,11,0.18795089319505864,0.054210020271440354,0.35623534927332395
75,398,12,0.24184526436441767,0.058475009577969715,0.4566716870196035
75,398,13,0.18280854539332403,0.05162882193798819,0.4393342709798406
75,398,14,0.19364430931999743,0.056510119164040314,0.4005598831548199
75,398,15,0.10219019520678163,0.0509790232123705,0.4588607594936709
100,349,1,0.3061917640737245,0.054548318036964964,0.5744204356574227
100,349,2,0.1043578107077624,0.059419435291063194,0.32047939812789783
100,349,3,0.22711371519442536,0.05838129222393035,0.49327267955559445
100,349,4,0.3816413646452771,0.048445730645032166,0.6022045315370483
100,349,5,0.17715491795175087,0.05214051028236674,0.3731823164048229
100,349,6,0.08621482673079772,0.05906819662877491,0.4077158603796693
100,349,7,0.1320820277249085,0.057990504139945616,0.30357798967719357
100,349,8,0.3049449201524529,0.053258773945626774,0.47173888322059887
100,349,9,0.26464249616958846,0.05631718267145611,0.46380894060012245
100,349,10,0.22336743603918685,0.050463628963283866,0.4148337595907929
100,349,11,0.1394001250236746,0.05800858688638323,0.371323593736331
100,349,12,0.33715627146422067,0.052760784268379206,0.5839034205231388
100,349,13,0.20614039570427034,0.05414293126265208,0.37604758988714904
100,349,14,0.12539453956985802,0.055413018151408144,0.44158866240923805
100,349,15,0.27183461985466384,0.05538136058815435,0.5354402630617464
