name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
nifenazone,4487.0,8.373329,3.3364117,4487,nifenazone,False,0.0,,No metal,True
gw-0742,9934458.0,10.350295,2.0514877,9934458,gw-0742,False,0.0,,No metal,True
cgp-25454a,9819591.0,10.541133,3.6053615,9819591,cgp-25454a,False,0.0,,No metal,True
vinblastine,13342.0,8.883396,3.4185443,13342,vinblastine,False,0.0,,No metal,True
ambazone,,9.598104,2.0307014,,ambazone,False,0.0,,No metal,True
danirixin,24780598.0,9.449564,2.3515825,24780598,danirixin,False,0.0,,No metal,True
larotrectinib,46188928.0,9.529559,1.6170473,46188928,larotrectinib,False,0.0,,No metal,True
bc-11,60126757.0,9.623904,1.6970133,60126757,bc-11,False,0.0,,No metal,True
triciribine,65399.0,10.436582,-0.58427817,65399,triciribine,False,0.0,,No metal,True
eliglustat,23652731.0,11.101993,1.2698957,23652731,eliglustat,False,0.0,,No metal,True
gemcitabine,60750.0,10.606309,-0.6189938,60750,gemcitabine,False,0.0,,No metal,True
acexamic-acid,2005.0,10.699279,1.7664062,2005,acexamic-acid,False,0.0,,No metal,True
guanaben-acetate,5702063.0,9.459948,2.0714152,5702063,guanaben-acetate,False,0.0,,No metal,True
bd-1008,126388.0,9.449904,2.7589521,126388,bd-1008,False,0.0,,No metal,True
brd7389,1080352.0,9.921898,2.6888955,1080352,brd7389,False,0.0,,No metal,True
zotepine,5736.0,9.079195,3.4556546,5736,zotepine,False,0.0,,No metal,True
cis-urocanic-acid,736715.0,10.037795,1.8067212,736715,cis-urocanic-acid,False,0.0,,No metal,True
s-trityl-l-cysteine,7271796.0,11.183655,1.8500981,7271796,s-trityl-l-cysteine,False,0.0,,No metal,True
fluticasone-propionate,444036.0,8.0373535,-1.1819451,444036,fluticasone-propionate,False,0.0,,No metal,True
trodusquemine,9917968.0,8.938833,-0.31944236,9917968,trodusquemine,False,0.0,,No metal,True
splitomycin,5269.0,9.268293,2.621476,5269,splitomycin,False,0.0,,No metal,True
cfi-400945,58486178.0,8.858749,2.901987,58486178,cfi-400945,False,0.0,,No metal,True
azd8931,11488320.0,9.02114,4.201558,11488320,azd8931,False,0.0,,No metal,True
triamcinolone-acetonide,6436.0,8.068282,-1.1440703,6436,triamcinolone-acetonide,False,0.0,,No metal,True
sb-202190,5169.0,8.853491,2.2415433,5169,sb-202190,False,0.0,,No metal,True
valethamate,38989053.0,10.591522,2.7064176,38989053,valethamate,False,0.0,,No metal,True
l-760735,9809077.0,9.244137,1.672442,9809077,l-760735,False,0.0,,No metal,True
foscarnet,3415.0,9.936997,1.5614887,3415,foscarnet,False,0.0,,No metal,True
lestaurtinib,9932888.0,9.417371,2.5218947,9932888,lestaurtinib,False,0.0,,No metal,True
phenylbutazone,4781.0,9.815128,2.393982,4781,phenylbutazone,False,0.0,,No metal,True
xbd173,6433109.0,10.100939,3.343698,6433109,xbd173,False,0.0,,No metal,True
barasertib-hqpa,16007391.0,9.383059,3.773059,16007391,barasertib-hqpa,False,0.0,,No metal,True
spizofurone,71755.0,9.62079,2.0873597,71755,spizofurone,False,0.0,,No metal,True
indocyanine-green,9919342.0,9.427991,2.6431103,9919342,indocyanine-green,False,0.0,,No metal,True
azacitidine,9444.0,10.447324,-0.56536597,9444,azacitidine,False,0.0,,No metal,True
"cis-exo-camphanediol-2,3",21626088.0,9.091405,0.6872379,21626088,"cis-exo-camphanediol-2,3",False,0.0,,No metal,True
merbarone,3000671.0,9.830943,3.2537518,3000671,merbarone,False,0.0,,No metal,True
epinephrine,5816.0,11.065826,3.0483487,5816,epinephrine,False,0.0,,No metal,True
lofepramine,3947.0,8.937682,3.7779846,3947,lofepramine,False,0.0,,No metal,True
haloprogin,3561.0,9.296129,1.6729035,3561,haloprogin,False,0.0,,No metal,True
tg100-115,10427712.0,9.339588,2.389978,10427712,tg100-115,False,0.0,,No metal,True
