name,pubchem_cid,smiles,valid_smiles,has_metal,metal_count,metal_symbols,metal_category
riodoxol,152256,Oc1c(I)cc(I)c(O)c1I,True,False,0,,No metal
umeclidinium,11519070,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,True,False,0,,No metal
a922500,24768273,OC(=O)[C@H]1CCC[C@H]1C(=O)c1ccc(cc1)-c1ccc(NC(=O)Nc2ccccc2)cc1,True,False,0,,No metal
dextran,5460037,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True,False,0,,No metal
pf-4191834,24986635,Cn1nccc1-c1ccc(Sc2cccc(c2)C2(CCOCC2)C(N)=O)cc1,True,False,0,,No metal
ursodeoxycholyltaurine,9848818,C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True,False,0,,No metal
ethynodiol-diacetate,9270,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1 |c:29|,True,False,0,,No metal
oxyclozanide,16779,Oc1c(Cl)cc(Cl)cc1NC(=O)c1c(O)c(Cl)cc(Cl)c1Cl,True,False,0,,No metal
terreic-acid-(-),,,False,False,0,,Invalid/missing SMILES
cb-5083,73051434,Cc1cc2c(cccc2n1-c1nc2CCOCc2c(NCc2ccccc2)n1)C(N)=O,True,False,0,,No metal
pindolol-(-),688095,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,True,False,0,,No metal
ambrisentan,6918493,COC([C@H](Oc1nc(C)cc(C)n1)C(O)=O)(c1ccccc1)c1ccccc1,True,False,0,,No metal
sevoflurane,5206,FCOC(C(F)(F)F)C(F)(F)F,True,False,0,,No metal
sulfacarbamide,11033,NC(=O)NS(=O)(=O)c1ccc(N)cc1,True,False,0,,No metal
r306465,10309899,ONC(=O)c1cnc(nc1)N1CCN(CC1)S(=O)(=O)c1ccc2ccccc2c1,True,False,0,,No metal
dimethyl-fumarate,637568,COC(=O)\C=C\C(=O)OC,True,False,0,,No metal
relugolix,10348973,CONC(=O)Nc1ccc(cc1)-c1sc2n(Cc3c(F)cccc3F)c(=O)n(-c3ccc(OC)nn3)c(=O)c2c1CN(C)C,True,False,0,,No metal
mirabegron,9865528,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,True,False,0,,No metal
sasapyrine,5161,OC(=O)c1ccccc1OC(=O)c1ccccc1O,True,False,0,,No metal
gdc-0927,87055263,CC1=C([C@@H](Oc2ccc(O)cc12)c1ccc(OCCN2CC(CF)C2)cc1)c1cccc(O)c1 |t:1|,True,False,0,,No metal
gnf-2,5311510,NC(=O)c1cccc(c1)-c1cc(Nc2ccc(OC(F)(F)F)cc2)ncn1,True,False,0,,No metal
mln0128,45375953,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc12,True,False,0,,No metal
atropine-oxide,,"C[N@@+]1([O-])[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)c1ccccc1 |&1:3,6,8,&2:1,&3:13|",True,False,0,,No metal
buclizine,3246096,CC(C)(C)c1ccc(CN2CCN(CC2)[C@@H](c2ccccc2)c2ccc(Cl)cc2)cc1 |&1:15|,True,False,0,,No metal
bremelanotide,,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O)C(O)=O,True,False,0,,No metal
decamethoxine,,"CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)O[C@H]1C[C@H](C)CC[C@@H]1C(C)C |&1:40,&2:36,&3:34,&4:9,&5:6,&6:3|",True,False,0,,No metal
mofegiline,6437850,NC\C(CCc1ccc(F)cc1)=C\F,True,False,0,,No metal
cefditoren-pivoxil,6437877,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/c3scnc3C)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)c1csc(N)n1 |c:20|,True,False,0,,No metal
bix-02189,,CN(C)Cc1cccc(N\C(=C2/C(=O)Nc3cc(ccc23)C(=O)N(C)C)c2ccccc2)c1,True,False,0,,No metal
ly344864,5311097,CN(C)[C@@H]1CCc2[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc3c2C1,True,False,0,,No metal
fenebrutinib,86567195,C[C@H]1CN(CCN1c1ccc(Nc2cc(cn(C)c2=O)-c2ccnc(N3CCn4c5CC(C)(C)Cc5cc4C3=O)c2CO)nc1)C1COC1,True,False,0,,No metal
shikimic-acid,11332752,"O[C@@H]1CC(=C[C@@H](O)[C@@H]1O)C(O)=O |a:1,&1:5,&2:7,c:3|",True,False,0,,No metal
tegaserod,135409453,CCCCCNC(=N)N\N=C\c1c[nH]c2ccc(OC)cc12,True,False,0,,No metal
