name,pubchem_cid,TSNE1,TSNE2
ursolic-acid,64945,-76.368744,-18.101587
vesamicol,659840,-51.458633,18.355434
alovudine,33039,-17.0335,-81.843056
pilocarpine,5910,2.0811214,-61.68232
purvalanol-a,456214,39.362095,-58.339508
benzethonium,2335,11.250297,67.2263
mefloquine,40692,36.20161,0.14155331
deoxyarbutin,11521237,-8.519005,63.109776
ly3214996,121408882,30.206026,-29.24364
ns-11021,24825677,-17.950603,-17.054733
monocrotaline,9415,-61.69312,-25.200703
masoprocol,688035,-25.483349,64.1921
squalamine,72495,-69.693016,-20.304272
mc1568,71311876,14.022514,-10.034314
targinine,46906075,-25.226904,-41.377872
xanthone,7020,-12.64339,80.20831
alantolactone,72724,-52.630085,-23.640352
mibampator,9889366,-50.843456,2.289051
karenitecin,148202,28.324934,4.078758
sbe-13,4719406,48.26766,10.815789
ozolinone,76959758,-14.935444,-39.18919
abt-491,154087,51.882866,-36.54067
nonivamide,2998,20.594715,60.84579
chiniofon,1550821,40.467674,1.1648234
carbendazim,25429,45.653927,-55.276115
mercaptopurine,667490,2.5870311,-58.971603
6-aminopenicillanic-acid,7057887,-15.969909,-39.190994
acriflavine,452192,24.659533,-22.663197
linezolid,441401,-25.112762,-1.8307267
trichlormethiazide,12444480,-34.42848,-15.099702
2-thiouracil,1269845,-35.085907,-44.193882
methantheline,4097,11.146368,55.017254
3-indolebutyric-acid,8617,24.72828,-4.540828
dehydrocorydaline,34781,47.070286,11.411006
nu-2058,4564,10.818044,-65.8356
tmn-355,44249042,-30.994709,16.626282
dixyrazine,9932302,-38.459114,-5.4483404
isosorbide-mononitrate,27661,-60.063896,-52.565666
alosetron,2099,51.83475,-37.313423
editol,7014872,-32.603294,-61.56296
s-38093,70941112,16.547361,52.589554
gsk2816126,68210102,48.554646,-35.638233
thiorphan,4369380,-32.979694,27.384443
antalarmin,177990,25.119862,-50.107967
hydroxychloroquine,12947,22.216236,-27.248947
hematoxylin,442514,-12.268622,66.01427
tetramisole,26879,-47.827625,6.308648
slv-319-(+/-),9826744,-47.016434,-0.06321534
sapacitabine,153970,-12.71839,-79.883026
ataluren,11219835,-10.158186,-14.925508
l-glutamine,6992086,-25.071846,-37.302956
prima1,322968,-30.119925,-64.329346
filanesib,44224257,-39.982895,11.935107
ml133,781301,13.559576,65.45646
ouabain,11527152,-82.87294,-20.645233
tazobactam,123630,-12.708306,-40.67795
tradipitant,9916461,10.353634,-2.4379225
dpi-201106,10389826,39.050964,10.291323
m-chlorophenylbiguanide,1354,-24.587341,-10.997709
metacresol,342,-24.509209,61.700993
lobenzarit,3946,-1.0047369,16.315798
butalbital,2481,-38.897545,-43.046944
cgp-74514,2794188,39.518017,-57.86028
lanifibranor,68677842,17.422855,3.3373408
cs-110266,123692,-55.621025,8.187903
vu0155069,25105713,-8.879493,1.177127
lapatinib,208908,73.32495,11.575033
fidaxomicin,10034073,-0.951512,93.77025
beta-glycerophosphoric-acid,2526,-54.220657,-51.302086
l-arginine,6322,-25.022589,-40.49132
dipivefrine,969492,4.3383265,60.396626
phthalylsulfacetamide,8574,-2.444395,17.8846
flumethasone,16490,-80.04042,-11.928643
n-salicoylaminophenol,4602,1.8603771,23.691494
ch5132799,49784945,33.790337,-57.63416
ckd-712,9861304,-18.263624,52.22204
md-920,6466,-82.91644,-15.948823
ns-3623,9954236,-17.970955,-17.017574
clobenpropit,2790,39.77439,-49.505806
omtriptolide,6918522,-83.70267,-17.27686
bms-649,127019,-48.52813,42.75303
norfloxacin,6919051,4.2999706,8.442642
carsalam,16258,16.685732,49.706318
ncs-382,6604757,-30.618992,58.377926
ggti-298,9811606,-14.335589,6.734754
siponimod,44599207,-34.890804,37.29317
bms-817378,44137813,58.396637,8.896605
diftalone,30717,-39.423107,23.074924
doconexent-ethyl-ester,9831416,-51.59769,-33.206985
hycanthone,3634,1.3358399,6.0903296
molindone,6604347,16.040785,-5.2108836
cedrol-(+),65575,-71.093506,-26.740156
dexchlorpheniramine,33036,19.892609,-28.702246
cb-03-01,11750009,-81.46378,-9.337336
bilobalide,73581,-70.25146,-31.8614
latrepirdine,197033,24.433432,-19.375597
