name,pubchem_cid,TSNE1,TSNE2
ikk-2-inhibitor,2807869.0,-56.21504,-2.1282063
modaline,17860.0,-46.840652,-56.83947
ite,4668801.0,-11.556873,68.543945
istaroxime,9841834.0,14.416531,-41.13167
antimonyl,,25.24213,-24.613665
ro-90-7501,824226.0,69.20111,16.317068
edelfosine,6610230.0,71.280464,-18.640636
t-5601640,9438169.0,10.631277,48.096306
3-mppi,4013695.0,49.965214,40.19844
asunaprevir,16076883.0,25.125475,2.570118
geniposide,107848.0,30.510077,-29.360167
jnj-38877605,46911863.0,71.33275,11.986147
treprostinil,6918140.0,-8.376581,-23.548748
morphothiadin,129387808.0,-19.276468,5.149173
shp099,118238298.0,-43.67911,1.1073108
fimasartan,9870652.0,51.23081,28.138878
amfenac,2136.0,-52.559937,1.4991213
bismuth(iii)-trifluoromethanesulfonate,,19.059675,-30.087967
mirin,137319711.0,-28.612404,-60.783318
urb597,1383884.0,-38.423035,7.635207
atiprimod,129869.0,3.364858,-21.435226
cyacetacide,8820.0,41.76283,-53.929333
(r)-(-)-apomorphine,6005.0,-61.23716,3.312929
a12b4c3,,4.358648,-3.4265254
sodium-nitrite,129009887.0,42.939808,-58.86086
iododexetimide,14479849.0,-32.347374,32.105133
ly404187,66857735.0,-38.665676,20.423906
fgin-1-27,132496.0,30.512102,49.613693
apy0201,56927660.0,52.485226,37.737892
ethoxzolamide,3295.0,-57.39378,-10.198628
methyl-aminolevulinate,157922.0,37.685055,-51.53589
inx-08189,49862762.0,16.23916,8.292668
nhi-2,51355147.0,2.282574,70.996704
letrozole,3902.0,-11.349674,72.92707
dorsomorphin,11524144.0,60.87955,39.354218
nadifloxacin,9850038.0,-43.443707,-3.246863
skf-81297,11957706.0,-59.784653,2.4882145
tolonium,91311512.0,79.05578,-13.794671
corticosterone,5753.0,16.44224,-42.66197
kpt-276,71496742.0,-37.53537,27.22332
mozavaptan,11441742.0,20.517029,54.70959
ac-186,71245042.0,-62.023518,32.838306
dspc,5313335.0,70.20163,-19.790356
kifunensine,130611.0,42.89039,-30.532171
gdc-0941,17755052.0,44.768803,37.997093
oxyphenbutazone,448033.0,-39.27749,20.279108
ec-144,11517212.0,0.5023335,35.85013
phenacaine,7588.0,-46.307903,32.99401
ravuconazole,467825.0,54.095444,35.201622
bms-ccr2-22,24801690.0,4.194181,7.3136554
act-132577,25099191.0,9.056664,20.216778
kme-4,6438990.0,-43.887074,-38.844467
